Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
1991,atka,NA,22.53457063,NA,61.42430414,1.88E-06,0.366867333,NA,NA,NA,ai_sebs_race
1994,atka,NA,66060.35357,NA,66602.83791,1.88E-06,0.991854937,NA,NA,NA,ai_sebs_race
1997,atka,NA,94514.46299,NA,95680.05581,1.88E-06,0.987817808,NA,NA,NA,ai_sebs_race
2000,atka,NA,1790.057358,NA,2043.665708,1.88E-06,0.87590517,NA,NA,NA,ai_sebs_race
2002,atka,NA,59069.42874,NA,59882.61293,1.88E-06,0.986420362,NA,NA,NA,ai_sebs_race
2004,atka,NA,116013.5066,NA,267555.7928,1.88E-06,0.433604914,NA,NA,NA,ai_sebs_race
2006,atka,NA,5436.958949,NA,12308.37817,1.88E-06,0.441728299,NA,NA,NA,ai_sebs_race
2010,atka,NA,88519.1154,NA,103528.8657,1.88E-06,0.855018693,NA,NA,NA,ai_sebs_race
2012,atka,NA,780.0915206,NA,1009.442104,1.88E-06,0.772794713,NA,NA,NA,ai_sebs_race
2014,atka,NA,1046.371468,NA,1442.606003,1.88E-06,0.725334198,NA,NA,NA,ai_sebs_race
2016,atka,NA,73.29035894,NA,185.5491607,1.88E-06,0.394991595,NA,NA,NA,ai_sebs_race
2018,atka,NA,18077.38456,NA,25645.1295,1.88E-06,0.704905178,NA,NA,NA,ai_sebs_race
2022,atka,NA,396.5422158,NA,715.5520309,1.88E-06,0.554176634,NA,NA,NA,ai_sebs_race
2024,atka,NA,117866.7343,NA,146243.634,1.88E-06,0.805961471,NA,NA,NA,ai_sebs_race
1991,north_rockfish,NA,368.31978,NA,582.2566655,1.88E-06,0.632572887,NA,NA,NA,ai_sebs_race
1994,north_rockfish,NA,513.0623451,NA,855.3858224,1.88E-06,0.599802255,NA,NA,NA,ai_sebs_race
1997,north_rockfish,NA,139.8336095,NA,204.1720645,1.88E-06,0.684881205,NA,NA,NA,ai_sebs_race
