Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
1994,nf_seal_adu,NA,8233.596,,228711,1.88E-06,0.036,,,,stock_assessment
1995,nf_seal_adu,NA,8226.396,,228511,1.88E-06,0.036,,,,stock_assessment
1996,nf_seal_adu,NA,21167.3,,211673,1.88E-06,0.1,,,,stock_assessment
1997,nf_seal_adu,NA,21334.203,,215497,1.88E-06,0.099,,,,stock_assessment
1998,nf_seal_adu,NA,6357.554,,219226,1.88E-06,0.029,,,,stock_assessment
2000,nf_seal_adu,NA,17524.011,,196899,1.88E-06,0.089,,,,stock_assessment
2002,nf_seal_adu,NA,1766.67,,176667,1.88E-06,0.01,,,,stock_assessment
2004,nf_seal_adu,NA,1530.59,,153059,1.88E-06,0.01,,,,stock_assessment
2005,nf_seal_adu,NA,1605.94,,160594,1.88E-06,0.01,,,,stock_assessment
2006,nf_seal_adu,NA,1626.9,,147900,1.88E-06,0.011,,,,stock_assessment
2007,nf_seal_adu,NA,1681.537,,152867,1.88E-06,0.011,,,,stock_assessment
2008,nf_seal_adu,NA,1306.341,,145149,1.88E-06,0.009,,,,stock_assessment
2010,nf_seal_adu,NA,1504.69,,136790,1.88E-06,0.011,,,,stock_assessment
2011,nf_seal_adu,NA,1563.331,,142121,1.88E-06,0.011,,,,stock_assessment
2012,nf_seal_adu,NA,1569.238,,142658,1.88E-06,0.011,,,,stock_assessment
2014,nf_seal_adu,NA,1249.461,,138829,1.88E-06,0.009,,,,stock_assessment
2015,nf_seal_adu,NA,862.044,,143674,1.88E-06,0.006,,,,stock_assessment
2016,nf_seal_adu,NA,938.917,,134131,1.88E-06,0.007,,,,stock_assessment
2018,nf_seal_adu,NA,1173.096,,130344,1.88E-06,0.009,,,,stock_assessment
2019,nf_seal_adu,NA,1524.699,,138609,1.88E-06,0.011,,,,stock_assessment
1967,gray_whales,NA,1262.044,,13426,1.88E-06,0.094,,,,stock_assessment
1968,gray_whales,NA,1163.84,,14548,1.88E-06,0.08,,,,stock_assessment
1969,gray_whales,NA,1207.899,,14553,1.88E-06,0.083,,,,stock_assessment
1970,gray_whales,NA,1034.451,,12771,1.88E-06,0.081,,,,stock_assessment
1971,gray_whales,NA,1030.347,,11079,1.88E-06,0.093,,,,stock_assessment
1972,gray_whales,NA,1389.2,,17365,1.88E-06,0.08,,,,stock_assessment
1973,gray_whales,NA,1424.75,,17375,1.88E-06,0.082,,,,stock_assessment
1974,gray_whales,NA,1284.36,,15290,1.88E-06,0.084,,,,stock_assessment
1975,gray_whales,NA,1510.504,,17564,1.88E-06,0.086,,,,stock_assessment
1976,gray_whales,NA,1470.16,,18377,1.88E-06,0.08,,,,stock_assessment
1977,gray_whales,NA,1719.344,,19538,1.88E-06,0.088,,,,stock_assessment
1978,gray_whales,NA,1230.72,,15384,1.88E-06,0.08,,,,stock_assessment
1979,gray_whales,NA,1640.329,,19763,1.88E-06,0.083,,,,stock_assessment
1984,gray_whales,NA,2091.411,,23499,1.88E-06,0.089,,,,stock_assessment
1985,gray_whales,NA,1879.522,,22921,1.88E-06,0.082,,,,stock_assessment
1987,gray_whales,NA,1561.128,,26916,1.88E-06,0.058,,,,stock_assessment
1992,gray_whales,NA,1071.816,,15762,1.88E-06,0.068,,,,stock_assessment
1993,gray_whales,NA,1105.665,,20103,1.88E-06,0.055,,,,stock_assessment
1995,gray_whales,NA,1277.584,,20944,1.88E-06,0.061,,,,stock_assessment
1997,gray_whales,NA,1437.18,,21135,1.88E-06,0.068,,,,stock_assessment
2000,gray_whales,NA,998.509,,16369,1.88E-06,0.061,,,,stock_assessment
2001,gray_whales,NA,1106.277,,16033,1.88E-06,0.069,,,,stock_assessment
2006,gray_whales,NA,1357.946,,19126,1.88E-06,0.071,,,,stock_assessment
2007,gray_whales,NA,1376.013908,,17820,1.88E-06,0.077217391,,,,stock_assessment
2009,gray_whales,NA,1637.780863,,21210,1.88E-06,0.077217391,,,,stock_assessment
2010,gray_whales,NA,1620.793037,,20990,1.88E-06,0.077217391,,,,stock_assessment
2014,gray_whales,NA,2223.088687,,28790,1.88E-06,0.077217391,,,,stock_assessment
2015,gray_whales,NA,2081.780861,,26960,1.88E-06,0.077217391,,,,stock_assessment
2019,gray_whales,NA,1589.133907,,20580,1.88E-06,0.077217391,,,,stock_assessment
2021,gray_whales,NA,1285.66956,,16650,1.88E-06,0.077217391,,,,stock_assessment
2022,gray_whales,NA,1121.659822,,14526,1.88E-06,0.077217391,,,,stock_assessment
