"Group","Year","Value","Scale","Stdev"
"outside",1971,NA,1.87581363416382e-06,NA
"transient_killers",1971,NA,1.87581363416382e-06,NA
"toothed_whales",1971,NA,1.87581363416382e-06,NA
"gray_whales",1971,NA,1.87581363416382e-06,NA
"baleen_whales",1971,NA,1.87581363416382e-06,NA
"pinnipeds",1971,NA,1.87581363416382e-06,NA
"walrus_bd_seals",1971,NA,1.87581363416382e-06,NA
"nf_seal_juv",1971,NA,1.87581363416382e-06,NA
"nf_seal_adu",1971,NA,1.87581363416382e-06,NA
"ice_seals",1971,NA,1.87581363416382e-06,NA
"oth_birds",1971,NA,1.87581363416382e-06,NA
"murres_puffins",1971,NA,1.87581363416382e-06,NA
"kittiwakes",1971,NA,1.87581363416382e-06,NA
"auklets",1971,NA,1.87581363416382e-06,NA
"fulmars",1971,NA,1.87581363416382e-06,NA
"albatross",1971,NA,1.87581363416382e-06,NA
"sharks",1971,NA,1.87581363416382e-06,NA
"pollock_juv",1971,NA,1.87581363416382e-06,NA
"pollock_adu",1971,1743763,1.87581363416382e-06,174376.3
"pcod_juv",1971,NA,1.87581363416382e-06,NA
"pcod_adu",1971,43054,1.87581363416382e-06,4305.4
"herring",1971,NA,1.87581363416382e-06,NA
"arrowtooth_juv",1971,NA,1.87581363416382e-06,NA
"arrowtooth_adu",1971,NA,1.87581363416382e-06,NA
"kamchatka",1971,NA,1.87581363416382e-06,NA
"gr_turbot_juv",1971,NA,1.87581363416382e-06,NA
"gr_turbot_adu",1971,NA,1.87581363416382e-06,NA
"halibut_juv",1971,NA,1.87581363416382e-06,NA
"halibut_adu",1971,NA,1.87581363416382e-06,NA
"yf_sole",1971,160399,1.87581363416382e-06,16039.9
"fh_sole",1971,NA,1.87581363416382e-06,NA
"nr_sole",1971,NA,1.87581363416382e-06,NA
"ak_plaice",1971,NA,1.87581363416382e-06,NA
"oth_flatfish",1971,NA,1.87581363416382e-06,NA
"ak_skate",1971,NA,1.87581363416382e-06,NA
"oth_skate",1971,NA,1.87581363416382e-06,NA
"sablefish_juv",1971,NA,1.87581363416382e-06,NA
"sablefish_adu",1971,15106,1.87581363416382e-06,1510.6
"eelpouts",1971,NA,1.87581363416382e-06,NA
"deep_demersals",1971,NA,1.87581363416382e-06,NA
"pac_ocean_perch",1971,NA,1.87581363416382e-06,NA
"oth_rockfish",1971,NA,1.87581363416382e-06,NA
"north_rockfish",1971,NA,1.87581363416382e-06,NA
"shortraker_rock",1971,NA,1.87581363416382e-06,NA
"rougheye_rock",1971,NA,1.87581363416382e-06,NA
"atka",1971,NA,1.87581363416382e-06,NA
"shallow_demersals",1971,NA,1.87581363416382e-06,NA
"lg_sculpins",1971,NA,1.87581363416382e-06,NA
"octopus",1971,NA,1.87581363416382e-06,NA
"squids",1971,NA,1.87581363416382e-06,NA
"salmon_returning",1971,NA,1.87581363416382e-06,NA
"salmon_smolts",1971,NA,1.87581363416382e-06,NA
"mycto_bathy",1971,NA,1.87581363416382e-06,NA
"capelin",1971,NA,1.87581363416382e-06,NA
"sandlance",1971,NA,1.87581363416382e-06,NA
"oth_forage",1971,NA,1.87581363416382e-06,NA
"bairdi",1971,NA,1.87581363416382e-06,NA
"king_crabs",1971,8654.5,1.87581363416382e-06,865.45
"opilio",1971,NA,1.87581363416382e-06,NA
"pandalid",1971,NA,1.87581363416382e-06,NA
"ben_zooplankton",1971,NA,1.87581363416382e-06,NA
"snails_sea_stars",1971,NA,1.87581363416382e-06,NA
"herb_echinoderms",1971,NA,1.87581363416382e-06,NA
"misc_crabs",1971,NA,1.87581363416382e-06,NA
"structural_epifauna",1971,NA,1.87581363416382e-06,NA
"infauna",1971,NA,1.87581363416382e-06,NA
"jellyfish",1971,NA,1.87581363416382e-06,NA
"pel_zooplankton",1971,NA,1.87581363416382e-06,NA
"euphausiids",1971,NA,1.87581363416382e-06,NA
"copepods",1971,NA,1.87581363416382e-06,NA
"pelagic_microbes",1971,NA,1.87581363416382e-06,NA
"benthic_microbes",1971,NA,1.87581363416382e-06,NA
"lg_phytoplankton",1971,NA,1.87581363416382e-06,NA
"sm_phytoplankton",1971,NA,1.87581363416382e-06,NA
"discards_offal",1971,NA,1.87581363416382e-06,NA
"pelagic_detritus",1971,NA,1.87581363416382e-06,NA
"benthic_detritus",1971,NA,1.87581363416382e-06,NA
"outside",1972,NA,1.87581363416382e-06,NA
"transient_killers",1972,NA,1.87581363416382e-06,NA
