Species,Tmax,Topt,Q10
sharks,19.99,17.991,2.3
pollock_juv,15,10,2.6
pollock_adu,15,10,2.6
pcod_juv,21,13.7,2.41
pcod_adu,21,13.7,2.41
herring,19.9,17.91,2.3
arrowtooth_juv,26,20.512,2.497
arrowtooth_adu,26,20.512,2.497
kamchatka,19.9,17.91,2.3
gr_turbot_juv,20.2,18.18,2.3
gr_turbot_adu,20.2,18.18,2.3
halibut_juv,18,12.97,3.084
halibut_adu,18,12.97,3.084
yf_sole,19.06,17.154,2.3
fh_sole,19.06,17.154,2.3
nr_sole,19.06,13,2.3
ak_plaice,15.3,13.77,2.3
oth_flatfish,27,24.3,2.3
ak_skate,19.06,17.154,2.3
oth_skate,17.66,15.894,2.3
sablefish_juv,22.4,17.6,2.2
sablefish_adu,22.4,17.6,2.2
eelpouts,13.72,12.348,2.3
deep_demersals,21.85,19.665,2.3
pac_ocean_perch,19.06,17.154,2.3
oth_rockfish,28.61,25.749,2.3
north_rockfish,12.8,11.52,2.3
shortraker_rock,19.06,17.154,2.3
rougheye_rock,19.06,17.154,2.3
atka,19.06,17.154,2.3
shallow_demersals,12.8,11.52,2.3
lg_sculpins,12.7,11.43,2.3
octopus,20,18,2.3
squids,23.18,20.862,2.3
salmon_returning,24,17,2.3
salmon_smolts,24,17,2.3
mycto_bathy,13.23,11.907,2.3
capelin,19.06,17.154,2.3
sandlance,20.63,18.567,2.3
oth_forage,16.39,14.751,2.3
bairdi,23,15,2
king_crabs,23,15,2
opilio,12,6,2
