"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",1980-01-23,1980,1,6.34583358042847
"ssp126","Bottom",1980-02-15,1980,2,6.03367483519159
"ssp126","Bottom",1980-03-16,1980,3,5.65669594831868
"ssp126","Bottom",1980-04-15,1980,4,5.43970001951715
"ssp126","Bottom",1980-05-16,1980,5,5.28055850059087
"ssp126","Bottom",1980-06-15,1980,6,5.26879173783536
"ssp126","Bottom",1980-07-16,1980,7,5.3183388882828
"ssp126","Bottom",1980-08-16,1980,8,5.52085988540526
"ssp126","Bottom",1980-09-15,1980,9,5.75922891044921
"ssp126","Bottom",1980-10-16,1980,10,6.18445206565779
"ssp126","Bottom",1980-11-15,1980,11,6.2263674951595
"ssp126","Bottom",1980-12-16,1980,12,6.02305760055546
"ssp126","Bottom",1981-01-16,1981,1,5.55704350310781
"ssp126","Bottom",1981-02-14,1981,2,5.52926710463332
"ssp126","Bottom",1981-03-16,1981,3,5.16458612341329
"ssp126","Bottom",1981-04-15,1981,4,5.14138230500462
"ssp126","Bottom",1981-05-16,1981,5,5.17705933848539
"ssp126","Bottom",1981-06-15,1981,6,5.307602662843
"ssp126","Bottom",1981-07-16,1981,7,5.44244566612828
"ssp126","Bottom",1981-08-16,1981,8,5.69146364013189
"ssp126","Bottom",1981-09-15,1981,9,6.10961918727013
"ssp126","Bottom",1981-10-16,1981,10,6.13137517466074
"ssp126","Bottom",1981-11-15,1981,11,6.39272747462567
"ssp126","Bottom",1981-12-16,1981,12,6.33310474073278
"ssp126","Bottom",1982-01-16,1982,1,6.18249237959319
"ssp126","Bottom",1982-02-14,1982,2,5.74627358576803
"ssp126","Bottom",1982-03-16,1982,3,5.40446598487326
"ssp126","Bottom",1982-04-15,1982,4,5.36043932767042
"ssp126","Bottom",1982-05-16,1982,5,5.4865404369372
"ssp126","Bottom",1982-06-15,1982,6,5.72707648037533
"ssp126","Bottom",1982-07-16,1982,7,6.10542422456181
"ssp126","Bottom",1982-08-16,1982,8,6.45353354327706
"ssp126","Bottom",1982-09-15,1982,9,6.96338526223379
"ssp126","Bottom",1982-10-16,1982,10,7.57988802397742
"ssp126","Bottom",1982-11-15,1982,11,7.96031359069116
"ssp126","Bottom",1982-12-16,1982,12,7.92943314995681
"ssp126","Bottom",1983-01-16,1983,1,7.5340096085631
"ssp126","Bottom",1983-02-14,1983,2,6.91824263664753
"ssp126","Bottom",1983-03-16,1983,3,6.38189347023823
"ssp126","Bottom",1983-04-15,1983,4,6.13500710134532
"ssp126","Bottom",1983-05-16,1983,5,5.85551821831
"ssp126","Bottom",1983-06-15,1983,6,5.90449865256151
"ssp126","Bottom",1983-07-16,1983,7,6.07525596911662
"ssp126","Bottom",1983-08-16,1983,8,6.12683808347894
"ssp126","Bottom",1983-09-15,1983,9,6.32407991077949
"ssp126","Bottom",1983-10-16,1983,10,6.5508583309157
"ssp126","Bottom",1983-11-15,1983,11,6.34043411393372
"ssp126","Bottom",1983-12-16,1983,12,6.22696658298279
"ssp126","Bottom",1984-01-16,1984,1,5.86002850422466
"ssp126","Bottom",1984-02-15,1984,2,5.79238310089492
"ssp126","Bottom",1984-03-16,1984,3,5.48130030011837
"ssp126","Bottom",1984-04-15,1984,4,5.27473583187083
"ssp126","Bottom",1984-05-16,1984,5,5.31331123394117
"ssp126","Bottom",1984-06-15,1984,6,5.38381872996975
"ssp126","Bottom",1984-07-16,1984,7,5.63281915086829
"ssp126","Bottom",1984-08-16,1984,8,5.90157344743263
"ssp126","Bottom",1984-09-15,1984,9,6.13204472387448
"ssp126","Bottom",1984-10-16,1984,10,6.25894460231034
"ssp126","Bottom",1984-11-15,1984,11,6.43709368557315
"ssp126","Bottom",1984-12-16,1984,12,6.03079304364305
"ssp126","Bottom",1985-01-16,1985,1,5.81824823840339
"ssp126","Bottom",1985-02-14,1985,2,5.64714245434898
"ssp126","Bottom",1985-03-16,1985,3,5.36277777345762
"ssp126","Bottom",1985-04-15,1985,4,5.23743197925965
"ssp126","Bottom",1985-05-16,1985,5,5.22562230429332
"ssp126","Bottom",1985-06-15,1985,6,5.22469481439714
"ssp126","Bottom",1985-07-16,1985,7,5.21632904559786
"ssp126","Bottom",1985-08-16,1985,8,5.27241668303686
"ssp126","Bottom",1985-09-15,1985,9,5.34278345531834
"ssp126","Bottom",1985-10-16,1985,10,5.69726092797137
"ssp126","Bottom",1985-11-15,1985,11,6.2110884331825
"ssp126","Bottom",1985-12-16,1985,12,6.22824048907154
"ssp126","Bottom",1986-01-16,1986,1,5.77089312463945
"ssp126","Bottom",1986-02-14,1986,2,5.67587592388325
"ssp126","Bottom",1986-03-16,1986,3,5.17064889703336
"ssp126","Bottom",1986-04-15,1986,4,5.27993632972418
"ssp126","Bottom",1986-05-16,1986,5,5.22896765513584
"ssp126","Bottom",1986-06-15,1986,6,5.26780337149483
"ssp126","Bottom",1986-07-16,1986,7,5.27452231864177
"ssp126","Bottom",1986-08-16,1986,8,5.39877434641228
"ssp126","Bottom",1986-09-15,1986,9,5.52189376008546
"ssp126","Bottom",1986-10-16,1986,10,5.51771537022917
"ssp126","Bottom",1986-11-15,1986,11,5.83947055254522
"ssp126","Bottom",1986-12-16,1986,12,5.99209689813699
"ssp126","Bottom",1987-01-16,1987,1,5.57760968635988
"ssp126","Bottom",1987-02-14,1987,2,5.5583592656318
"ssp126","Bottom",1987-03-16,1987,3,5.22904619640589
"ssp126","Bottom",1987-04-15,1987,4,5.09533861570893
"ssp126","Bottom",1987-05-16,1987,5,5.0919774657064
"ssp126","Bottom",1987-06-15,1987,6,5.20061812195344
"ssp126","Bottom",1987-07-16,1987,7,5.28071174713065
"ssp126","Bottom",1987-08-16,1987,8,5.25992562228511
"ssp126","Bottom",1987-09-15,1987,9,5.26386905349324
"ssp126","Bottom",1987-10-16,1987,10,5.46190729659978
"ssp126","Bottom",1987-11-15,1987,11,5.68422964359468
"ssp126","Bottom",1987-12-16,1987,12,5.56080083364677
"ssp126","Bottom",1988-01-16,1988,1,5.16474964353946
"ssp126","Bottom",1988-02-15,1988,2,5.11717222013159
"ssp126","Bottom",1988-03-16,1988,3,5.06176978249382
"ssp126","Bottom",1988-04-15,1988,4,4.98445103998767
"ssp126","Bottom",1988-05-16,1988,5,4.97563456898538
"ssp126","Bottom",1988-06-15,1988,6,5.01088876473776
"ssp126","Bottom",1988-07-16,1988,7,5.00229914591716
"ssp126","Bottom",1988-08-16,1988,8,5.29785418002532
"ssp126","Bottom",1988-09-15,1988,9,5.43283369572149
"ssp126","Bottom",1988-10-16,1988,10,5.69188396227185
"ssp126","Bottom",1988-11-15,1988,11,5.80759952864082
"ssp126","Bottom",1988-12-16,1988,12,5.13943769954209
"ssp126","Bottom",1989-01-16,1989,1,4.9116919580334
"ssp126","Bottom",1989-02-14,1989,2,4.94387282942277
"ssp126","Bottom",1989-03-16,1989,3,4.7600521307378
"ssp126","Bottom",1989-04-15,1989,4,4.78000491796876
"ssp126","Bottom",1989-05-16,1989,5,4.86224273383554
"ssp126","Bottom",1989-06-15,1989,6,4.98405084954871
"ssp126","Bottom",1989-07-16,1989,7,5.08295518218595
"ssp126","Bottom",1989-08-16,1989,8,5.31031580477578
"ssp126","Bottom",1989-09-15,1989,9,5.72564796466952
"ssp126","Bottom",1989-10-16,1989,10,5.94378892745014
"ssp126","Bottom",1989-11-15,1989,11,5.78336915027805
"ssp126","Bottom",1989-12-16,1989,12,5.70243189084972
"ssp126","Bottom",1990-01-16,1990,1,5.01757049936458
"ssp126","Bottom",1990-02-14,1990,2,5.21365266909748
"ssp126","Bottom",1990-03-16,1990,3,5.12676323797463
"ssp126","Bottom",1990-04-15,1990,4,5.26273488332225
"ssp126","Bottom",1990-05-16,1990,5,5.43961017655806
"ssp126","Bottom",1990-06-15,1990,6,5.45323275819365
"ssp126","Bottom",1990-07-16,1990,7,5.46952899283084
"ssp126","Bottom",1990-08-16,1990,8,5.44921388070456
"ssp126","Bottom",1990-09-15,1990,9,5.58056242760126
"ssp126","Bottom",1990-10-16,1990,10,5.98909482699396
"ssp126","Bottom",1990-11-15,1990,11,6.16051438157751
"ssp126","Bottom",1990-12-16,1990,12,5.99740579936492
"ssp126","Bottom",1991-01-16,1991,1,4.55889350075631
"ssp126","Bottom",1991-02-14,1991,2,4.52075771234817
"ssp126","Bottom",1991-03-16,1991,3,4.41911493079311
"ssp126","Bottom",1991-04-15,1991,4,4.49474693135192
"ssp126","Bottom",1991-05-16,1991,5,4.53983982920523
"ssp126","Bottom",1991-06-15,1991,6,4.57288476876697
"ssp126","Bottom",1991-07-16,1991,7,4.57804685814829
"ssp126","Bottom",1991-08-16,1991,8,4.95598931489019
"ssp126","Bottom",1991-09-15,1991,9,5.32773963616392
"ssp126","Bottom",1991-10-16,1991,10,5.48009684037704
"ssp126","Bottom",1991-11-15,1991,11,5.60247549092683
"ssp126","Bottom",1991-12-16,1991,12,5.56483461425734
"ssp126","Bottom",1992-01-16,1992,1,5.63397893106156
"ssp126","Bottom",1992-02-15,1992,2,5.4774643397046
"ssp126","Bottom",1992-03-16,1992,3,5.19973024996214
"ssp126","Bottom",1992-04-15,1992,4,5.22702979592508
"ssp126","Bottom",1992-05-16,1992,5,5.14027948519565
"ssp126","Bottom",1992-06-15,1992,6,5.13084455701795
"ssp126","Bottom",1992-07-16,1992,7,5.04707266155612
"ssp126","Bottom",1992-08-16,1992,8,5.24407496377987
"ssp126","Bottom",1992-09-15,1992,9,5.07809823945219
"ssp126","Bottom",1992-10-16,1992,10,5.21402849378114
"ssp126","Bottom",1992-11-15,1992,11,5.37635532325308
"ssp126","Bottom",1992-12-16,1992,12,5.14386302941114
"ssp126","Bottom",1993-01-16,1993,1,4.76753136037998
"ssp126","Bottom",1993-02-14,1993,2,4.65707766900288
"ssp126","Bottom",1993-03-16,1993,3,4.5575378607139
"ssp126","Bottom",1993-04-15,1993,4,4.60203912578115
"ssp126","Bottom",1993-05-16,1993,5,4.60300363284718
"ssp126","Bottom",1993-06-15,1993,6,4.60685413636023
"ssp126","Bottom",1993-07-16,1993,7,4.5114823167109
"ssp126","Bottom",1993-08-16,1993,8,4.6455840676463
"ssp126","Bottom",1993-09-15,1993,9,4.67573559188319
"ssp126","Bottom",1993-10-16,1993,10,4.88323153458743
"ssp126","Bottom",1993-11-15,1993,11,4.92909061716579
"ssp126","Bottom",1993-12-16,1993,12,5.06951624423143
"ssp126","Bottom",1994-01-16,1994,1,4.95656791633647
"ssp126","Bottom",1994-02-14,1994,2,4.64769561224652
"ssp126","Bottom",1994-03-16,1994,3,4.37750912979991
"ssp126","Bottom",1994-04-15,1994,4,4.36872261555475
"ssp126","Bottom",1994-05-16,1994,5,4.57678576524044
"ssp126","Bottom",1994-06-15,1994,6,4.85277624997644
"ssp126","Bottom",1994-07-16,1994,7,4.67587202744792
"ssp126","Bottom",1994-08-16,1994,8,4.69425454206854
"ssp126","Bottom",1994-09-15,1994,9,5.1733209913941
"ssp126","Bottom",1994-10-16,1994,10,5.56443121908101
"ssp126","Bottom",1994-11-15,1994,11,5.20729252544089
"ssp126","Bottom",1994-12-16,1994,12,5.09531902247602
"ssp126","Bottom",1995-01-16,1995,1,5.059258968282
"ssp126","Bottom",1995-02-14,1995,2,4.85994054594457
"ssp126","Bottom",1995-03-16,1995,3,4.69801943595422
"ssp126","Bottom",1995-04-15,1995,4,4.73116236364066
"ssp126","Bottom",1995-05-16,1995,5,4.74815496550607
"ssp126","Bottom",1995-06-15,1995,6,4.92876978476282
"ssp126","Bottom",1995-07-16,1995,7,4.90979797541096
"ssp126","Bottom",1995-08-16,1995,8,5.0520155617379
"ssp126","Bottom",1995-09-15,1995,9,5.21757457962837
"ssp126","Bottom",1995-10-16,1995,10,5.66864330071834
"ssp126","Bottom",1995-11-15,1995,11,5.71511722253624
"ssp126","Bottom",1995-12-16,1995,12,5.33594950511104
"ssp126","Bottom",1996-01-16,1996,1,5.10518936231924
"ssp126","Bottom",1996-02-15,1996,2,4.85931331023901
"ssp126","Bottom",1996-03-16,1996,3,4.80855614354961
"ssp126","Bottom",1996-04-15,1996,4,5.02357192097822
"ssp126","Bottom",1996-05-16,1996,5,5.08787632267439
"ssp126","Bottom",1996-06-15,1996,6,5.10057474820923
"ssp126","Bottom",1996-07-16,1996,7,5.03653859369838
"ssp126","Bottom",1996-08-16,1996,8,5.1327197167808
"ssp126","Bottom",1996-09-15,1996,9,5.54858049592286
"ssp126","Bottom",1996-10-16,1996,10,5.94491526438757
"ssp126","Bottom",1996-11-15,1996,11,5.78442175822666
"ssp126","Bottom",1996-12-16,1996,12,5.64218553772913
"ssp126","Bottom",1997-01-16,1997,1,5.21600940859822
"ssp126","Bottom",1997-02-14,1997,2,5.01019795634889
"ssp126","Bottom",1997-03-16,1997,3,4.80898731986149
"ssp126","Bottom",1997-04-15,1997,4,4.76136767746046
"ssp126","Bottom",1997-05-16,1997,5,4.91431578275469
"ssp126","Bottom",1997-06-15,1997,6,5.11197868556995
"ssp126","Bottom",1997-07-16,1997,7,5.2387281165486
"ssp126","Bottom",1997-08-16,1997,8,5.52963390370457
"ssp126","Bottom",1997-09-15,1997,9,6.0919795035355
"ssp126","Bottom",1997-10-16,1997,10,6.3830013803551
"ssp126","Bottom",1997-11-15,1997,11,6.67971278949778
"ssp126","Bottom",1997-12-16,1997,12,6.60773794653284
"ssp126","Bottom",1998-01-16,1998,1,6.08939072795015
"ssp126","Bottom",1998-02-14,1998,2,6.03583495257537
"ssp126","Bottom",1998-03-16,1998,3,5.63685019993018
"ssp126","Bottom",1998-04-15,1998,4,5.57509086445958
"ssp126","Bottom",1998-05-16,1998,5,5.46256995484793
"ssp126","Bottom",1998-06-15,1998,6,5.26101251583348
"ssp126","Bottom",1998-07-16,1998,7,5.33167639586606
"ssp126","Bottom",1998-08-16,1998,8,5.84232745703505
"ssp126","Bottom",1998-09-15,1998,9,6.16900832535874
"ssp126","Bottom",1998-10-16,1998,10,6.4568469800559
"ssp126","Bottom",1998-11-15,1998,11,6.604095643175
"ssp126","Bottom",1998-12-16,1998,12,6.35519735381795
"ssp126","Bottom",1999-01-16,1999,1,5.84328068926644
"ssp126","Bottom",1999-02-14,1999,2,5.53679549065197
"ssp126","Bottom",1999-03-16,1999,3,5.28621729705793
"ssp126","Bottom",1999-04-15,1999,4,5.2084791030502
"ssp126","Bottom",1999-05-16,1999,5,5.35227452021659
"ssp126","Bottom",1999-06-15,1999,6,5.40589601188893
"ssp126","Bottom",1999-07-16,1999,7,5.33916112804169
"ssp126","Bottom",1999-08-16,1999,8,5.28218955263033
"ssp126","Bottom",1999-09-15,1999,9,5.75198576531579
"ssp126","Bottom",1999-10-16,1999,10,5.88234183706344
"ssp126","Bottom",1999-11-15,1999,11,6.16564203018082
"ssp126","Bottom",1999-12-16,1999,12,5.77997305085758
"ssp126","Bottom",2000-01-16,2000,1,5.32623945269216
"ssp126","Bottom",2000-02-15,2000,2,5.29359236578931
"ssp126","Bottom",2000-03-16,2000,3,5.17550881675708
"ssp126","Bottom",2000-04-15,2000,4,5.01104045556855
"ssp126","Bottom",2000-05-16,2000,5,5.11855095308331
"ssp126","Bottom",2000-06-15,2000,6,5.15875436059859
"ssp126","Bottom",2000-07-16,2000,7,5.22889331095076
"ssp126","Bottom",2000-08-16,2000,8,5.36089356702753
"ssp126","Bottom",2000-09-15,2000,9,5.52641905600917
"ssp126","Bottom",2000-10-16,2000,10,5.86295397574169
"ssp126","Bottom",2000-11-15,2000,11,5.81051498314208
"ssp126","Bottom",2000-12-16,2000,12,5.69964861303787
"ssp126","Bottom",2001-01-16,2001,1,5.62101134537972
"ssp126","Bottom",2001-02-14,2001,2,5.25041610084789
"ssp126","Bottom",2001-03-16,2001,3,5.0752714493038
"ssp126","Bottom",2001-04-15,2001,4,4.93431551027295
"ssp126","Bottom",2001-05-16,2001,5,4.97699210125695
"ssp126","Bottom",2001-06-15,2001,6,5.0957979588594
"ssp126","Bottom",2001-07-16,2001,7,5.17150088338817
"ssp126","Bottom",2001-08-16,2001,8,5.36820202712981
"ssp126","Bottom",2001-09-15,2001,9,5.82543042754861
"ssp126","Bottom",2001-10-16,2001,10,5.96747693586476
"ssp126","Bottom",2001-11-15,2001,11,5.93230733120871
"ssp126","Bottom",2001-12-16,2001,12,5.48795734613405
"ssp126","Bottom",2002-01-16,2002,1,5.33715255706529
"ssp126","Bottom",2002-02-14,2002,2,5.04376876040052
"ssp126","Bottom",2002-03-16,2002,3,4.84743760653538
"ssp126","Bottom",2002-04-15,2002,4,4.78414939382283
"ssp126","Bottom",2002-05-16,2002,5,4.77041499322004
"ssp126","Bottom",2002-06-15,2002,6,4.98851846040263
"ssp126","Bottom",2002-07-16,2002,7,5.1143144166891
"ssp126","Bottom",2002-08-16,2002,8,5.16565283241121
"ssp126","Bottom",2002-09-15,2002,9,5.39070145495129
"ssp126","Bottom",2002-10-16,2002,10,5.49530607286999
"ssp126","Bottom",2002-11-15,2002,11,6.01295430549442
"ssp126","Bottom",2002-12-16,2002,12,6.16604968363542
"ssp126","Bottom",2003-01-16,2003,1,6.05744347122
"ssp126","Bottom",2003-02-14,2003,2,5.67154801010362
"ssp126","Bottom",2003-03-16,2003,3,5.47367312223708
"ssp126","Bottom",2003-04-15,2003,4,5.24438951724318
"ssp126","Bottom",2003-05-16,2003,5,5.18669506155392
"ssp126","Bottom",2003-06-15,2003,6,5.19510560448682
"ssp126","Bottom",2003-07-16,2003,7,5.24513843963123
"ssp126","Bottom",2003-08-16,2003,8,5.44037821808006
"ssp126","Bottom",2003-09-15,2003,9,5.72397831331073
"ssp126","Bottom",2003-10-16,2003,10,6.11209517694795
"ssp126","Bottom",2003-11-15,2003,11,5.87335391172415
"ssp126","Bottom",2003-12-16,2003,12,5.87623120398465
"ssp126","Bottom",2004-01-16,2004,1,5.62256686378825
"ssp126","Bottom",2004-02-15,2004,2,5.28047867381274
"ssp126","Bottom",2004-03-16,2004,3,5.12805307946146
"ssp126","Bottom",2004-04-15,2004,4,5.11005938934008
