Model,Num_Parameters,AICc,NLL,NLLp,Time_Min,converged_s1,converged_s2,Delta_AICc
Base_59M04par,63,28164.39407,14016.99014,14996.49657,4.1,TRUE,TRUE,0
Bioen_59M04par,63,28332.06562,14100.82591,14934.74756,4.52,TRUE,TRUE,167.6715486
Bioen_61M02par,63,29047.07887,14458.33254,15398.10012,4.48,TRUE,TRUE,882.6847982
Base_59M03par,62,29086.69781,14479.21214,15458.71857,4.07,TRUE,TRUE,922.3037399
Bioen_59M03par,62,29212.63239,14542.17943,15376.10108,4.54,TRUE,TRUE,1048.238321
Bioen_63par,63,29270.28991,14569.93806,15507.3765,5.11,TRUE,NA,1105.895837
Base_61M02par,63,29285.03079,14577.3085,15711.21704,4.47,TRUE,TRUE,1120.636721
Base_63par,63,29335.95535,14602.77078,15738.01522,5.82,TRUE,NA,1171.561277
Full_59M04par,63,29508.23501,14688.91061,15452.62767,4.19,TRUE,TRUE,1343.840939
Full_61M02par,63,30022.72688,14946.15654,15925.17716,9.61,TRUE,TRUE,1858.332808
Full_63par,63,30140.14168,15004.86395,16020.7173,9.61,TRUE,NA,1975.747615
Full_59M03par,62,30378.9281,15125.32729,15889.04435,4.24,TRUE,TRUE,2214.534029
PrimProd_59M04par,63,30693.03592,15281.31106,15855.89934,2.97,TRUE,FALSE,2528.641852
PrimProd_59M03par,62,31579.14104,15725.43376,16300.02203,2.63,TRUE,TRUE,3414.746969
PrimProd_63par,63,31858.29006,15863.93813,16438.19971,2.64,TRUE,NA,3693.895989
PrimProd_61M02par,63,31863.56325,15866.57473,16436.50561,2.9,TRUE,TRUE,3699.16918
Base_NoFit,NA,53568.41068,26783.20428,NA,NA,NA,NA,25404.01661
Bioen_NoFit,NA,56699.27783,28348.63786,NA,NA,NA,NA,28534.88376
PrimProd_NoFit,NA,61736.46064,30867.22926,NA,NA,NA,NA,33572.06657
Full_NoFit,NA,66876.75934,33437.37861,NA,NA,NA,NA,38712.36527
