"Model","Num_Parameters","AICc","NLL","NLLp","Time_Min","converged_s1","converged_s2","Delta_AICc"
"Bioen_59M04par",63,28002.1242643617,13935.8552356291,14759.7257632743,4.02,TRUE,TRUE,0
"Base_59M04par",63,28023.9912874049,13946.7887471507,14882.9559072333,4.28,TRUE,TRUE,21.8670230431817
"Bioen_59M03par",62,28883.5893427288,14377.6579098764,15201.5284375216,4.91,TRUE,FALSE,881.465078367099
"Base_59M03par",62,28947.0407831154,14409.3836300698,15345.5507901524,5.03,TRUE,TRUE,944.91651875374
"Bioen_61M02par",63,29053.8330457779,14461.7096263372,15285.803844401,5.42,TRUE,TRUE,1051.70878141621
"Full_59M04par",63,29195.2951770981,14532.4406919973,15356.8892485307,12.38,FALSE,TRUE,1193.17091273637
"Bioen_63par",63,29277.24844445,14573.4173256733,15510.5747066826,4.66,TRUE,NA,1275.12418008833
"Base_63par",63,29335.9553460304,14602.7707764635,15738.0152215442,6.12,TRUE,NA,1333.83108166872
"Base_61M02par",63,29616.1723244487,14742.8792656726,15679.2962337593,5.52,TRUE,TRUE,1614.04806008702
"Full_63par",63,30095.7972629797,14982.6917349381,16004.6353088453,7.1,TRUE,NA,2093.67299861805
"Full_61M02par",63,30232.0172147879,15050.8017108422,15876.607449742,16.2,FALSE,TRUE,2229.89295042618
"Full_59M03par",62,30558.7047280089,15215.2156025165,16039.6641590499,16.11,FALSE,FALSE,2556.58046364723
"PrimProd_59M04par",63,30670.9613724352,15270.2737896659,15858.8928809412,2.58,TRUE,TRUE,2668.83710807349
"PrimProd_59M03par",62,31556.7128980815,15714.2196875528,16302.8387788281,2.93,TRUE,TRUE,3554.58863371981
"PrimProd_63par",63,31858.290058059,15863.9381324778,16438.1997115415,2.73,TRUE,NA,3856.16579369728
"PrimProd_61M02par",63,31877.6813048781,15873.6337558873,16462.3628582112,2.97,TRUE,TRUE,3875.55704051645
"Base_NoFit",NA,53532.2695288134,26765.1337056454,NA,NA,NA,NA,25530.1452644517
"Bioen_NoFit",NA,56695.8903893214,28346.9441358995,NA,NA,NA,NA,28693.7661249597
"PrimProd_NoFit",NA,61807.306106737,30902.6519946073,NA,NA,NA,NA,33805.1818423753
"Full_NoFit",NA,67062.3253959311,33530.1616392043,NA,NA,NA,NA,39060.2011315694
