Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
1998,small_copepods,,0.00639654,,0.0639654,1,,,,,spring_gak
1999,small_copepods,,0.005893929,,0.058939293,1,,,,,spring_gak
2000,small_copepods,,0.01569488,,0.1569488,1,,,,,spring_gak
2001,small_copepods,,0.004804028,,0.048040282,1,,,,,spring_gak
2002,small_copepods,,0.010065123,,0.100651232,1,,,,,spring_gak
2003,small_copepods,,0.005138796,,0.051387958,1,,,,,spring_gak
2004,small_copepods,,0.011213,,0.112129999,1,,,,,spring_gak
2005,small_copepods,,0.009243381,,0.092433813,1,,,,,spring_gak
2006,small_copepods,,0.012667283,,0.126672828,1,,,,,spring_gak
2007,small_copepods,,0.005231343,,0.052313432,1,,,,,spring_gak
2008,small_copepods,,0.004407905,,0.044079045,1,,,,,spring_gak
2009,small_copepods,,0.004421399,,0.044213988,1,,,,,spring_gak
2010,small_copepods,,0.007687733,,0.076877331,1,,,,,spring_gak
2011,small_copepods,,0.002140913,,0.021409133,1,,,,,spring_gak
2012,small_copepods,,0.005128838,,0.051288378,1,,,,,spring_gak
2013,small_copepods,,0.008287938,,0.08287938,1,,,,,spring_gak
2014,small_copepods,,0.006507533,,0.065075329,1,,,,,spring_gak
2015,small_copepods,,0.004392324,,0.043923238,1,,,,,spring_gak
2016,small_copepods,,0.011278131,,0.112781311,1,,,,,spring_gak
2017,small_copepods,,0.006641236,,0.066412359,1,,,,,spring_gak
2018,small_copepods,,0.002575662,,0.025756619,1,,,,,spring_gak
2019,small_copepods,,0.001930151,,0.019301507,1,,,,,spring_gak
2020,small_copepods,,0.002747845,,0.027478452,1,,,,,spring_gak
2021,small_copepods,,0.001326687,,0.013266869,1,,,,,spring_gak
2022,small_copepods,,0.0038,,0.038,1,,,,,spring_gak
1998,small_copepods,,0.012433051,,0.124330506,1,,,,,fall_gak
1999,small_copepods,,0.008242211,,0.082422114,1,,,,,fall_gak
2000,small_copepods,,0.007976906,,0.079769063,1,,,,,fall_gak
2001,small_copepods,,0.012005752,,0.120057524,1,,,,,fall_gak
2002,small_copepods,,0.001810513,,0.01810513,1,,,,,fall_gak
2003,small_copepods,,0.006794753,,0.067947533,1,,,,,fall_gak
2004,small_copepods,,0.002454539,,0.024545394,1,,,,,fall_gak
2005,small_copepods,,0.005405105,,0.054051054,1,,,,,fall_gak
2006,small_copepods,,0.006337679,,0.063376787,1,,,,,fall_gak
2007,small_copepods,,0.005159823,,0.051598232,1,,,,,fall_gak
2008,small_copepods,,0.003867642,,0.038676422,1,,,,,fall_gak
2009,small_copepods,,0.005002492,,0.050024924,1,,,,,fall_gak
2010,small_copepods,,0.003161005,,0.031610054,1,,,,,fall_gak
2011,small_copepods,,0.006866254,,0.068662535,1,,,,,fall_gak
2012,small_copepods,,0.007239365,,0.072393647,1,,,,,fall_gak
2013,small_copepods,,0.00371867,,0.037186702,1,,,,,fall_gak
2014,small_copepods,,0.007545483,,0.075454831,1,,,,,fall_gak
2015,small_copepods,,0.004498657,,0.044986573,1,,,,,fall_gak
2016,small_copepods,,0.005562379,,0.055623793,1,,,,,fall_gak
2017,small_copepods,,0.007625644,,0.076256443,1,,,,,fall_gak
2018,small_copepods,,0.00608098,,0.060809798,1,,,,,fall_gak
2019,small_copepods,,0.00496488,,0.049648801,1,,,,,fall_gak
2020,small_copepods,,0.002947639,,0.029476391,1,,,,,fall_gak
2021,small_copepods,,0.00257,,0.0257,1,,,,,fall_gak
1998,large_copepods,,0.039143485,,0.391434848,1,,,,,spring_gak
1999,large_copepods,,0.019355466,,0.193554655,1,,,,,spring_gak
2000,large_copepods,,0.015850982,,0.158509821,1,,,,,spring_gak
2001,large_copepods,,0.019892584,,0.198925838,1,,,,,spring_gak
2002,large_copepods,,0.041948298,,0.419482976,1,,,,,spring_gak
2003,large_copepods,,0.027316815,,0.273168147,1,,,,,spring_gak
2004,large_copepods,,0.029729456,,0.297294557,1,,,,,spring_gak
2005,large_copepods,,0.033958697,,0.339586973,1,,,,,spring_gak
2006,large_copepods,,0.049183711,,0.491837114,1,,,,,spring_gak
2007,large_copepods,,0.018825145,,0.188251451,1,,,,,spring_gak
2008,large_copepods,,0.008150236,,0.081502363,1,,,,,spring_gak
2009,large_copepods,,0.012753554,,0.127535537,1,,,,,spring_gak
2010,large_copepods,,0.016885652,,0.168856516,1,,,,,spring_gak
2011,large_copepods,,0.010033451,,0.10033451,1,,,,,spring_gak
2012,large_copepods,,0.014704005,,0.147040054,1,,,,,spring_gak
2013,large_copepods,,0.01973654,,0.197365403,1,,,,,spring_gak
2014,large_copepods,,0.02190735,,0.219073504,1,,,,,spring_gak
2015,large_copepods,,0.034231395,,0.342313945,1,,,,,spring_gak
2016,large_copepods,,0.038245705,,0.382457048,1,,,,,spring_gak
2017,large_copepods,,0.034614721,,0.346147209,1,,,,,spring_gak
2018,large_copepods,,0.036387143,,0.363871425,1,,,,,spring_gak
2019,large_copepods,,0.013887109,,0.138871086,1,,,,,spring_gak
2020,large_copepods,,0.026356508,,0.263565081,1,,,,,spring_gak
2021,large_copepods,,0.02,,0.2,1,,,,,spring_gak
