"Group","Year","Value","Scale","Stdev","Node"
"arrowtooth_flounder_adult",1991,0.0722343239524809,1,0.00722343239524809,35
"atka_mackerel",1991,0.0120307164702324,1,0.00120307164702324,57
"big_skate",1991,NA,1,NA,30
"deep_water_flatfish",1991,0.0427255302020283,1,0.00427255302020283,42
"demersal_shelf_rockfish",1991,0.000810158070273333,1,8.10158070273333e-05,46
"flathead_sole_adult",1991,0.00524775417538091,1,0.000524775417538091,39
"gelatinous_carnivores",1991,NA,1,NA,71
"infauna",1991,NA,1,NA,70
"king_crab",1991,0.000209497140380544,1,2.09497140380544e-05,64
"large_sculpins",1991,NA,1,NA,55
"lingcod",1991,0.000139909490120076,1,1.39909490120076e-05,56
"longnose_skate",1991,NA,1,NA,31
"motile_epifauna",1991,0.00288942831784435,1,0.000288942831784435,67
"octopus",1991,0.000289554720870302,1,2.89554720870302e-05,62
"other_skates",1991,NA,1,NA,32
"pacific_cod_adult",1991,0.274596859040163,1,0.0274596859040163,51
"pacific_dogfish",1991,NA,1,NA,27
"pacific_halibut_adult",1991,0.0063102534146331,1,0.00063102534146331,33
"pacific_herring_adult",1991,0.0101132435191358,1,0.00101132435191358,21
"pacific_ocean_perch_adult",1991,0.0186850904506131,1,0.00186850904506131,43
"pacific_sleeper_shark",1991,NA,1,NA,29
"pelagic_shelf_rockfish",1991,0.00410394898815432,1,0.000410394898815432,47
"rex_sole_adult",1991,NA,1,NA,37
"sablefish_adult",1991,0.0558122239307574,1,0.00558122239307574,49
"salmon_returning",1991,0.358304262763432,1,0.0358304262763432,18
"salmon_shark",1991,NA,1,NA,28
"shallow_water_flatfish",1991,0.0222156247204699,1,0.00222156247204699,41
"shelf_demersal_fish",1991,0.00255173394357858,1,0.000255173394357858,58
"shelf_forage_fish",1991,NA,1,NA,25
"slope_demersal_fish",1991,0.000305969654826659,1,3.0596965482666e-05,59
"slope_rockfish",1991,0.0354388782164596,1,0.00354388782164596,45
"squid",1991,0.000111278821224267,1,1.11278821224267e-05,61
"tanner_crab",1991,0.00475209440087916,1,0.000475209440087916,63
"thornyheads",1991,0.0054497825522109,1,0.00054497825522109,48
"walleye_pollock_adult",1991,0.374103948988154,1,0.0374103948988154,53
"arrowtooth_flounder_adult",1992,0.0872439717339172,1,0.00872439717339172,35
"atka_mackerel",1992,0.0532347616209976,1,0.00532347616209976,57
"big_skate",1992,NA,1,NA,30
"deep_water_flatfish",1992,0.0357339768027295,1,0.00357339768027295,42
"demersal_shelf_rockfish",1992,0.000904037585882294,1,9.04037585882294e-05,46
"flathead_sole_adult",1992,0.00980189036883064,1,0.000980189036883063,39
"gelatinous_carnivores",1992,NA,1,NA,71
"infauna",1992,NA,1,NA,70
"king_crab",1992,0.000116144931784009,1,1.16144931784009e-05,64
"large_sculpins",1992,NA,1,NA,55
"lingcod",1992,0.000104529279351192,1,1.04529279351192e-05,56
"longnose_skate",1992,NA,1,NA,31
"motile_epifauna",1992,0.00335684433549574,1,0.000335684433549574,67
"octopus",1992,0.000429303848548999,1,4.29303848548999e-05,62
"other_skates",1992,NA,1,NA,32
"pacific_cod_adult",1992,0.336358292619553,1,0.0336358292619553,51
"pacific_dogfish",1992,NA,1,NA,27
"pacific_halibut_adult",1992,0.00408084416411877,1,0.000408084416411877,33
"pacific_herring_adult",1992,0.0131715663624414,1,0.00131715663624414,21
"pacific_ocean_perch_adult",1992,0.0183461615460304,1,0.00183461615460304,43
"pacific_sleeper_shark",1992,NA,1,NA,29
"pelagic_shelf_rockfish",1992,0.0100952851526394,1,0.00100952851526394,47
"rex_sole_adult",1992,NA,1,NA,37
"sablefish_adult",1992,0.0535664419067253,1,0.00535664419067253,49
"salmon_returning",1992,0.350199796794585,1,0.0350199796794585,18
"salmon_shark",1992,NA,1,NA,28
"shallow_water_flatfish",1992,0.0354979575667997,1,0.00354979575667997,41
"shelf_demersal_fish",1992,0.00178962387818664,1,0.000178962387818664,58
"shelf_forage_fish",1992,0.000677212629733909,1,6.77212629733909e-05,25
"slope_demersal_fish",1992,0.00161114238434376,1,0.000161114238434376,59
"slope_rockfish",1992,0.0421418500739024,1,0.00421418500739024,45
"squid",1992,0.000142087617530423,1,1.42087617530423e-05,61
"tanner_crab",1992,0.00544706089502447,1,0.000544706089502447,63
"thornyheads",1992,0.0053844843228876,1,0.00053844843228876,48
"walleye_pollock_adult",1992,0.385848174162687,1,0.0385848174162687,53
"arrowtooth_flounder_adult",1993,0.0779253223381281,1,0.00779253223381281,35
"atka_mackerel",1993,0.0287756580511056,1,0.00287756580511056,57
"big_skate",1993,NA,1,NA,30
"deep_water_flatfish",1993,0.0280666101572184,1,0.00280666101572184,42
"demersal_shelf_rockfish",1993,0.000366274934084142,1,3.66274934084142e-05,46
"flathead_sole_adult",1993,0.0120258211262986,1,0.00120258211262986,39
"gelatinous_carnivores",1993,NA,1,NA,71
"infauna",1993,NA,1,NA,70
"king_crab",1993,NA,1,NA,64
"large_sculpins",1993,NA,1,NA,55
"lingcod",1993,2.14422006994109e-05,1,2.14422006994109e-06,56
"longnose_skate",1993,NA,1,NA,31
"motile_epifauna",1993,0.00320048899812156,1,0.000320048899812156,67
"octopus",1993,0.000288922931383615,1,2.88922931383615e-05,62
"other_skates",1993,NA,1,NA,32
"pacific_cod_adult",1993,0.19529482171837,1,0.019529482171837,51
"pacific_dogfish",1993,NA,1,NA,27
"pacific_halibut_adult",1993,0.0052386302638764,1,0.000523863026387641,33
"pacific_herring_adult",1993,0.0198621319249475,1,0.00198621319249475,21
"pacific_ocean_perch_adult",1993,0.00688762144916918,1,0.000688762144916918,43
"pacific_sleeper_shark",1993,NA,1,NA,29
"pelagic_shelf_rockfish",1993,0.0089988882688941,1,0.00089988882688941,47
"rex_sole_adult",1993,NA,1,NA,37
"sablefish_adult",1993,0.0540719600969464,1,0.00540719600969464,49
"salmon_returning",1993,0.461481228629896,1,0.0461481228629896,18
"salmon_shark",1993,NA,1,NA,28
"shallow_water_flatfish",1993,0.0381245820359587,1,0.00381245820359587,41
"shelf_demersal_fish",1993,0.00111413659358774,1,0.000111413659358774,58
"shelf_forage_fish",1993,0.000102809729989905,1,1.02809729989905e-05,25
"slope_demersal_fish",1993,0.00109742605199153,1,0.000109742605199153,59
"slope_rockfish",1993,0.0346406893584758,1,0.00346406893584758,45
"squid",1993,0.000159214985709357,1,1.59214985709357e-05,61
"tanner_crab",1993,0.00365761476840639,1,0.000365761476840639,63
"thornyheads",1993,0.0040849941857741,1,0.00040849941857741,48
"walleye_pollock_adult",1993,0.461007117634781,1,0.0461007117634781,53
"arrowtooth_flounder_adult",1994,0.0936803411012527,1,0.00936803411012527,35
"atka_mackerel",1994,0.0178941736732704,1,0.00178941736732704,57
"big_skate",1994,NA,1,NA,30
"deep_water_flatfish",1994,0.0119508964130699,1,0.00119508964130699,42
"demersal_shelf_rockfish",1994,0.000145845490673811,1,1.45845490673811e-05,46
"flathead_sole_adult",1994,0.0106966422312997,1,0.00106966422312997,39
"gelatinous_carnivores",1994,NA,1,NA,71
"infauna",1994,0.000906131017723805,1,9.06131017723805e-05,70
"king_crab",1994,0.000649064186924168,1,6.49064186924168e-05,64
"large_sculpins",1994,NA,1,NA,55
"lingcod",1994,4.96003042139294e-05,1,4.96003042139294e-06,56
"longnose_skate",1994,NA,1,NA,31
"motile_epifauna",1994,0.00342806072739586,1,0.000342806072739586,67
"octopus",1994,9.78848633848591e-05,1,9.78848633848591e-06,62
"other_skates",1994,NA,1,NA,32
"pacific_cod_adult",1994,0.19427854614536,1,0.019427854614536,51
"pacific_dogfish",1994,NA,1,NA,27
"pacific_halibut_adult",1994,0.00546698834718383,1,0.000546698834718383,33
"pacific_herring_adult",1994,0.0160769111355418,1,0.00160769111355418,21
"pacific_ocean_perch_adult",1994,0.00457509296372179,1,0.000457509296372179,43
"pacific_sleeper_shark",1994,NA,1,NA,29
"pelagic_shelf_rockfish",1994,0.00711818851722331,1,0.000711818851722331,47
"rex_sole_adult",1994,0.0151533635190336,1,0.00151533635190336,37
"sablefish_adult",1994,0.0422130690167782,1,0.00422130690167782,49
"salmon_returning",1994,0.329443638335206,1,0.0329443638335206,18
"salmon_shark",1994,NA,1,NA,28
"shallow_water_flatfish",1994,0.0153208898960255,1,0.00153208898960255,41
"shelf_demersal_fish",1994,0.000587413512533597,1,5.87413512533597e-05,58
"shelf_forage_fish",1994,5.90211161609923e-05,1,5.90211161609923e-06,25
"slope_demersal_fish",1994,0.000411124927439312,1,4.11124927439312e-05,59
"slope_rockfish",1994,0.0324286000281128,1,0.00324286000281128,45
"squid",1994,6.93827294745047e-05,1,6.93827294745047e-06,61
"tanner_crab",1994,0.00494207175869045,1,0.000494207175869045,63
"thornyheads",1994,0.00381506928086757,1,0.000381506928086757,48
"walleye_pollock_adult",1994,0.427707065242855,1,0.0427707065242855,53
"arrowtooth_flounder_adult",1995,0.0741813868100133,1,0.00741813868100133,35
"atka_mackerel",1995,0.00383212280709975,1,0.000383212280709975,57
"big_skate",1995,NA,1,NA,30
"deep_water_flatfish",1995,0.00844753779246834,1,0.000844753779246834,42
"demersal_shelf_rockfish",1995,0.000213060497765889,1,2.13060497765889e-05,46
"flathead_sole_adult",1995,0.00916019576690279,1,0.000916019576690279,39
"gelatinous_carnivores",1995,NA,1,NA,71
"infauna",1995,NA,1,NA,70
"king_crab",1995,0.000341858002121234,1,3.41858002121234e-05,64
"large_sculpins",1995,NA,1,NA,55
"lingcod",1995,0.000178367501041449,1,1.78367501041449e-05,56
"longnose_skate",1995,NA,1,NA,31
"motile_epifauna",1995,0.00120360532566054,1,0.000120360532566054,67
"octopus",1995,0.00023493874236377,1,2.3493874236377e-05,62
"other_skates",1995,NA,1,NA,32
"pacific_cod_adult",1995,0.289251051033144,1,0.0289251051033144,51
"pacific_dogfish",1995,NA,1,NA,27
"pacific_halibut_adult",1995,0.0120492029792945,1,0.00120492029792945,33
"pacific_herring_adult",1995,0.0179480860928658,1,0.00179480860928658,21
