"Year","Group","Type","Stdev","SE","Value","Scale","CV","Species","Loc","n","Source"
1980,"transient_killer_whales",NA,NA,NA,NA,1,0.1,"","","","Transient killer whales_PWS"
1980,"resident_killer_whales",NA,NA,NA,NA,1,0.1,"","","","Resident killer whales_PWS"
1980,"humpback_whale",NA,NA,NA,NA,1,0.5,"","","","ne_pacific"
1980,"other_baleen_whales",NA,NA,NA,NA,1,0.5,"","","","eastern_northern_gray"
1980,"steller_sea_lion",NA,NA,NA,0.077554618,1,0.1,"","","","ssl_haulout_survey_wgoa"
1980,"harbor_seal",NA,NA,NA,NA,1,0.1,"","","","muto_alaska"
1980,"piscivorous_surface_birds",NA,NA,NA,6.38841e-06,1,0.5,"","","","chowiet_index"
1980,"piscivorous_diving_birds",NA,NA,NA,3.42745e-05,1,0.5,"","","","chowiet_index"
1980,"planktivorous_diving_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1980,"salmon_returning",NA,NA,NA,0.478380877,1,0.8,"","","","salmon_goa"
1980,"salmon_outgoing",NA,NA,NA,0.623668372,1,0.8,"","","","salmon_goa"
1980,"pacific_herring_adult",NA,NA,NA,49393,1,0.1,"","","","sitka_index"
1980,"pacific_herring_adult",NA,NA,NA,NA,1,0.1,"","","","craig_index"
1981,"transient_killer_whales",NA,NA,NA,NA,1,0.1,"","","","Transient killer whales_PWS"
1981,"resident_killer_whales",NA,NA,NA,NA,1,0.1,"","","","Resident killer whales_PWS"
1981,"humpback_whale",NA,NA,NA,NA,1,0.5,"","","","ne_pacific"
1981,"other_baleen_whales",NA,NA,NA,NA,1,0.5,"","","","eastern_northern_gray"
1981,"steller_sea_lion",NA,NA,NA,0.071824116,1,0.1,"","","","ssl_haulout_survey_wgoa"
1981,"harbor_seal",NA,NA,NA,NA,1,0.1,"","","","muto_alaska"
1981,"piscivorous_surface_birds",NA,NA,NA,7.17841e-06,1,0.5,"","","","chowiet_index"
1981,"piscivorous_diving_birds",NA,NA,NA,4.05334e-05,1,0.5,"","","","chowiet_index"
1981,"planktivorous_diving_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1981,"salmon_returning",NA,NA,NA,0.581916693,1,0.8,"","","","salmon_goa"
1981,"salmon_outgoing",NA,NA,NA,0.982369904,1,0.8,"","","","salmon_goa"
1981,"pacific_herring_adult",NA,NA,NA,45808,1,0.1,"","","","sitka_index"
1981,"pacific_herring_adult",NA,NA,NA,NA,1,0.1,"","","","craig_index"
1982,"transient_killer_whales",NA,NA,NA,NA,1,0.1,"","","","Transient killer whales_PWS"
1982,"resident_killer_whales",NA,NA,NA,NA,1,0.1,"","","","Resident killer whales_PWS"
1982,"humpback_whale",NA,NA,NA,NA,1,0.5,"","","","ne_pacific"
1982,"other_baleen_whales",NA,NA,NA,NA,1,0.5,"","","","eastern_northern_gray"
1982,"steller_sea_lion",NA,NA,NA,0.06655446,1,0.1,"","","","ssl_haulout_survey_wgoa"
1982,"harbor_seal",NA,NA,NA,NA,1,0.1,"","","","muto_alaska"
1982,"piscivorous_surface_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1982,"piscivorous_diving_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1982,"planktivorous_diving_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1982,"salmon_returning",NA,NA,NA,0.554847531,1,0.8,"","","","salmon_goa"
1982,"salmon_outgoing",NA,NA,NA,1.166951344,1,0.8,"","","","salmon_goa"
1982,"pacific_herring_adult",NA,NA,NA,33374,1,0.1,"","","","sitka_index"
1982,"pacific_herring_adult",NA,NA,NA,NA,1,0.1,"","","","craig_index"
1983,"transient_killer_whales",NA,NA,NA,NA,1,0.1,"","","","Transient killer whales_PWS"
1983,"resident_killer_whales",NA,NA,NA,NA,1,0.1,"","","","Resident killer whales_PWS"
1983,"humpback_whale",NA,NA,NA,NA,1,0.5,"","","","ne_pacific"
1983,"other_baleen_whales",NA,NA,NA,NA,1,0.5,"","","","eastern_northern_gray"
1983,"steller_sea_lion",NA,NA,NA,0.061400014,1,0.1,"","","","ssl_haulout_survey_wgoa"
1983,"harbor_seal",NA,NA,NA,NA,1,0.1,"","","","muto_alaska"
1983,"piscivorous_surface_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1983,"piscivorous_diving_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1983,"planktivorous_diving_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1983,"salmon_returning",NA,NA,NA,0.42125664,1,0.8,"","","","salmon_goa"
1983,"salmon_outgoing",NA,NA,NA,0.919192909,1,0.8,"","","","salmon_goa"
1983,"pacific_herring_adult",NA,NA,NA,41481,1,0.1,"","","","sitka_index"
1983,"pacific_herring_adult",NA,NA,NA,NA,1,0.1,"","","","craig_index"
1984,"transient_killer_whales",NA,NA,NA,0.006745,1,0.1,"","","","Transient killer whales_PWS"
1984,"resident_killer_whales",NA,NA,NA,0.01688025,1,0.1,"","","","Resident killer whales_PWS"
1984,"humpback_whale",NA,NA,NA,NA,1,0.5,"","","","ne_pacific"
1984,"other_baleen_whales",NA,NA,NA,1.442256392,1,0.5,"","","","eastern_northern_gray"
1984,"steller_sea_lion",NA,NA,NA,0.056643799,1,0.1,"","","","ssl_haulout_survey_wgoa"
1984,"harbor_seal",NA,NA,NA,NA,1,0.1,"","","","muto_alaska"
1984,"piscivorous_surface_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1984,"piscivorous_diving_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1984,"planktivorous_diving_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1984,"salmon_returning",NA,NA,NA,0.623838752,1,0.8,"","","","salmon_goa"
1984,"salmon_outgoing",NA,NA,NA,0.97213857,1,0.8,"","","","salmon_goa"
1984,"pacific_herring_adult",NA,NA,NA,50300,1,0.1,"","","","sitka_index"
1984,"pacific_herring_adult",NA,NA,NA,NA,1,0.1,"","","","craig_index"
1985,"transient_killer_whales",NA,NA,NA,0.006745,1,0.1,"","","","Transient killer whales_PWS"
1985,"resident_killer_whales",NA,NA,NA,0.01695125,1,0.1,"","","","Resident killer whales_PWS"
1985,"humpback_whale",NA,NA,NA,NA,1,0.5,"","","","ne_pacific"
1985,"other_baleen_whales",NA,NA,NA,1.406781513,1,0.5,"","","","eastern_northern_gray"
1985,"steller_sea_lion",NA,NA,NA,0.051777381,1,0.1,"","","","ssl_haulout_survey_wgoa"
1985,"harbor_seal",NA,NA,NA,NA,1,0.1,"","","","muto_alaska"
1985,"piscivorous_surface_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1985,"piscivorous_diving_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1985,"planktivorous_diving_birds",NA,NA,NA,NA,1,0.5,"","","","chowiet_index"
1985,"salmon_returning",NA,NA,NA,0.48792217,1,0.8,"","","","salmon_goa"
1985,"salmon_outgoing",NA,NA,NA,0.815235402,1,0.8,"","","","salmon_goa"
1985,"pacific_herring_adult",NA,NA,NA,42164,1,0.1,"","","","sitka_index"
1985,"pacific_herring_adult",NA,NA,NA,NA,1,0.1,"","","","craig_index"
1986,"transient_killer_whales",NA,NA,NA,0.006745,1,0.1,"","","","Transient killer whales_PWS"
1986,"resident_killer_whales",NA,NA,NA,0.01673825,1,0.1,"","","","Resident killer whales_PWS"
