"Year","Group","Type","Stdev","SE","Value","Scale","CV","Species","Loc","n","Source"
1981,"walleye_pollock_adult",NA,NA,NA,2785755,4.25950070984579e-06,0.12,"","","","shelikof_winter_acoustic_survey"
1983,"walleye_pollock_adult",NA,NA,NA,2278172,4.25950070984579e-06,0.16,"","","","shelikof_winter_acoustic_survey"
1984,"walleye_pollock_adult",NA,NA,NA,1757168,4.25950070984579e-06,0.18,"","","","shelikof_winter_acoustic_survey"
1985,"walleye_pollock_adult",NA,NA,NA,1175823,4.25950070984579e-06,0.14,"","","","shelikof_winter_acoustic_survey"
1986,"walleye_pollock_adult",NA,NA,NA,585755,4.25950070984579e-06,0.22,"","","","shelikof_winter_acoustic_survey"
1988,"walleye_pollock_adult",NA,NA,NA,301709,4.25950070984579e-06,0.17,"","","","shelikof_winter_acoustic_survey"
1989,"walleye_pollock_adult",NA,NA,NA,290461,4.25950070984579e-06,0.1,"","","","shelikof_winter_acoustic_survey"
1990,"walleye_pollock_adult",NA,NA,NA,374731,4.25950070984579e-06,0.17,"","","","shelikof_winter_acoustic_survey"
1991,"walleye_pollock_adult",NA,NA,NA,380331,4.25950070984579e-06,0.35,"","","","shelikof_winter_acoustic_survey"
1992,"walleye_pollock_adult",NA,NA,NA,713429,4.25950070984579e-06,0.04,"","","","shelikof_winter_acoustic_survey"
1993,"walleye_pollock_adult",NA,NA,NA,435753,4.25950070984579e-06,0.05,"","","","shelikof_winter_acoustic_survey"
1994,"walleye_pollock_adult",NA,NA,NA,492593,4.25950070984579e-06,0.05,"","","","shelikof_winter_acoustic_survey"
1995,"walleye_pollock_adult",NA,NA,NA,763612,4.25950070984579e-06,0.05,"","","","shelikof_winter_acoustic_survey"
1996,"walleye_pollock_adult",NA,NA,NA,777172,4.25950070984579e-06,0.04,"","","","shelikof_winter_acoustic_survey"
1997,"walleye_pollock_adult",NA,NA,NA,583017,4.25950070984579e-06,0.04,"","","","shelikof_winter_acoustic_survey"
1998,"walleye_pollock_adult",NA,NA,NA,504774,4.25950070984579e-06,0.04,"","","","shelikof_winter_acoustic_survey"
2000,"walleye_pollock_adult",NA,NA,NA,448638,4.25950070984579e-06,0.05,"","","","shelikof_winter_acoustic_survey"
2001,"walleye_pollock_adult",NA,NA,NA,432749,4.25950070984579e-06,0.05,"","","","shelikof_winter_acoustic_survey"
2002,"walleye_pollock_adult",NA,NA,NA,256743,4.25950070984579e-06,0.07,"","","","shelikof_winter_acoustic_survey"
2003,"walleye_pollock_adult",NA,NA,NA,317269,4.25950070984579e-06,0.05,"","","","shelikof_winter_acoustic_survey"
2004,"walleye_pollock_adult",NA,NA,NA,330753,4.25950070984579e-06,0.09,"","","","shelikof_winter_acoustic_survey"
2005,"walleye_pollock_adult",NA,NA,NA,356117,4.25950070984579e-06,0.04,"","","","shelikof_winter_acoustic_survey"
2006,"walleye_pollock_adult",NA,NA,NA,293609,4.25950070984579e-06,0.04,"","","","shelikof_winter_acoustic_survey"
2007,"walleye_pollock_adult",NA,NA,NA,180881,4.25950070984579e-06,0.06,"","","","shelikof_winter_acoustic_survey"
2008,"walleye_pollock_adult",NA,NA,NA,197922,4.25950070984579e-06,0.06,"","","","shelikof_winter_acoustic_survey"
2009,"walleye_pollock_adult",NA,NA,NA,257422,4.25950070984579e-06,0.06,"","","","shelikof_winter_acoustic_survey"
2010,"walleye_pollock_adult",NA,NA,NA,421575,4.25950070984579e-06,0.03,"","","","shelikof_winter_acoustic_survey"
2012,"walleye_pollock_adult",NA,NA,NA,334061,4.25950070984579e-06,0.08,"","","","shelikof_winter_acoustic_survey"
2013,"walleye_pollock_adult",NA,NA,NA,807838,4.25950070984579e-06,0.05,"","","","shelikof_winter_acoustic_survey"
2014,"walleye_pollock_adult",NA,NA,NA,827338,4.25950070984579e-06,0.05,"","","","shelikof_winter_acoustic_survey"
2015,"walleye_pollock_adult",NA,NA,NA,847970,4.25950070984579e-06,0.04,"","","","shelikof_winter_acoustic_survey"
2016,"walleye_pollock_adult",NA,NA,NA,667003,4.25950070984579e-06,0.07,"","","","shelikof_winter_acoustic_survey"
2017,"walleye_pollock_adult",NA,NA,NA,1465229,4.25950070984579e-06,0.04,"","","","shelikof_winter_acoustic_survey"
2018,"walleye_pollock_adult",NA,NA,NA,1320867,4.25950070984579e-06,0.04,"","","","shelikof_winter_acoustic_survey"
2019,"walleye_pollock_adult",NA,NA,NA,1281083,4.25950070984579e-06,0.07,"","","","shelikof_winter_acoustic_survey"
2020,"walleye_pollock_adult",NA,NA,NA,456713,4.25950070984579e-06,0.05,"","","","shelikof_winter_acoustic_survey"
2021,"walleye_pollock_adult",NA,NA,NA,526974,4.25950070984579e-06,0.03,"","","","shelikof_winter_acoustic_survey"
2022,"walleye_pollock_adult",NA,NA,NA,365411,4.25950070984579e-06,0.1,"","","","shelikof_winter_acoustic_survey"
2023,"walleye_pollock_adult",NA,NA,NA,258829,4.25950070984579e-06,0.05,"","","","shelikof_winter_acoustic_survey"
2024,"walleye_pollock_adult",NA,NA,NA,289973,4.25950070984579e-06,0.07,"","","","shelikof_winter_acoustic_survey"
