Node,Group_name,Biomass,Production_biomass,Consumption_biomass,Diet,Catch
1,Transient killer whales,2,3,6,6,
2,Resident killer whales,2,2,5,5,
3,Offshore killer whales,2,3,6,6,1
4,Other toothed whales,4,6,4,4,
5,Humpback whale,4,2,5,4,
6,Other baleen whales,3,5,6,6,2
7,Dolphins & porpoises,3,6,6,6,2
8,Northern Elephant seals,5,4,5,6,
9,N. fur seal adult,4,4,5,5,2
10,N.fur seal juv,4,4,7,5,
11,Steller sea lion,2,4,5,4,2
12,Harbor seal,2,4,5,4,2
13,Sea otter,4,4,5,4,2
14,Piscivorous surface birds,4,6,6,6,4
15,Planktivorous surface birds,4,6,6,6,4
16,Piscivorous diving birds,5,6,6,6,4
17,Planktivorous diving birds,4,6,6,6,4
18,Salmon returning,6,5,5,5,2
19,Salmon outgoing,7,6,6,6,2
20,Pacific hake,8,7,7,7,
21,Pacific herring adult,2,6,6,5,2
22,Pacific herring juv,4,4,4,6,
23,Pacific sandlance,8,7,7,7,4
24,Pacific capelin,8,7,7,7,4
25,Shelf forage fish,8,7,7,7,4
26,Slope forage fish,8,7,7,7,
27,Pacific dogfish,6,7,7,7,3
28,Salmon shark,5,7,7,6,3
29,Pacific sleeper shark,4,7,7,4,3
30,Big skate,3,7,7,4,4
31,Longnose skate,3,7,7,4,4
32,Other skates,2,7,7,4,4
33,Pacific halibut adult,2,3,3,1,2
34,Pacific halibut juv,4,4,4,1,
35,Arrowtooth flounder adult,1,3,3,1,1
36,Arrowtooth flounder juv,4,4,4,1,
37,Rex sole adult,3,6,6,2,1
38,Rex sole juv,8,6,6,2,
39,Flathead sole adult,2,3,3,1,1
40,Flathead sole juv,8,4,4,1,
41,Shallow-water flatfish,8,6,6,1,2
42,Deep-water flatfish,3,6,6,2,1
43,Pacific ocean perch adult,2,3,3,1,1
44,Pacific ocean perch juv,4,4,4,1,
45,Slope rockfish,8,6,6,2,2
46,Demersal shelf rockfish,8,6,6,4,2
47,Pelagic shelf rockfish,3,6,6,2,1
48,Thornyhead adult,4,3,3,2,1
49,Sablefish adult,3,5,5,2,1
50,Sablefish juv,8,6,6,2,
51,Pacific cod adult,2,3,3,1,1
52,Pacific cod juv,8,4,4,1,
53, Walleye pollock adult,2,4,4,1,1
54,Walleye pollock juv,8,4,4,1,
55,Large sculpins,2,7,7,4,
56,Lingcod,4,7,7,6,2
57,Atka mackerel,4,5,5,4,
58,Shelf demersal,8,7,7,5,
59,Slope demersal fish,8,7,7,6,6
60,Miscellaneous deep-sea fish,8,7,7,7,
61,Squid,8,7,7,7,3
62,Octopus,8,7,7,7,3
63,Tanner crab,8,6,5,7,2
64,King crab,5,6,5,7,2
65,Pandalid shrimp,8,5,6,7,4
66,Nonpandalid shrimp,8,6,6,7,
67,Motile epifauna,8,6,7,7,4
68,Benthic zooplankton,8,6,7,7,
69,Sessile epifauna,8,6,7,7,4
70,Infauna,8,6,7,7,4
71,Geltatinous carnivores,8,6,6,7,
72,Gelatinous omnivores,8,7,7,7,
73,Mysids,8,7,7,7,
74,Pelagic amphipods,8,6,6,7,
75,Euphausiids,8,6,6,7,
76,Large copepods,8,7,6,7,
77,Small copepods,8,7,6,7,
78,Large microzooplankton,8,7,7,7,
79,Small microzooplankton,8,7,7,7,
80,Large phytoplankton,8,5,,,
81,Small phytoplankton,8,5,,,
82,Macroalgae,8,,,,
83,Benthic microbes,8,7,7,1,
