"varname","basin","season","month","year","simulation","MN_VAL","sim_type","MNVAL_HIND","prod_anom"
"prod_PhL_integrated","SEBS","Winter","1.0",1970,"Hindcast2022","1.509659380785686","hind","2.3809533482922935",0.634056682323687
"prod_PhL_integrated","SEBS","Winter","2.0",1970,"Hindcast2022","4.5587362354267045","hind","7.488646286328573",0.608753045760651
"prod_PhL_integrated","SEBS","Winter","3.0",1970,"Hindcast2022","51.168236548710226","hind","40.086231536179994",1.27645414866519
"prod_PhL_integrated","SEBS","Spring","4.0",1970,"Hindcast2022","351.7317368830216","hind","272.8491825456304",1.28910680105922
"prod_PhL_integrated","SEBS","Spring","5.0",1970,"Hindcast2022","800.1269185504109","hind","806.3853429085782",0.992238916030401
"prod_PhL_integrated","SEBS","Spring","6.0",1970,"Hindcast2022","790.4890106472014","hind","484.6468060641178",1.63106204509397
"prod_PhL_integrated","SEBS","Summer","7.0",1970,"Hindcast2022","410.69641441314496","hind","246.24896298663327",1.66780972164109
"prod_PhL_integrated","SEBS","Summer","8.0",1970,"Hindcast2022","363.97614453396216","hind","175.67479981638405",2.07187453701038
"prod_PhL_integrated","SEBS","Summer","9.0",1970,"Hindcast2022","364.1678400204666","hind","227.03742270275615",1.6039991807749
"prod_PhL_integrated","SEBS","Fall","10.0",1970,"Hindcast2022","323.6818794091919","hind","216.04887313756424",1.49818823263704
"prod_PhL_integrated","SEBS","Fall","11.0",1970,"Hindcast2022","75.03697597429456","hind","53.92014306606197",1.39163161867654
"prod_PhL_integrated","SEBS","Fall","12.0",1970,"Hindcast2022","1.2358389372888097","hind","4.7706579385828976",0.259049999643427
"prod_PhL_integrated","SEBS","Winter","1.0",1971,"Hindcast2022","1.236742769841342","hind","2.3809533482922935",0.519431752297196
"prod_PhL_integrated","SEBS","Winter","2.0",1971,"Hindcast2022","6.095669030070166","hind","7.488646286328573",0.813988109065659
"prod_PhL_integrated","SEBS","Winter","3.0",1971,"Hindcast2022","31.729945602150504","hind","40.086231536179994",0.791542242465783
"prod_PhL_integrated","SEBS","Spring","4.0",1971,"Hindcast2022","191.84056046969152","hind","272.8491825456304",0.703101100321636
"prod_PhL_integrated","SEBS","Spring","5.0",1971,"Hindcast2022","540.415940758833","hind","806.3853429085782",0.670170837691058
"prod_PhL_integrated","SEBS","Spring","6.0",1971,"Hindcast2022","784.7930339547747","hind","484.6468060641178",1.61930920442494
"prod_PhL_integrated","SEBS","Summer","7.0",1971,"Hindcast2022","477.70671983135816","hind","246.24896298663327",1.93993393530469
"prod_PhL_integrated","SEBS","Summer","8.0",1971,"Hindcast2022","319.4277341540227","hind","175.67479981638405",1.81829001363821
"prod_PhL_integrated","SEBS","Summer","9.0",1971,"Hindcast2022","370.14661549713077","hind","227.03742270275615",1.63033305739088
"prod_PhL_integrated","SEBS","Fall","10.0",1971,"Hindcast2022","281.8599138420774","hind","216.04887313756424",1.30461182115312
"prod_PhL_integrated","SEBS","Fall","11.0",1971,"Hindcast2022","52.2238472761273","hind","53.92014306606197",0.96854059181823
"prod_PhL_integrated","SEBS","Fall","12.0",1971,"Hindcast2022","2.611550469151411","hind","4.7706579385828976",0.547419350280888
"prod_PhL_integrated","SEBS","Winter","1.0",1972,"Hindcast2022","1.7679168128332368","hind","2.3809533482922935",0.742524759714948
"prod_PhL_integrated","SEBS","Winter","2.0",1972,"Hindcast2022","6.8151177808847265","hind","7.488646286328573",0.91006004560885
"prod_PhL_integrated","SEBS","Winter","3.0",1972,"Hindcast2022","51.54940100918435","hind","40.086231536179994",1.28596276161949
"prod_PhL_integrated","SEBS","Spring","4.0",1972,"Hindcast2022","321.7743416947078","hind","272.8491825456304",1.17931209722754
"prod_PhL_integrated","SEBS","Spring","5.0",1972,"Hindcast2022","838.9578703669665","hind","806.3853429085782",1.04039325335565
"prod_PhL_integrated","SEBS","Spring","6.0",1972,"Hindcast2022","916.3151038264172","hind","484.6468060641178",1.89068635625175
"prod_PhL_integrated","SEBS","Summer","7.0",1972,"Hindcast2022","419.8052341996796","hind","246.24896298663327",1.70480000852823
"prod_PhL_integrated","SEBS","Summer","8.0",1972,"Hindcast2022","279.04845453977634","hind","175.67479981638405",1.58843758371399
"prod_PhL_integrated","SEBS","Summer","9.0",1972,"Hindcast2022","281.1420776691814","hind","227.03742270275615",1.23830721086568
"prod_PhL_integrated","SEBS","Fall","10.0",1972,"Hindcast2022","307.66920070328035","hind","216.04887313756424",1.42407223067245
"prod_PhL_integrated","SEBS","Fall","11.0",1972,"Hindcast2022","62.62431806504167","hind","53.92014306606197",1.16142714955922
"prod_PhL_integrated","SEBS","Fall","12.0",1972,"Hindcast2022","1.3477204091648856","hind","4.7706579385828976",0.282502000041785
"prod_PhL_integrated","SEBS","Winter","1.0",1973,"Hindcast2022","1.2480614429285293","hind","2.3809533482922935",0.524185593062411
"prod_PhL_integrated","SEBS","Winter","2.0",1973,"Hindcast2022","4.265192074473549","hind","7.488646286328573",0.569554484401296
"prod_PhL_integrated","SEBS","Winter","3.0",1973,"Hindcast2022","18.88524355678421","hind","40.086231536179994",0.471115463665854
"prod_PhL_integrated","SEBS","Spring","4.0",1973,"Hindcast2022","220.8925224219615","hind","272.8491825456304",0.80957736563869
"prod_PhL_integrated","SEBS","Spring","5.0",1973,"Hindcast2022","559.1214634879909","hind","806.3853429085782",0.693367592063711
"prod_PhL_integrated","SEBS","Spring","6.0",1973,"Hindcast2022","532.7645199843913","hind","484.6468060641178",1.09928408341539
"prod_PhL_integrated","SEBS","Summer","7.0",1973,"Hindcast2022","265.1114842871737","hind","246.24896298663327",1.07659939384827
"prod_PhL_integrated","SEBS","Summer","8.0",1973,"Hindcast2022","225.80409041658618","hind","175.67479981638405",1.28535276916551
"prod_PhL_integrated","SEBS","Summer","9.0",1973,"Hindcast2022","261.4321770393496","hind","227.03742270275615",1.15149376665372
"prod_PhL_integrated","SEBS","Fall","10.0",1973,"Hindcast2022","229.4180776321448","hind","216.04887313756424",1.06188046389887
"prod_PhL_integrated","SEBS","Fall","11.0",1973,"Hindcast2022","56.40223530743206","hind","53.92014306606197",1.04603274583914
"prod_PhL_integrated","SEBS","Fall","12.0",1973,"Hindcast2022","2.062669054124605","hind","4.7706579385828976",0.432365740885064
"prod_PhL_integrated","SEBS","Winter","1.0",1974,"Hindcast2022","1.6147504667554746","hind","2.3809533482922935",0.678194920498393
"prod_PhL_integrated","SEBS","Winter","2.0",1974,"Hindcast2022","3.868256941726118","hind","7.488646286328573",0.516549559669828
"prod_PhL_integrated","SEBS","Winter","3.0",1974,"Hindcast2022","42.16372569764605","hind","40.086231536179994",1.05182562894671
"prod_PhL_integrated","SEBS","Spring","4.0",1974,"Hindcast2022","301.365842209862","hind","272.8491825456304",1.10451436723459
"prod_PhL_integrated","SEBS","Spring","5.0",1974,"Hindcast2022","704.1662271460224","hind","806.3853429085782",0.873237879803397
"prod_PhL_integrated","SEBS","Spring","6.0",1974,"Hindcast2022","427.43198566408637","hind","484.6468060641178",0.88194532660871
"prod_PhL_integrated","SEBS","Summer","7.0",1974,"Hindcast2022","321.2922911955043","hind","246.24896298663327",1.30474576338802
"prod_PhL_integrated","SEBS","Summer","8.0",1974,"Hindcast2022","173.18029982580146","hind","175.67479981638405",0.985800467721097
"prod_PhL_integrated","SEBS","Summer","9.0",1974,"Hindcast2022","185.2629427757481","hind","227.03742270275615",0.816001787592082
"prod_PhL_integrated","SEBS","Fall","10.0",1974,"Hindcast2022","172.9020262855757","hind","216.04887313756424",0.800291266390842
"prod_PhL_integrated","SEBS","Fall","11.0",1974,"Hindcast2022","35.56715026506336","hind","53.92014306606197",0.659626407546566
"prod_PhL_integrated","SEBS","Fall","12.0",1974,"Hindcast2022","1.3975662512174547","hind","4.7706579385828976",0.292950420929277
"prod_PhL_integrated","SEBS","Winter","1.0",1975,"Hindcast2022","0.9528738855603752","hind","2.3809533482922935",0.400206869338205
"prod_PhL_integrated","SEBS","Winter","2.0",1975,"Hindcast2022","3.3533067377311103","hind","7.488646286328573",0.447785435380087
"prod_PhL_integrated","SEBS","Winter","3.0",1975,"Hindcast2022","16.589459337795056","hind","40.086231536179994",0.413844322652833
"prod_PhL_integrated","SEBS","Spring","4.0",1975,"Hindcast2022","124.18759362788789","hind","272.8491825456304",0.455151056232757
"prod_PhL_integrated","SEBS","Spring","5.0",1975,"Hindcast2022","459.88418259712347","hind","806.3853429085782",0.570303250972236
"prod_PhL_integrated","SEBS","Spring","6.0",1975,"Hindcast2022","546.3161370360502","hind","484.6468060641178",1.12724592466163
"prod_PhL_integrated","SEBS","Summer","7.0",1975,"Hindcast2022","248.25820040209786","hind","246.24896298663327",1.00815937411917
"prod_PhL_integrated","SEBS","Summer","8.0",1975,"Hindcast2022","131.15083493790257","hind","175.67479981638405",0.746554628637584
"prod_PhL_integrated","SEBS","Summer","9.0",1975,"Hindcast2022","243.19894182841725","hind","227.03742270275615",1.07118438420093
"prod_PhL_integrated","SEBS","Fall","10.0",1975,"Hindcast2022","211.95613985057543","hind","216.04887313756424",0.981056446962429
"prod_PhL_integrated","SEBS","Fall","11.0",1975,"Hindcast2022","32.933153705335116","hind","53.92014306606197",0.610776452595573
"prod_PhL_integrated","SEBS","Fall","12.0",1975,"Hindcast2022","2.489715751005793","hind","4.7706579385828976",0.521881003219726
"prod_PhL_integrated","SEBS","Winter","1.0",1976,"Hindcast2022","1.0309001109898899","hind","2.3809533482922935",0.432977870704308
"prod_PhL_integrated","SEBS","Winter","2.0",1976,"Hindcast2022","4.229558765822829","hind","7.488646286328573",0.564796173314314
"prod_PhL_integrated","SEBS","Winter","3.0",1976,"Hindcast2022","41.5782864886172","hind","40.086231536179994",1.03722113292417
"prod_PhL_integrated","SEBS","Spring","4.0",1976,"Hindcast2022","168.70789335040922","hind","272.8491825456304",0.618319218611531
"prod_PhL_integrated","SEBS","Spring","5.0",1976,"Hindcast2022","405.2631828107143","hind","806.3853429085782",0.502567645077671
"prod_PhL_integrated","SEBS","Spring","6.0",1976,"Hindcast2022","495.0458088298641","hind","484.6468060641178",1.02145686845684
"prod_PhL_integrated","SEBS","Summer","7.0",1976,"Hindcast2022","300.38623718219185","hind","246.24896298663327",1.21984772459122
"prod_PhL_integrated","SEBS","Summer","8.0",1976,"Hindcast2022","151.29924675231607","hind","175.67479981638405",0.861246160009601
"prod_PhL_integrated","SEBS","Summer","9.0",1976,"Hindcast2022","166.4597142046617","hind","227.03742270275615",0.733181835060714
"prod_PhL_integrated","SEBS","Fall","10.0",1976,"Hindcast2022","162.37156082881316","hind","216.04887313756424",0.751550139886297
"prod_PhL_integrated","SEBS","Fall","11.0",1976,"Hindcast2022","20.502611038187762","hind","53.92014306606197",0.380240293744554
"prod_PhL_integrated","SEBS","Fall","12.0",1976,"Hindcast2022","0.738658865847465","hind","4.7706579385828976",0.154833751519582
"prod_PhL_integrated","SEBS","Winter","1.0",1977,"Hindcast2022","1.1341041089101558","hind","2.3809533482922935",0.476323532220225
"prod_PhL_integrated","SEBS","Winter","2.0",1977,"Hindcast2022","5.411943079901843","hind","7.488646286328573",0.722686433966309
"prod_PhL_integrated","SEBS","Winter","3.0",1977,"Hindcast2022","20.856094186693642","hind","40.086231536179994",0.520280739482081
"prod_PhL_integrated","SEBS","Spring","4.0",1977,"Hindcast2022","131.46129163140404","hind","272.8491825456304",0.481809365910117
"prod_PhL_integrated","SEBS","Spring","5.0",1977,"Hindcast2022","650.3295711839894","hind","806.3853429085782",0.806474940179709
"prod_PhL_integrated","SEBS","Spring","6.0",1977,"Hindcast2022","400.23591137362445","hind","484.6468060641178",0.825830081547415
"prod_PhL_integrated","SEBS","Summer","7.0",1977,"Hindcast2022","230.30331820072374","hind","246.24896298663327",0.935245839850399
"prod_PhL_integrated","SEBS","Summer","8.0",1977,"Hindcast2022","175.8208623672229","hind","175.67479981638405",1.00083143712696
"prod_PhL_integrated","SEBS","Summer","9.0",1977,"Hindcast2022","368.36606706401244","hind","227.03742270275615",1.62249052459641
"prod_PhL_integrated","SEBS","Fall","10.0",1977,"Hindcast2022","265.81344630406477","hind","216.04887313756424",1.23033942479679
"prod_PhL_integrated","SEBS","Fall","11.0",1977,"Hindcast2022","30.372842369326673","hind","53.92014306606197",0.563293059740484
"prod_PhL_integrated","SEBS","Fall","12.0",1977,"Hindcast2022","0.30548661118264636","hind","4.7706579385828976",0.0640344822696279
"prod_PhL_integrated","SEBS","Winter","1.0",1978,"Hindcast2022","1.4973705229230296","hind","2.3809533482922935",0.628895364118326
"prod_PhL_integrated","SEBS","Winter","2.0",1978,"Hindcast2022","7.318230365312436","hind","7.488646286328573",0.977243427650301
"prod_PhL_integrated","SEBS","Winter","3.0",1978,"Hindcast2022","57.70506646126757","hind","40.086231536179994",1.43952335377761
"prod_PhL_integrated","SEBS","Spring","4.0",1978,"Hindcast2022","413.941768310341","hind","272.8491825456304",1.51710833233343
"prod_PhL_integrated","SEBS","Spring","5.0",1978,"Hindcast2022","731.1072695535486","hind","806.3853429085782",0.90664751781883
"prod_PhL_integrated","SEBS","Spring","6.0",1978,"Hindcast2022","403.17557338688783","hind","484.6468060641178",0.831895657501864
"prod_PhL_integrated","SEBS","Summer","7.0",1978,"Hindcast2022","285.39256153663626","hind","246.24896298663327",1.15895944525106
"prod_PhL_integrated","SEBS","Summer","8.0",1978,"Hindcast2022","302.3745489438683","hind","175.67479981638405",1.72121755231776
"prod_PhL_integrated","SEBS","Summer","9.0",1978,"Hindcast2022","343.545729994647","hind","227.03742270275615",1.51316785534703
"prod_PhL_integrated","SEBS","Fall","10.0",1978,"Hindcast2022","225.01755387254775","hind","216.04887313756424",1.04151227731363
