Group,Year,Value,Scale,Stdev,CV
ak_plaice,1971,NA,1.88E-06,NA,NA
ak_plaice,1972,NA,1.88E-06,NA,NA
ak_plaice,1973,NA,1.88E-06,NA,NA
ak_plaice,1974,NA,1.88E-06,NA,NA
ak_plaice,1975,NA,1.88E-06,NA,NA
ak_plaice,1976,NA,1.88E-06,NA,NA
ak_plaice,1977,NA,1.88E-06,NA,NA
ak_plaice,1978,NA,1.88E-06,NA,NA
ak_plaice,1979,NA,1.88E-06,NA,NA
ak_plaice,1980,NA,1.88E-06,NA,NA
ak_plaice,1981,NA,1.88E-06,NA,NA
ak_plaice,1982,NA,1.88E-06,NA,NA
ak_plaice,1983,NA,1.88E-06,NA,NA
ak_plaice,1984,NA,1.88E-06,NA,NA
ak_plaice,1985,NA,1.88E-06,NA,NA
ak_plaice,1986,NA,1.88E-06,NA,NA
ak_plaice,1987,NA,1.88E-06,NA,NA
ak_plaice,1988,NA,1.88E-06,NA,NA
ak_plaice,1989,NA,1.88E-06,NA,NA
ak_plaice,1990,NA,1.88E-06,NA,NA
ak_plaice,1991,NA,1.88E-06,NA,NA
ak_plaice,1992,NA,1.88E-06,NA,NA
ak_plaice,1993,NA,1.88E-06,NA,NA
ak_plaice,1994,NA,1.88E-06,NA,NA
ak_plaice,1995,NA,1.88E-06,NA,NA
ak_plaice,1996,NA,1.88E-06,NA,NA
ak_plaice,1997,NA,1.88E-06,NA,NA
ak_plaice,1998,NA,1.88E-06,NA,NA
ak_plaice,1999,NA,1.88E-06,NA,NA
ak_plaice,2000,NA,1.88E-06,NA,NA
ak_plaice,2001,NA,1.88E-06,NA,NA
ak_plaice,2002,12176.14,1.88E-06,1217.614,0.1
ak_plaice,2003,9856.825,1.88E-06,985.6825,0.1
ak_plaice,2004,7888.286,1.88E-06,788.8286,0.1
ak_plaice,2005,11194.102,1.88E-06,1119.4102,0.1
ak_plaice,2006,17317.7,1.88E-06,1731.77,0.1
ak_plaice,2007,19521.712,1.88E-06,1952.1712,0.1
ak_plaice,2008,17376.854,1.88E-06,1737.6854,0.1
ak_plaice,2009,13943.64,1.88E-06,1394.364,0.1
ak_plaice,2010,16164.47005,1.88E-06,1616.447005,0.1
ak_plaice,2011,23655.19212,1.88E-06,2365.519212,0.1
ak_plaice,2012,16611.76271,1.88E-06,1661.176271,0.1
ak_plaice,2013,23522.44119,1.88E-06,2352.244119,0.1
ak_plaice,2014,19447.42546,1.88E-06,1944.742546,0.1
ak_plaice,2015,14613.77667,1.88E-06,1461.377667,0.1
ak_plaice,2016,13383.97842,1.88E-06,1338.397842,0.1
ak_plaice,2017,16490.8151,1.88E-06,1649.08151,0.1
ak_plaice,2018,23340.41322,1.88E-06,2334.041322,0.1
ak_plaice,2019,16250.97364,1.88E-06,1625.097364,0.1
ak_plaice,2020,20075.21652,1.88E-06,2007.521652,0.1
ak_plaice,2021,15861.53793,1.88E-06,1586.153793,0.1
ak_plaice,2022,11252.46623,1.88E-06,1125.246623,0.1
ak_plaice,2023,15251.7426,1.88E-06,1525.17426,0.1
ak_plaice,2024,10392.63406,1.88E-06,1039.263406,0.1
albatross,1971,NA,1.88E-06,NA,NA
albatross,1972,NA,1.88E-06,NA,NA
albatross,1973,NA,1.88E-06,NA,NA
albatross,1974,NA,1.88E-06,NA,NA
albatross,1975,NA,1.88E-06,NA,NA
albatross,1976,NA,1.88E-06,NA,NA
albatross,1977,NA,1.88E-06,NA,NA
albatross,1978,NA,1.88E-06,NA,NA
albatross,1979,NA,1.88E-06,NA,NA
albatross,1980,NA,1.88E-06,NA,NA
albatross,1981,NA,1.88E-06,NA,NA
albatross,1982,NA,1.88E-06,NA,NA
albatross,1983,NA,1.88E-06,NA,NA
albatross,1984,NA,1.88E-06,NA,NA
albatross,1985,NA,1.88E-06,NA,NA
albatross,1986,NA,1.88E-06,NA,NA
albatross,1987,NA,1.88E-06,NA,NA
albatross,1988,NA,1.88E-06,NA,NA
