Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
1982,ak_plaice,NA,64078.95432,3506.244381,713657.0979,1.88E-06,,,,,ebs_race_shelf
1983,ak_plaice,NA,58175.16501,3096.351606,652309.1388,1.88E-06,,,,,ebs_race_shelf
1984,ak_plaice,NA,112077.7824,5948.471056,773064.6447,1.88E-06,,,,,ebs_race_shelf
1985,ak_plaice,NA,60136.63757,3200.750256,583143.1888,1.88E-06,,,,,ebs_race_shelf
1986,ak_plaice,NA,61781.98345,3283.675372,552402.2804,1.88E-06,,,,,ebs_race_shelf
1987,ak_plaice,NA,55216.61367,3016.805875,549917.403,1.88E-06,,,,,ebs_race_shelf
1988,ak_plaice,NA,137551.6582,7122.15489,682762.4135,1.88E-06,,,,,ebs_race_shelf
1989,ak_plaice,NA,55081.18601,2851.995704,514826.9294,1.88E-06,,,,,ebs_race_shelf
1990,ak_plaice,NA,45414.60475,2445.040129,496003.4316,1.88E-06,,,,,ebs_race_shelf
1991,ak_plaice,NA,48933.9281,2611.899855,529361.7598,1.88E-06,,,,,ebs_race_shelf
1992,ak_plaice,NA,54704.30699,2899.322472,518962.2836,1.88E-06,,,,,ebs_race_shelf
1993,ak_plaice,NA,49036.96245,2621.135897,516152.3479,1.88E-06,,,,,ebs_race_shelf
1994,ak_plaice,NA,51999.32134,2681.660241,625855.8912,1.88E-06,,,,,ebs_race_shelf
1995,ak_plaice,NA,61653.0353,3290.795573,554539.7855,1.88E-06,,,,,ebs_race_shelf
1996,ak_plaice,NA,66408.2398,3549.669728,530817.1571,1.88E-06,,,,,ebs_race_shelf
1997,ak_plaice,NA,70606.37223,3774.069346,637600.6988,1.88E-06,,,,,ebs_race_shelf
1998,ak_plaice,NA,58337.15204,3122.716155,456509.7193,1.88E-06,,,,,ebs_race_shelf
1999,ak_plaice,NA,39930.63806,2140.506879,480636.8132,1.88E-06,,,,,ebs_race_shelf
2000,ak_plaice,NA,67142.00395,3599.189202,444724.9239,1.88E-06,,,,,ebs_race_shelf
2001,ak_plaice,NA,67763.84898,3627.315673,546384.9273,1.88E-06,,,,,ebs_race_shelf
2002,ak_plaice,NA,52456.95584,2803.942233,425314.8229,1.88E-06,,,,,ebs_race_shelf
2003,ak_plaice,NA,94056.42606,5027.527447,461525.738,1.88E-06,,,,,ebs_race_shelf
2004,ak_plaice,NA,62530.4828,3347.180004,481917.5815,1.88E-06,,,,,ebs_race_shelf
2005,ak_plaice,NA,54415.45432,2921.174643,507389.1094,1.88E-06,,,,,ebs_race_shelf
2006,ak_plaice,NA,80152.14056,4133.531035,637869.5712,1.88E-06,,,,,ebs_race_shelf
2007,ak_plaice,NA,36618.83186,1957.358896,423632.3829,1.88E-06,,,,,ebs_race_shelf
2008,ak_plaice,NA,46424.95801,2485.071028,509993.232,1.88E-06,,,,,ebs_race_shelf
2009,ak_plaice,NA,49352.41362,2637.997471,530665.924,1.88E-06,,,,,ebs_race_shelf
2010,ak_plaice,NA,45300.75795,2421.427366,499106.7145,1.88E-06,,,,,ebs_race_shelf
