Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
1991,nf_seal_adu,NA,0.001431732,,0.013505018,0.00000188,0.106014842,,,,pop_model
1992,nf_seal_adu,NA,0.001593562,,0.013789894,0.00000188,0.115560164,,,,pop_model
1993,nf_seal_adu,NA,0.001755299,,0.013962899,0.00000188,0.125711629,,,,pop_model
1994,nf_seal_adu,NA,0.001851164,,0.01395075,0.00000188,0.132692778,,,,pop_model
1995,nf_seal_adu,NA,0.001864621,,0.013797592,0.00000188,0.135141049,,,,pop_model
1996,nf_seal_adu,NA,0.001849609,,0.013547327,0.00000188,0.13652943,,,,pop_model
1997,nf_seal_adu,NA,0.001791343,,0.013225221,0.00000188,0.135449036,,,,pop_model
1998,nf_seal_adu,NA,0.001786294,,0.012865826,0.00000188,0.138840224,,,,pop_model
1999,nf_seal_adu,NA,0.001717087,,0.01235834,0.00000188,0.138941514,,,,pop_model
2000,nf_seal_adu,NA,0.00168681,,0.011907655,0.00000188,0.141657629,,,,pop_model
2001,nf_seal_adu,NA,0.00165083,,0.011483543,0.00000188,0.143756162,,,,pop_model
2002,nf_seal_adu,NA,0.001616237,,0.011076914,0.00000188,0.145910396,,,,pop_model
2003,nf_seal_adu,NA,0.00156366,,0.010699253,0.00000188,0.146146661,,,,pop_model
2004,nf_seal_adu,NA,0.001519565,,0.010338949,0.00000188,0.146974831,,,,pop_model
2005,nf_seal_adu,NA,0.001498903,,0.009987349,0.00000188,0.150080208,,,,pop_model
2006,nf_seal_adu,NA,0.00146786,,0.009657656,0.00000188,0.151989269,,,,pop_model
2007,nf_seal_adu,NA,0.001421553,,0.009346599,0.00000188,0.152093025,,,,pop_model
2008,nf_seal_adu,NA,0.001378608,,0.009058925,0.00000188,0.152182294,,,,pop_model
2009,nf_seal_adu,NA,0.001345694,,0.008780964,0.00000188,0.153251327,,,,pop_model
2010,nf_seal_adu,NA,0.00129119,,0.008520625,0.00000188,0.151536982,,,,pop_model
2011,nf_seal_adu,NA,0.001248682,,0.008273082,0.00000188,0.150933089,,,,pop_model
2012,nf_seal_adu,NA,0.001208538,,0.008036463,0.00000188,0.150381761,,,,pop_model
2013,nf_seal_adu,NA,0.001169656,,0.0078112,0.00000188,0.149740865,,,,pop_model
2014,nf_seal_adu,NA,0.001140013,,0.007596777,0.00000188,0.1500654,,,,pop_model
2015,nf_seal_adu,NA,0.001110784,,0.007392561,0.00000188,0.150256996,,,,pop_model
2016,nf_seal_adu,NA,0.001081012,,0.007200549,0.00000188,0.150129164,,,,pop_model
2017,nf_seal_adu,NA,0.001040541,,0.007020829,0.00000188,0.148207747,,,,pop_model
2018,nf_seal_adu,NA,0.000997041,,0.006852612,0.00000188,0.145497892,,,,pop_model
1967,gray_whales,NA,1262.044,,13426,1.88E-06,0.094,,,,stock_assessment
1968,gray_whales,NA,1163.84,,14548,1.88E-06,0.08,,,,stock_assessment
1969,gray_whales,NA,1207.899,,14553,1.88E-06,0.083,,,,stock_assessment
1970,gray_whales,NA,1034.451,,12771,1.88E-06,0.081,,,,stock_assessment
1971,gray_whales,NA,1030.347,,11079,1.88E-06,0.093,,,,stock_assessment
1972,gray_whales,NA,1389.2,,17365,1.88E-06,0.08,,,,stock_assessment
1973,gray_whales,NA,1424.75,,17375,1.88E-06,0.082,,,,stock_assessment
1974,gray_whales,NA,1284.36,,15290,1.88E-06,0.084,,,,stock_assessment
1975,gray_whales,NA,1510.504,,17564,1.88E-06,0.086,,,,stock_assessment
1976,gray_whales,NA,1470.16,,18377,1.88E-06,0.08,,,,stock_assessment
1977,gray_whales,NA,1719.344,,19538,1.88E-06,0.088,,,,stock_assessment
1978,gray_whales,NA,1230.72,,15384,1.88E-06,0.08,,,,stock_assessment
1979,gray_whales,NA,1640.329,,19763,1.88E-06,0.083,,,,stock_assessment
1984,gray_whales,NA,2091.411,,23499,1.88E-06,0.089,,,,stock_assessment
1985,gray_whales,NA,1879.522,,22921,1.88E-06,0.082,,,,stock_assessment
1987,gray_whales,NA,1561.128,,26916,1.88E-06,0.058,,,,stock_assessment
1992,gray_whales,NA,1071.816,,15762,1.88E-06,0.068,,,,stock_assessment
1993,gray_whales,NA,1105.665,,20103,1.88E-06,0.055,,,,stock_assessment
1995,gray_whales,NA,1277.584,,20944,1.88E-06,0.061,,,,stock_assessment
1997,gray_whales,NA,1437.18,,21135,1.88E-06,0.068,,,,stock_assessment
2000,gray_whales,NA,998.509,,16369,1.88E-06,0.061,,,,stock_assessment
2001,gray_whales,NA,1106.277,,16033,1.88E-06,0.069,,,,stock_assessment
2006,gray_whales,NA,1357.946,,19126,1.88E-06,0.071,,,,stock_assessment
2007,gray_whales,NA,1376.013908,,17820,1.88E-06,0.077217391,,,,stock_assessment
2009,gray_whales,NA,1637.780863,,21210,1.88E-06,0.077217391,,,,stock_assessment
2010,gray_whales,NA,1620.793037,,20990,1.88E-06,0.077217391,,,,stock_assessment
2014,gray_whales,NA,2223.088687,,28790,1.88E-06,0.077217391,,,,stock_assessment
2015,gray_whales,NA,2081.780861,,26960,1.88E-06,0.077217391,,,,stock_assessment
2019,gray_whales,NA,1589.133907,,20580,1.88E-06,0.077217391,,,,stock_assessment
2021,gray_whales,NA,1285.66956,,16650,1.88E-06,0.077217391,,,,stock_assessment
2022,gray_whales,NA,1121.659822,,14526,1.88E-06,0.077217391,,,,stock_assessment
