Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
2002,ak_skate,NA,33307.45623,4965.182419,35931.81725,1.88E-06,,,,,ebs_race_slope
2004,ak_skate,NA,1329.57565,124.5261689,4257.040442,1.88E-06,,,,,ebs_race_slope
2008,ak_skate,NA,1366.417883,119.3844847,4343.461477,1.88E-06,,,,,ebs_race_slope
2010,ak_skate,NA,358.5447681,29.08182091,1319.543359,1.88E-06,,,,,ebs_race_slope
2012,ak_skate,NA,5005.606408,539.7684206,19135.14227,1.88E-06,,,,,ebs_race_slope
2016,ak_skate,NA,2726.706904,276.8551398,9151.917977,1.88E-06,,,,,ebs_race_slope
2002,arrowtooth_adu,NA,5426.608997,556.7583356,42508.21634,1.88E-06,,,,,ebs_race_slope
2004,arrowtooth_adu,NA,5732.67398,422.6183328,53744.98497,1.88E-06,,,,,ebs_race_slope
2008,arrowtooth_adu,NA,8793.441684,713.2423033,68316.7132,1.88E-06,,,,,ebs_race_slope
2010,arrowtooth_adu,NA,10919.89431,855.3121335,74065.3971,1.88E-06,,,,,ebs_race_slope
2012,arrowtooth_adu,NA,13081.07673,1090.089727,72844.91169,1.88E-06,,,,,ebs_race_slope
2016,arrowtooth_adu,NA,5373.399377,482.545509,45525.27549,1.88E-06,,,,,ebs_race_slope
2002,atka,NA,1.817535775,0.428397291,1.870228883,1.88E-06,,,,,ebs_race_slope
2004,atka,NA,8.541542832,1.486891754,16.78403262,1.88E-06,,,,,ebs_race_slope
2008,atka,NA,15.38167536,2.037352673,35.07468391,1.88E-06,,,,,ebs_race_slope
2010,atka,NA,0.741570371,0.331640352,0.82910088,1.88E-06,,,,,ebs_race_slope
2012,atka,NA,21.95116743,4.224504142,38.214706,1.88E-06,,,,,ebs_race_slope
2016,atka,NA,8.649418523,2.162354631,16.25644899,1.88E-06,,,,,ebs_race_slope
2002,bairdi,NA,495.973234,58.86119371,1576.732703,1.88E-06,,,,,ebs_race_slope
2004,bairdi,NA,370.0948403,33.78488207,787.2988133,1.88E-06,,,,,ebs_race_slope
2008,bairdi,NA,161.8654886,15.64812741,508.8457539,1.88E-06,,,,,ebs_race_slope
2010,bairdi,NA,598.5995408,49.20457915,2202.585886,1.88E-06,,,,,ebs_race_slope
2012,bairdi,NA,141.0490436,13.9659364,612.9985347,1.88E-06,,,,,ebs_race_slope
2016,bairdi,NA,176.6731592,19.63035102,642.9008321,1.88E-06,,,,,ebs_race_slope
2002,ben_zooplankton,NA,74.57677481,6.515803069,146.2810383,1.88E-06,,,,,ebs_race_slope
2004,ben_zooplankton,NA,30.48577902,2.074294528,76.31891698,1.88E-06,,,,,ebs_race_slope
2008,ben_zooplankton,NA,520.3936148,38.05495002,639.7066226,1.88E-06,,,,,ebs_race_slope
2010,ben_zooplankton,NA,10.11059053,0.718528382,45.39603511,1.88E-06,,,,,ebs_race_slope
2012,ben_zooplankton,NA,21.21645956,1.709671033,91.05995432,1.88E-06,,,,,ebs_race_slope
2016,ben_zooplankton,NA,182.6767643,13.92897269,253.6896583,1.88E-06,,,,,ebs_race_slope
2002,deep_demersals,NA,40812.0177,3579.450741,476312.8296,1.88E-06,,,,,ebs_race_slope
2004,deep_demersals,NA,69511.90501,4675.876736,715212.7758,1.88E-06,,,,,ebs_race_slope
2008,deep_demersals,NA,47400.89418,3368.634865,503464.251,1.88E-06,,,,,ebs_race_slope
2010,deep_demersals,NA,69995.44632,4986.969063,737632.2179,1.88E-06,,,,,ebs_race_slope
2012,deep_demersals,NA,59062.0248,4698.722405,615326.9276,1.88E-06,,,,,ebs_race_slope
2016,deep_demersals,NA,49523.09056,4057.089659,561064.6361,1.88E-06,,,,,ebs_race_slope
2002,eelpouts,NA,3927.610137,333.1355438,16089.79014,1.88E-06,,,,,ebs_race_slope
2004,eelpouts,NA,3146.424716,207.0195475,21151.87807,1.88E-06,,,,,ebs_race_slope
2008,eelpouts,NA,2282.543025,161.4001651,15070.73677,1.88E-06,,,,,ebs_race_slope
2010,eelpouts,NA,7706.179376,571.2200196,31288.90212,1.88E-06,,,,,ebs_race_slope
2012,eelpouts,NA,5288.828717,397.5327098,17157.19439,1.88E-06,,,,,ebs_race_slope
2016,eelpouts,NA,2619.273298,199.7177166,14511.27208,1.88E-06,,,,,ebs_race_slope
2008,euphausiids,NA,0,0,0,1.88E-06,,,,,ebs_race_slope
2012,euphausiids,NA,0,0,0,1.88E-06,,,,,ebs_race_slope
2002,fh_sole,NA,3100.992098,344.5546776,22073.83912,1.88E-06,,,,,ebs_race_slope
2004,fh_sole,NA,2138.498242,168.5372718,22506.48909,1.88E-06,,,,,ebs_race_slope
2008,fh_sole,NA,2134.809888,189.433745,18639.80184,1.88E-06,,,,,ebs_race_slope
2010,fh_sole,NA,2315.837866,202.3356938,20499.9667,1.88E-06,,,,,ebs_race_slope
2012,fh_sole,NA,2455.642297,233.0792521,22115.50275,1.88E-06,,,,,ebs_race_slope
2016,fh_sole,NA,2104.278816,212.56426,19299.70451,1.88E-06,,,,,ebs_race_slope
2002,gr_turbot_adu,NA,3170.293598,269.8733129,27028.67764,1.88E-06,,,,,ebs_race_slope
2004,gr_turbot_adu,NA,11252.92648,756.9537494,36556.96089,1.88E-06,,,,,ebs_race_slope
2008,gr_turbot_adu,NA,2181.122147,160.794458,17426.30276,1.88E-06,,,,,ebs_race_slope
2010,gr_turbot_adu,NA,1872.044434,134.4049575,19872.7967,1.88E-06,,,,,ebs_race_slope
2012,gr_turbot_adu,NA,1850.139004,137.1414273,17922.40001,1.88E-06,,,,,ebs_race_slope
2016,gr_turbot_adu,NA,4198.016,327.8099756,23573.14982,1.88E-06,,,,,ebs_race_slope
2002,halibut_adu,NA,1339.995967,146.2055464,8004.024001,1.88E-06,,,,,ebs_race_slope
2004,halibut_adu,NA,692.5083826,57.70903188,4529.937616,1.88E-06,,,,,ebs_race_slope
2008,halibut_adu,NA,1106.184619,98.94016015,7985.114832,1.88E-06,,,,,ebs_race_slope
2010,halibut_adu,NA,746.0474782,64.93509812,4818.634589,1.88E-06,,,,,ebs_race_slope
2012,halibut_adu,NA,1503.281662,142.6851809,7308.411985,1.88E-06,,,,,ebs_race_slope
2016,halibut_adu,NA,720.6517418,75.96336346,4665.607973,1.88E-06,,,,,ebs_race_slope
