Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
2004,euphausiids,NA,1.473138681,NA,26.94172094,0.00000188,0.054678715,euphausiids,ebs,NA,mace_acoustic
2006,euphausiids,NA,1.965815541,NA,66.53144583,0.00000188,0.029547164,euphausiids,ebs,NA,mace_acoustic
2007,euphausiids,NA,2.46860499,NA,77.51658875,0.00000188,0.031846151,euphausiids,ebs,NA,mace_acoustic
2008,euphausiids,NA,2.833733544,NA,85.87890838,0.00000188,0.032996851,euphausiids,ebs,NA,mace_acoustic
2009,euphausiids,NA,2.78292388,NA,87.36019098,0.00000188,0.031855744,euphausiids,ebs,NA,mace_acoustic
2010,euphausiids,NA,1.304985701,NA,63.73017438,0.00000188,0.020476732,euphausiids,ebs,NA,mace_acoustic
2012,euphausiids,NA,1.434396886,NA,48.69410259,0.00000188,0.029457302,euphausiids,ebs,NA,mace_acoustic
2014,euphausiids,NA,2.03326379,NA,28.05115848,0.00000188,0.072484129,euphausiids,ebs,NA,mace_acoustic
2016,euphausiids,NA,0.827984149,NA,11.82771119,0.00000188,0.070003751,euphausiids,ebs,NA,mace_acoustic
2018,euphausiids,NA,1.059406988,NA,22.55568844,0.00000188,0.046968506,euphausiids,ebs,NA,mace_acoustic
2020,euphausiids,NA,8.952729505,NA,60.08543292,0.00000188,0.149,euphausiids,ebs,NA,mace_acoustic
2022,euphausiids,NA,1.807586646,NA,36.56581149,0.00000188,0.04943379,euphausiids,ebs,NA,mace_acoustic
2024,euphausiids,NA,1.184140158,NA,16.42180832,0.00000188,0.072107781,euphausiids,ebs,NA,mace_acoustic
2000,copepods,NA,2207870241,NA,4415740482,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2003,copepods,NA,1837429604,NA,3674859207,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2004,copepods,NA,1594258676,NA,3188517351,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2005,copepods,NA,1921893094,NA,3843786188,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2006,copepods,NA,1220923488,NA,2441846976,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2007,copepods,NA,2000010005,NA,4000020009,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2008,copepods,NA,1063713386,NA,2127426772,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2009,copepods,NA,1489883781,NA,2979767562,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2010,copepods,NA,1170047544,NA,2340095087,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2011,copepods,NA,1195418124,NA,2390836247,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2012,copepods,NA,885270871.5,NA,1770541743,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2014,copepods,NA,2769392473,NA,5538784945,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2015,copepods,NA,1331158312,NA,2662316623,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2016,copepods,NA,5314107409,NA,10628214817,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2017,copepods,NA,2679390674,NA,5358781348,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2018,copepods,NA,4590983287,NA,9181966573,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2019,copepods,NA,6010082000,NA,12020163999,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2020,copepods,NA,2846582257,NA,5693164513,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2022,copepods,NA,2745614509,NA,5491229018,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2023,copepods,NA,2004156113,NA,4008312225,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2024,copepods,NA,2415841502,NA,4831683003,0.00000188,0.5,copepods_summed,ebs,NA,foci_summer_abundance
2000,euphausiids,NA,747001.9574,0.649944518,1149331.884,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2003,euphausiids,NA,106002.0112,0.37118626,285576.3335,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2004,euphausiids,NA,139412.931,0.186570901,747238.3435,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2005,euphausiids,NA,158207.6441,0.210021181,753293.7553,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2006,euphausiids,NA,527727.0438,0.302341122,1745468.96,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2007,euphausiids,NA,147851.3196,0.144883561,1020483.75,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2008,euphausiids,NA,106203.3507,0.161712226,656742.8656,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2009,euphausiids,NA,166517.3263,0.210362115,791574.6914,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2010,euphausiids,NA,59300.43318,0.157534036,376429.3399,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2011,euphausiids,NA,149718.4268,0.306635563,488261.7832,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2012,euphausiids,NA,198060.2502,0.172284681,1149610.337,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2014,euphausiids,NA,242342.4695,0.117609795,2060563.659,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2015,euphausiids,NA,348782.7809,0.170594834,2044509.63,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2016,euphausiids,NA,287219.3341,0.141131477,2035118.885,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2017,euphausiids,NA,2409791.139,0.249486833,9658991.258,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2018,euphausiids,NA,301443.1717,0.243001711,1240498.145,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2019,euphausiids,NA,1328125.686,0.498783451,2662730.056,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2020,euphausiids,NA,1067245.394,0.349352361,3054925.38,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2022,euphausiids,NA,1655390.974,0.239632676,6908035.253,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2023,euphausiids,NA,507405.1534,0.330343642,1535991.885,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
2024,euphausiids,NA,709468.5307,0.215929122,3285654.682,0.00000188,NA,euphausiids,ebs,NA,foci_summer_abundance
1993,copepods,NA,479772153,NA,959544306,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
1994,copepods,NA,473654390.5,NA,947308781,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
1995,copepods,NA,232328570,NA,464657140,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
1996,copepods,NA,235543885.5,NA,471087771,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
1997,copepods,NA,440546828.5,NA,881093657,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
1998,copepods,NA,444557994.5,NA,889115989,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
1999,copepods,NA,257118136,NA,514236272,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
2000,copepods,NA,242470173,NA,484940346,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
2002,copepods,NA,484940497,NA,969880994,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
2003,copepods,NA,279458157,NA,558916314,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
2004,copepods,NA,798627578,NA,1597255156,0.00000188,0.5,copepods_summed,ebs,NA,foci_spring_abundance
