Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
1976,fulmars,NA,876.8124087,NA,659,0.00000188,NA,NOFU,pribilofs,2,colony_count
1982,fulmars,NA,NA,NA,920,0.00000188,NA,NOFU,pribilofs,1,colony_count
1985,fulmars,NA,19.46792233,NA,88.5,0.00000188,NA,NOFU,pribilofs,4,colony_count
1986,fulmars,NA,466.3545555,NA,419.5,0.00000188,NA,NOFU,pribilofs,8,colony_count
1987,fulmars,NA,577.4025748,NA,485.2,0.00000188,NA,NOFU,pribilofs,10,colony_count
1988,fulmars,NA,644.9606225,NA,559.75,0.00000188,NA,NOFU,pribilofs,12,colony_count
1989,fulmars,NA,666.6673561,NA,467.1818182,0.00000188,NA,NOFU,pribilofs,11,colony_count
1992,fulmars,NA,1115.980175,NA,878,0.00000188,NA,NOFU,pribilofs,9,colony_count
1995,fulmars,NA,30.92463958,NA,62.66666667,0.00000188,NA,NOFU,pribilofs,3,colony_count
1996,fulmars,NA,785.3726851,NA,797.6363636,0.00000188,NA,NOFU,pribilofs,11,colony_count
1999,fulmars,NA,288.5885191,NA,274,0.00000188,NA,NOFU,pribilofs,10,colony_count
2002,fulmars,NA,915.2397682,NA,1011,0.00000188,NA,NOFU,pribilofs,13,colony_count
2005,fulmars,NA,726.2651949,NA,773.75,0.00000188,NA,NOFU,pribilofs,16,colony_count
2008,fulmars,NA,220.2498581,NA,237,0.00000188,NA,NOFU,pribilofs,13,colony_count
2011,fulmars,NA,235.9045775,NA,237.3333333,0.00000188,NA,NOFU,pribilofs,12,colony_count
2014,fulmars,NA,835.2497939,NA,791.2727273,0.00000188,NA,NOFU,pribilofs,11,colony_count
2017,fulmars,NA,330.023484,NA,292,0.00000188,NA,NOFU,pribilofs,9,colony_count
1976,oth_birds,NA,NA,NA,243,0.00000188,NA,RFCO,st_paul,1,colony_count
1984,oth_birds,NA,NA,NA,61,0.00000188,NA,RFCO,st_paul,1,colony_count
1985,oth_birds,NA,1.414213562,NA,201,0.00000188,NA,RFCO,st_paul,4,colony_count
1986,oth_birds,NA,15.20526225,NA,146.8,0.00000188,NA,RFCO,st_paul,5,colony_count
1987,oth_birds,NA,15.57455189,NA,159.8333333,0.00000188,NA,RFCO,st_paul,6,colony_count
1988,oth_birds,NA,12.10666876,NA,140.2857143,0.00000188,NA,RFCO,st_paul,7,colony_count
1989,oth_birds,NA,27.66605708,NA,116.625,0.00000188,NA,RFCO,st_paul,8,colony_count
1992,oth_birds,NA,62.29526467,NA,344.8,0.00000188,NA,RFCO,st_paul,5,colony_count
