Group,Biomass,PB,QB,Diet,F_Trawl,F_Codpot,F_Longline,F_Halibut,F_Crabpot,F_Salmon,F_Herring,F_Indigenous,F_Subsistence
transient_killers,0.5,0.3,0.2,0.7,0,0,0,0,0,0,0,0,0
toothed_whales,0.8,0.6,0.2,0.8,0.1,0,0.1,0,0,0,0,0.1,0
gray_whales,0.5,0.6,0.2,0.7,0,0,0,0,0,0,0,0,0
baleen_whales,0.5,0.6,0.2,0.8,0.1,0,0,0,0,0,0,0.1,0
pinnipeds,0.5,0.6,0.2,0.7,0.1,0.1,0.1,0,0,0,0,0.1,0
walrus_bd_seals,0.5,0.6,0.2,0.7,0.1,0,0,0,0,0,0,0.1,0.1
nf_seal_juv,0.1,0.4,0.2,0.6,0,0,0,0,0,0,0,0,0
nf_seal_adu,0.1,0.4,0.2,0.6,0.1,0,0,0,0,0,0,0.1,0.1
ice_seals,0.5,0.6,0.2,0.7,0.1,0,0.1,0,0,0,0,0.1,0.1
oth_birds,0.8,0.6,0.6,0.8,0.5,0.5,0.5,0,0,0,0,0,0
murres_puffins,0.5,0.6,0.6,0.8,0.5,0.5,0.5,0,0,0,0,0,0
kittiwakes,0.5,0.6,0.6,0.8,0.5,0.5,0.5,0,0,0,0,0,0
auklets,0.5,0.6,0.6,0.8,0.5,0.5,0.5,0,0,0,0,0,0
fulmars,0.5,0.6,0.6,0.8,0.5,0.5,0.5,0,0,0,0,0,0
albatross,0.8,0.6,0.6,0.8,0.5,0.5,0.5,0,0,0,0,0,0
sharks,0.5,0.7,0.7,0.8,0.5,0,0.5,0.8,0,0,0,0,0
pollock_juv,0.8,0.4,0.4,0.1,0,0,0,0,0,0,0,0,0
pollock_adu,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0
pcod_juv,0.8,0.4,0.4,0.1,0,0,0,0,0,0,0,0,0
pcod_adu,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0
herring,0.5,0.3,0.3,0.6,0.1,0,0,0,0,0,0.1,0,0
arrowtooth_juv,0.8,0.5,0.8,0.1,0,0,0,0,0,0,0,0,0
arrowtooth_adu,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0
kamchatka,0.5,0.5,0.8,0.3,0,0,0,0,0,0,0,0,0
gr_turbot_juv,0.8,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0
gr_turbot_adu,0.1,0.5,0.8,0.1,0.1,0.1,0.1,0,0,0,0,0,0
halibut_juv,0.8,0.6,0.6,0.1,0,0,0,0,0,0,0,0,0
halibut_adu,0.1,0.5,0.8,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0
yf_sole,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0
fh_sole,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0
nr_sole,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0
ak_plaice,0.1,0.6,0.6,0.1,0.1,0,0.1,0,0,0,0,0,0
oth_flatfish,0.1,0.6,0.6,0.3,0.1,0.1,0.1,0,0,0,0,0,0
ak_skate,0.1,0.7,0.7,0.1,0.5,0.5,0.5,0.8,0,0,0,0,0
oth_skate,0.5,0.7,0.7,0.7,0.5,0.5,0.5,0.8,0,0,0,0,0
sablefish_juv,0.8,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0
sablefish_adu,0.1,0.5,0.8,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0
eelpouts,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0,0,0,0,0,0
deep_demersals,0.5,0.7,0.7,0.7,0.5,0.5,0.5,0,0,0,0,0,0
pac_ocean_perch,0.5,0.4,0.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0
oth_rockfish,0.5,0.6,0.6,0.3,0.1,0.1,0.1,0,0,0,0,0,0
north_rockfish,0.8,0.6,0.6,0.3,0.1,0.1,0.1,0,0,0,0,0,0
shortraker_rock,0.5,0.6,0.6,0.3,0.1,0,0.1,0,0,0,0,0,0
rougheye_rock,0.5,0.6,0.6,0.3,0.1,0,0.1,0,0,0,0,0,0
atka,0.5,0.5,0.8,0.3,0.1,0.1,0.1,0,0,0,0,0,0
shallow_demersals,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0,0,0,0,0,0
lg_sculpins,0.1,0.7,0.7,0.3,0.5,0.5,0.5,0,0,0,0,0,0
octopus,0.8,0.7,0.7,0.8,0.5,0.5,0.5,0,0,0,0,0,0
squids,0.8,0.7,0.7,0.8,0.5,0,0,0,0,0,0,0,0
salmon_returning,0.8,0.5,0.8,0.7,0,0,0,0,0,0.1,0,0,0.1
salmon_smolts,0.8,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0
mycto_bathy,0.8,0.7,0.7,0.8,0.5,0,0,0,0,0,0,0,0
capelin,0.8,0.7,0.7,0.8,0.5,0,0,0,0,0,0,0,0
sandlance,0.8,0.7,0.7,0.8,0.5,0,0,0,0,0,0,0,0
oth_forage,0.8,0.7,0.7,0.8,0.5,0,0.5,0,0,0,0,0,0
bairdi,0.1,0.6,0.8,0.7,0,0,0,0,0.1,0,0,0,0
king_crabs,0.1,0.6,0.8,0.7,0,0,0,0,0.1,0,0,0,0
opilio,0.1,0.6,0.8,0.7,0,0,0,0,0.1,0,0,0,0
pandalid,0.8,0.5,0.8,0.8,0.5,0,0,0,0,0,0,0,0
ben_zooplankton,0.8,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0
snails_sea_stars,0.5,0.6,0.7,0.8,0.5,0.5,0.5,0.8,0.8,0,0,0,0
herb_echinoderms,0.8,0.6,0.7,0.8,0.5,0.5,0.5,0,0,0,0,0,0
misc_crabs,0.8,0.6,0.7,0.8,0.5,0.5,0.5,0,0.8,0,0,0,0
structural_epifauna,0.5,0.6,0.7,0.8,0.5,0.5,0.5,0,0,0,0,0,0
