"Species","Period","Mean_F"
"Outside","F 1991-2020",0
"Outside","F 2011-2020",0
"Outside","F 2016-2020",0
"arrowtooth_flounder_adult","F 1991-2020",0.0162974447384245
"arrowtooth_flounder_adult","F 2011-2020",0.0201180151585491
"arrowtooth_flounder_adult","F 2016-2020",0.0182099332075487
"arrowtooth_flounder_juvenile","F 1991-2020",0
"arrowtooth_flounder_juvenile","F 2011-2020",0
"arrowtooth_flounder_juvenile","F 2016-2020",0
"atka_mackerel","F 1991-2020",0.0560491131582417
"atka_mackerel","F 2011-2020",0.0170609234701951
"atka_mackerel","F 2016-2020",0.0168275472506371
"benthic_microbes","F 1991-2020",0
"benthic_microbes","F 2011-2020",0
"benthic_microbes","F 2016-2020",0
"benthic_zooplankton","F 1991-2020",0
"benthic_zooplankton","F 2011-2020",0
"benthic_zooplankton","F 2016-2020",0
"big_skate","F 1991-2020",0.0590059328586577
"big_skate","F 2011-2020",0.164894961576929
"big_skate","F 2016-2020",0.152480715446269
"deep_water_flatfish","F 1991-2020",0.0429707406548472
"deep_water_flatfish","F 2011-2020",0.00513671311705227
"deep_water_flatfish","F 2016-2020",0.00315121716697834
"demersal_shelf_rockfish","F 1991-2020",0.01641004514675
"demersal_shelf_rockfish","F 2011-2020",0.0259803472172887
"demersal_shelf_rockfish","F 2016-2020",0.0210167991408119
"detritus","F 1991-2020",0
"detritus","F 2011-2020",0
"detritus","F 2016-2020",0
"discards","F 1991-2020",0
"discards","F 2011-2020",0
"discards","F 2016-2020",0
"dolphins_porpoises","F 1991-2020",8.91351694580077e-06
"dolphins_porpoises","F 2011-2020",8.91265175521074e-06
"dolphins_porpoises","F 2016-2020",8.91365331463432e-06
"euphausiids","F 1991-2020",0
"euphausiids","F 2011-2020",0
"euphausiids","F 2016-2020",0
"flathead_sole_adult","F 1991-2020",0.0111097782947595
"flathead_sole_adult","F 2011-2020",0.0103126291639349
"flathead_sole_adult","F 2016-2020",0.00947901270630139
"flathead_sole_juvenile","F 1991-2020",0
"flathead_sole_juvenile","F 2011-2020",0
"flathead_sole_juvenile","F 2016-2020",0
"gelatinous_carnivores","F 1991-2020",0
"gelatinous_carnivores","F 2011-2020",0
"gelatinous_carnivores","F 2016-2020",1.00429876357197e-05
"harbor_seal","F 1991-2020",0.00816489353401548
"harbor_seal","F 2011-2020",0.00816773963437537
"harbor_seal","F 2016-2020",0.00816596363566199
"humpback_whale","F 1991-2020",0
"humpback_whale","F 2011-2020",0
"humpback_whale","F 2016-2020",0
"infauna","F 1991-2020",4.17608294745085e-05
"infauna","F 2011-2020",4.01160277653737e-05
"infauna","F 2016-2020",4.95798918967635e-05
"king_crab","F 1991-2020",0.0602095644502005
"king_crab","F 2011-2020",0.0368807908806821
"king_crab","F 2016-2020",0.0362773173055801
"large_copepods","F 1991-2020",0
"large_copepods","F 2011-2020",0
"large_copepods","F 2016-2020",0
"large_microzooplankton","F 1991-2020",0
"large_microzooplankton","F 2011-2020",0
"large_microzooplankton","F 2016-2020",0
"large_phytoplankton","F 1991-2020",0
"large_phytoplankton","F 2011-2020",0
"large_phytoplankton","F 2016-2020",0
"large_sculpins","F 1991-2020",0.00324389822474369
"large_sculpins","F 2011-2020",0.0240488447229774
"large_sculpins","F 2016-2020",0.0193200387030667
"lingcod","F 1991-2020",0.0507274233804929
"lingcod","F 2011-2020",0.151634605583157
"lingcod","F 2016-2020",0.165875707935915
"longnose_skate","F 1991-2020",0.0572900150021798
"longnose_skate","F 2011-2020",0.111774642759247
"longnose_skate","F 2016-2020",0.0763228677991115
"macroalgae","F 1991-2020",0
"macroalgae","F 2011-2020",0
"macroalgae","F 2016-2020",0
"miscellaneous_deep_sea_fish","F 1991-2020",0
"miscellaneous_deep_sea_fish","F 2011-2020",0
"miscellaneous_deep_sea_fish","F 2016-2020",0
"motile_epifauna","F 1991-2020",0.000143214465438207
"motile_epifauna","F 2011-2020",4.94326397694228e-05
"motile_epifauna","F 2016-2020",0.000237293992935258
"mysids","F 1991-2020",0
"mysids","F 2011-2020",0
"mysids","F 2016-2020",0
"nonpandalid_shrimp","F 1991-2020",0
"nonpandalid_shrimp","F 2011-2020",0
"nonpandalid_shrimp","F 2016-2020",0
"northern_elephant_seal","F 1991-2020",0
"northern_elephant_seal","F 2011-2020",0
"northern_elephant_seal","F 2016-2020",0
"northern_fur_seal_adult","F 1991-2020",0.0262266243297825
"northern_fur_seal_adult","F 2011-2020",0.0262230092925799
"northern_fur_seal_adult","F 2016-2020",0.026209490374549
"northern_fur_seal_juvenile","F 1991-2020",0
"northern_fur_seal_juvenile","F 2011-2020",0
"northern_fur_seal_juvenile","F 2016-2020",0
"octopus","F 1991-2020",0.000223704258646233
"octopus","F 2011-2020",0.00101344585145244
"octopus","F 2016-2020",0.000327130725553119
"offal","F 1991-2020",0
"offal","F 2011-2020",0
"offal","F 2016-2020",0
"offshore_killer_whales","F 1991-2020",0
"offshore_killer_whales","F 2011-2020",0
"offshore_killer_whales","F 2016-2020",0
"other_baleen_whales","F 1991-2020",2.73712647350809e-07
"other_baleen_whales","F 2011-2020",2.73712628624658e-07
"other_baleen_whales","F 2016-2020",2.73709450033394e-07
"other_gelatinous_zooplankton","F 1991-2020",0
"other_gelatinous_zooplankton","F 2011-2020",0
"other_gelatinous_zooplankton","F 2016-2020",0
"other_skates","F 1991-2020",0.0951078924541197
"other_skates","F 2011-2020",0.158083718012997
"other_skates","F 2016-2020",0.0966166003740613
"other_toothed_whales","F 1991-2020",0
"other_toothed_whales","F 2011-2020",0
"other_toothed_whales","F 2016-2020",0
"pacific_capelin","F 1991-2020",0
"pacific_capelin","F 2011-2020",0
"pacific_capelin","F 2016-2020",0
"pacific_cod_adult","F 1991-2020",0.188535541388844
"pacific_cod_adult","F 2011-2020",0.299693269516524
"pacific_cod_adult","F 2016-2020",0.118291530855918
"pacific_cod_juvenile","F 1991-2020",0
"pacific_cod_juvenile","F 2011-2020",0
"pacific_cod_juvenile","F 2016-2020",0
"pacific_dogfish","F 1991-2020",0.0236489318641728
"pacific_dogfish","F 2011-2020",0.122050053563981
"pacific_dogfish","F 2016-2020",0.332645549002028
"pacific_hake","F 1991-2020",0
"pacific_hake","F 2011-2020",0
"pacific_hake","F 2016-2020",0
"pacific_halibut_adult","F 1991-2020",0.0547795158469214
"pacific_halibut_adult","F 2011-2020",0.0277569104561685
"pacific_halibut_adult","F 2016-2020",0.0189957403034305
"pacific_halibut_juvenile","F 1991-2020",0
"pacific_halibut_juvenile","F 2011-2020",0
"pacific_halibut_juvenile","F 2016-2020",0
"pacific_herring_adult","F 1991-2020",0.0238591239763701
"pacific_herring_adult","F 2011-2020",0.0228801511880453
"pacific_herring_adult","F 2016-2020",0.0255993444412926
"pacific_herring_juvenile","F 1991-2020",0
"pacific_herring_juvenile","F 2011-2020",0
"pacific_herring_juvenile","F 2016-2020",0
"pacific_ocean_perch_adult","F 1991-2020",0.0504431057791732
"pacific_ocean_perch_adult","F 2011-2020",0.105930139072247
"pacific_ocean_perch_adult","F 2016-2020",0.215411815696486
"pacific_ocean_perch_juvenile","F 1991-2020",0
"pacific_ocean_perch_juvenile","F 2011-2020",0
"pacific_ocean_perch_juvenile","F 2016-2020",0
"pacific_sandlance","F 1991-2020",0
"pacific_sandlance","F 2011-2020",0
"pacific_sandlance","F 2016-2020",0
"pacific_sleeper_shark","F 1991-2020",0.0182209722640535
"pacific_sleeper_shark","F 2011-2020",0.00375772155878591
"pacific_sleeper_shark","F 2016-2020",0.00572679235417215
"pandalid_shrimp","F 1991-2020",2.93657436206706e-06
"pandalid_shrimp","F 2011-2020",2.93631540978508e-06
"pandalid_shrimp","F 2016-2020",2.93748231955459e-06
"pelagic_amphipods","F 1991-2020",0
"pelagic_amphipods","F 2011-2020",0
"pelagic_amphipods","F 2016-2020",0
"pelagic_shelf_rockfish","F 1991-2020",0.0754352155468562
"pelagic_shelf_rockfish","F 2011-2020",0.141882299625892
"pelagic_shelf_rockfish","F 2016-2020",0.158407901772411
"piscivorous_diving_birds","F 1991-2020",0
"piscivorous_diving_birds","F 2011-2020",0
"piscivorous_diving_birds","F 2016-2020",0
"piscivorous_surface_birds","F 1991-2020",0
"piscivorous_surface_birds","F 2011-2020",0
