"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",1980,1,8.90929656272105
"Cop","ssp126",1980,2,9.11891003421551
"Cop","ssp126",1980,3,13.7113227876276
"Cop","ssp126",1980,4,38.603851133966
"Cop","ssp126",1980,5,92.9910139405061
"Cop","ssp126",1980,6,96.556621443606
"Cop","ssp126",1980,7,95.3841962680397
"Cop","ssp126",1980,8,68.4974241865247
"Cop","ssp126",1980,9,58.1762087402049
"Cop","ssp126",1980,10,53.3592686707503
"Cop","ssp126",1980,11,38.0212284593103
"Cop","ssp126",1980,12,21.4683428575827
"Cop","ssp126",1981,1,12.7833177897484
"Cop","ssp126",1981,2,9.1812790138164
"Cop","ssp126",1981,3,9.44337226896952
"Cop","ssp126",1981,4,19.4729480251799
"Cop","ssp126",1981,5,42.0624442464035
"Cop","ssp126",1981,6,69.7767986598073
"Cop","ssp126",1981,7,74.0170441824532
"Cop","ssp126",1981,8,55.6780241948993
"Cop","ssp126",1981,9,51.1945311004593
"Cop","ssp126",1981,10,41.3082224585148
"Cop","ssp126",1981,11,23.265984225755
"Cop","ssp126",1981,12,14.6727233037993
"Cop","ssp126",1982,1,8.77497971693041
"Cop","ssp126",1982,2,6.28412406401245
"Cop","ssp126",1982,3,7.93178780020577
"Cop","ssp126",1982,4,13.8652136061255
"Cop","ssp126",1982,5,30.3353430397266
"Cop","ssp126",1982,6,60.4332512025615
"Cop","ssp126",1982,7,77.0417828479638
"Cop","ssp126",1982,8,55.3465074535099
"Cop","ssp126",1982,9,47.275815680791
"Cop","ssp126",1982,10,47.4225006279585
"Cop","ssp126",1982,11,26.6501337422726
"Cop","ssp126",1982,12,15.6526801787714
"Cop","ssp126",1983,1,8.94172510967194
"Cop","ssp126",1983,2,6.0155994643979
"Cop","ssp126",1983,3,7.70977141324263
"Cop","ssp126",1983,4,20.1082494716247
"Cop","ssp126",1983,5,43.7764713357493
"Cop","ssp126",1983,6,59.3479478985628
"Cop","ssp126",1983,7,72.2717785661827
"Cop","ssp126",1983,8,55.9779466409536
"Cop","ssp126",1983,9,50.385495122985
"Cop","ssp126",1983,10,47.3155196052888
"Cop","ssp126",1983,11,34.6301429212825
"Cop","ssp126",1983,12,19.9452529548882
"Cop","ssp126",1984,1,13.1826213386301
"Cop","ssp126",1984,2,9.15740863071391
"Cop","ssp126",1984,3,10.5296285914196
"Cop","ssp126",1984,4,17.6978154606333
"Cop","ssp126",1984,5,53.2937303777652
"Cop","ssp126",1984,6,79.7534988311155
"Cop","ssp126",1984,7,81.3979299732618
"Cop","ssp126",1984,8,56.2503485462077
"Cop","ssp126",1984,9,49.3857715716106
"Cop","ssp126",1984,10,49.9023939210853
"Cop","ssp126",1984,11,31.7574190654804
"Cop","ssp126",1984,12,16.9564311217805
"Cop","ssp126",1985,1,10.0595867795735
"Cop","ssp126",1985,2,7.8959104127847
"Cop","ssp126",1985,3,10.3507147153971
"Cop","ssp126",1985,4,23.6116031864754
"Cop","ssp126",1985,5,64.2370685587356
"Cop","ssp126",1985,6,79.544171728929
"Cop","ssp126",1985,7,77.265523458229
"Cop","ssp126",1985,8,65.6404779772856
"Cop","ssp126",1985,9,53.1596924400427
"Cop","ssp126",1985,10,48.0225051654577
"Cop","ssp126",1985,11,28.463017867237
"Cop","ssp126",1985,12,15.7960842607813
"Cop","ssp126",1986,1,9.9382193332904
"Cop","ssp126",1986,2,7.37705165281538
"Cop","ssp126",1986,3,8.10053415747516
"Cop","ssp126",1986,4,17.9222067505983
"Cop","ssp126",1986,5,56.5125929921976
"Cop","ssp126",1986,6,70.8395965458642
"Cop","ssp126",1986,7,79.2357549129877
"Cop","ssp126",1986,8,54.4856943560493
"Cop","ssp126",1986,9,45.2375372766111
"Cop","ssp126",1986,10,43.314287370667
"Cop","ssp126",1986,11,29.3905495215434
"Cop","ssp126",1986,12,18.3258665844915
"Cop","ssp126",1987,1,11.0557171062321
"Cop","ssp126",1987,2,7.272650582465
"Cop","ssp126",1987,3,7.76760604995883
"Cop","ssp126",1987,4,19.8069750165896
"Cop","ssp126",1987,5,45.5813547868547
"Cop","ssp126",1987,6,72.7074176184517
"Cop","ssp126",1987,7,81.3113074107522
"Cop","ssp126",1987,8,57.8161119919156
"Cop","ssp126",1987,9,52.2897885886943
"Cop","ssp126",1987,10,53.4577566964859
"Cop","ssp126",1987,11,29.2816355067795
"Cop","ssp126",1987,12,17.5549574553456
"Cop","ssp126",1988,1,10.6843267948192
"Cop","ssp126",1988,2,7.00443226884131
"Cop","ssp126",1988,3,9.71218530414216
"Cop","ssp126",1988,4,28.3174778514413
"Cop","ssp126",1988,5,67.4875920835894
"Cop","ssp126",1988,6,81.0987618099381
"Cop","ssp126",1988,7,88.459405514951
"Cop","ssp126",1988,8,57.8650769308545
"Cop","ssp126",1988,9,47.8564557027292
"Cop","ssp126",1988,10,40.1988476978468
"Cop","ssp126",1988,11,26.0708541003407
"Cop","ssp126",1988,12,17.6605581482587
"Cop","ssp126",1989,1,11.5992234720648
"Cop","ssp126",1989,2,7.59383939372995
"Cop","ssp126",1989,3,9.44614911351505
"Cop","ssp126",1989,4,19.8164670173168
"Cop","ssp126",1989,5,48.6536125572759
"Cop","ssp126",1989,6,78.0569454522813
"Cop","ssp126",1989,7,79.9758616063721
"Cop","ssp126",1989,8,52.6200732958133
"Cop","ssp126",1989,9,46.6418642536765
