"Interaction","Has_Cod_Rec","Pollock_TS","Param_Set","Num_Parameters","AICc","Delta_AICc","NLL","N_Configs","converged_s1","converged_s2"
"Base",TRUE,1,"59M04par",63,25105.073594367,0,12487.3299006318,5,TRUE,TRUE
"Base",TRUE,2,"59M04par",63,25248.0411468305,142.967552463444,12558.8292690674,5,TRUE,TRUE
"Bioen",TRUE,1,"59M04par",63,25294.660901419,189.587307051988,12582.1235541578,5,TRUE,TRUE
"Bioen",TRUE,2,"59M04par",63,25462.9167059051,357.843111538114,12666.2670486047,5,TRUE,TRUE
"Full",TRUE,1,"59M04par",63,25977.9681369514,872.894542584425,12923.777171924,5,TRUE,TRUE
"Full",TRUE,2,"59M04par",63,26124.0217890148,1018.94819464781,12996.8195901596,5,TRUE,TRUE
"PrimProd",TRUE,1,"59M04par",63,27414.9754199096,2309.9018255426,13642.2808134031,5,TRUE,TRUE
"PrimProd",TRUE,2,"59M04par",63,27517.2234358865,2412.14984151945,13693.4204135954,5,TRUE,TRUE
"Base",FALSE,NA,"59M04par",63,28022.8943041489,2917.82070978191,13946.2402555227,4,TRUE,TRUE
"Bioen",FALSE,NA,"59M04par",63,28224.8127657383,3119.73917137132,14047.1994863174,4,TRUE,TRUE
"Full",FALSE,NA,"59M04par",63,28783.563954678,3678.49036031101,14326.5750807873,4,TRUE,TRUE
"PrimProd",FALSE,NA,"59M04par",63,30757.7320555648,5652.65846119776,15313.6591312307,4,TRUE,TRUE
