"Model","Num_Parameters","AICc","NLL","NLLp","Time_Min","converged_s1","converged_s2","Delta_AICc"
"Base_59M04par",63,28023.9912874049,13946.7887471507,14882.9559072333,4.52,TRUE,TRUE,0
"Bioen_59M04par",63,28379.9810505773,14124.7836287369,14762.9321905822,3.94,TRUE,TRUE,355.989763172423
"Base_59M03par",62,28947.0407831154,14409.3836300698,15345.5507901524,4.26,TRUE,TRUE,923.049495710558
"Bioen_59M03par",62,29273.5634174423,14572.6449472332,15210.7935090785,3.76,TRUE,TRUE,1249.57213003744
"Full_59M04par",63,29449.9012050671,14659.7437059818,15383.4883964041,3.44,TRUE,TRUE,1425.90991766221
"Bioen_61M02par",63,29576.004527993,14722.7953674448,15360.9472133126,4.1,TRUE,TRUE,1552.01324058812
"Base_61M02par",63,29616.1723244487,14742.8792656726,15679.2962337593,4.56,TRUE,TRUE,1592.18103704384
"Base_63par",63,29671.4869041352,14770.5365555159,15702.5850928231,5.04,TRUE,NA,1647.49561673027
"Bioen_63par",63,29680.6403406179,14775.1132737572,15414.902047163,3.87,TRUE,NA,1656.64905321304
"Full_63par",63,30199.0699167615,15034.328061829,15782.9686802487,7.01,TRUE,NA,2175.07862935667
"Full_59M03par",62,30338.1267534418,15104.9266152329,15828.6713056552,3.17,TRUE,TRUE,2314.13546603693
"Full_61M02par",63,30586.5609012695,15228.073554083,15951.8276327149,3.5,TRUE,TRUE,2562.56961386467
"PrimProd_59M04par",63,30670.9613724352,15270.2737896659,15858.8928809412,2.63,TRUE,TRUE,2646.97008503031
"PrimProd_59M03par",62,31556.7128980815,15714.2196875528,16302.8387788281,2.57,TRUE,TRUE,3532.72161067662
"PrimProd_61M02par",63,31877.6813048781,15873.6337558873,16462.3628582112,2.7,TRUE,TRUE,3853.69001747327
"PrimProd_63par",63,31895.2274598519,15882.4068333742,16473.8846758622,2.43,TRUE,NA,3871.23617244698
"Bioen_NoFit",NA,52109.7314338451,26053.8646581613,NA,NA,NA,NA,24085.7401464402
"Base_NoFit",NA,53532.2695288134,26765.1337056454,NA,NA,NA,NA,25508.2782414085
"Full_NoFit",NA,59847.5037752274,29922.7508288524,NA,NA,NA,NA,31823.5124878225
"PrimProd_NoFit",NA,61807.306106737,30902.6519946073,NA,NA,NA,NA,33783.3148193322
