"Model","Interaction","Has_Cod_Rec","Pollock_TS","Param_Set","Num_Parameters","AICc","NLL","NLLp","Time_Min","converged_s1","converged_s2","Delta_AICc"
"Base_pcod_59M04par","Base",TRUE,1,"59M04par",63,25105.073594367,12487.3299006318,13244.5402028311,4.97,TRUE,TRUE,0
"Base_pcod_59M03par_noM0poll","Base",TRUE,1,"59M03par_noM0poll",62,25189.6672298674,12530.6968534458,13287.9071556451,4.9,TRUE,TRUE,84.5936355004269
"Base_pcod_59M04par_v1","Base",TRUE,2,"59M04par",63,25248.0411468305,12558.8292690674,13308.1701417601,5.03,TRUE,TRUE,142.967552463444
"Bioen_pcod_59M04par","Bioen",TRUE,1,"59M04par",63,25294.660901419,12582.1235541578,13074.7708836902,5.11,TRUE,TRUE,189.587307051988
"Bioen_pcod_59M03par_noM0poll","Bioen",TRUE,1,"59M03par_noM0poll",62,25313.8933943484,12592.8099356863,13085.4572652186,5.02,TRUE,TRUE,208.819799981422
"Base_pcod_59M03par_noM0poll_v1","Base",TRUE,2,"59M03par_noM0poll",62,25388.0745678,12629.9156108962,13379.2564835889,4.72,TRUE,TRUE,283.00097343302
"Bioen_pcod_59M04par_v1","Bioen",TRUE,2,"59M04par",63,25462.9167059051,12666.2670486047,13156.7255835626,4.78,TRUE,TRUE,357.843111538114
"Bioen_pcod_59M03par_noM0poll_v1","Bioen",TRUE,2,"59M03par_noM0poll",62,25468.4073275175,12670.081990755,13160.5405257128,4.77,TRUE,TRUE,363.333733150528
"Full_pcod_59M04par","Full",TRUE,1,"59M04par",63,25977.9681369514,12923.777171924,13600.1660172864,4.08,TRUE,TRUE,872.894542584425
"Full_pcod_59M03par_noM0poll","Full",TRUE,1,"59M03par_noM0poll",62,25995.3520060551,12933.5392415396,13609.928086902,4.17,TRUE,TRUE,890.278411688076
"Base_pcod_59M03par","Base",TRUE,1,"59M03par",62,26029.3529786809,12950.5397278525,13707.7500300518,4.91,TRUE,TRUE,924.279384313832
"Full_pcod_59M04par_v1","Full",TRUE,2,"59M04par",63,26124.0217890148,12996.8195901596,13666.3498548676,4.48,TRUE,TRUE,1018.94819464781
"Full_pcod_59M03par_noM0poll_v1","Full",TRUE,2,"59M03par_noM0poll",62,26130.4132396088,13001.0849468006,13670.6152115086,4.26,TRUE,TRUE,1025.33964524175
"Base_pcod_61M02par","Base",TRUE,1,"61M02par",63,26167.9225438105,13018.7543753535,13769.8556851397,5.61,TRUE,TRUE,1062.84894944345
"Base_pcod_59M03par_v1","Base",TRUE,2,"59M03par",62,26172.1549914374,13021.9558227149,13771.2966954076,4.95,TRUE,TRUE,1067.08139707042
"Bioen_pcod_61M02par","Bioen",TRUE,1,"61M02par",63,26194.9426210098,13032.2644139532,13525.6875821622,6.71,TRUE,TRUE,1089.86902664273
"Bioen_pcod_59M03par","Bioen",TRUE,1,"59M03par",62,26204.7549053002,13038.2406911621,13530.8880206945,5.08,TRUE,TRUE,1099.68131093316
"Bioen_pcod_63par","Bioen",TRUE,1,"63par",63,26251.8939554702,13060.7400811834,13590.0805244191,6.51,TRUE,NA,1146.82036110319
"Base_pcod_63par","Base",TRUE,1,"63par",63,26292.3024314588,13080.9443191777,13833.2178421426,4.8,TRUE,NA,1187.22883709178
"Base_pcod_61M02par_v1","Base",TRUE,2,"61M02par",63,26313.4244887381,13091.5209400212,13834.5398437987,5.76,TRUE,TRUE,1208.35089437104
"Bioen_pcod_61M02par_v1","Bioen",TRUE,2,"61M02par",63,26364.9090968164,13117.2632440604,13608.4053106763,7.23,TRUE,TRUE,1259.83550244942
"Bioen_pcod_59M03par_v1","Bioen",TRUE,2,"59M03par",62,26373.5631015603,13122.6598777764,13613.1184127342,4.94,TRUE,TRUE,1268.48950719331
"Bioen_pcod_63par_v1","Bioen",TRUE,2,"63par",63,26401.1444124349,13135.3809018696,13662.6368285564,6.41,TRUE,NA,1296.07081806785
"Base_pcod_63par_v1","Base",TRUE,2,"63par",63,26461.1319969895,13165.3746941469,13909.4553097701,5.06,TRUE,NA,1356.05840262251
"Full_pcod_61M02par","Full",TRUE,1,"61M02par",63,26803.8909230044,13336.7385649505,13958.7309516014,8.77,TRUE,TRUE,1698.81732863741
"Full_pcod_61M02par_v1","Full",TRUE,2,"61M02par",63,26955.2703648563,13412.4438780803,14032.4907850239,9.56,TRUE,TRUE,1850.1967704893
"Full_pcod_63par","Full",TRUE,1,"63par",63,26962.3830655681,13415.9846362323,14039.1126829373,6.8,TRUE,NA,1857.30947120104
"Full_pcod_59M03par","Full",TRUE,1,"59M03par",62,26962.9933831386,13417.3599300813,14093.7487754437,4.13,TRUE,TRUE,1857.91978877156
"Full_pcod_63par_v1","Full",TRUE,2,"63par",63,27106.7748706951,13488.1961309997,14109.3641088409,7.56,TRUE,NA,2001.70127632805
"Full_pcod_59M03par_v1","Full",TRUE,2,"59M03par",62,27109.3857838686,13490.5712189305,14160.1014836385,4.7,TRUE,TRUE,2004.31218950163
"PrimProd_pcod_59M04par","PrimProd",TRUE,1,"59M04par",63,27414.9754199096,13642.2808134031,14067.0151552713,3.3,TRUE,TRUE,2309.9018255426
"PrimProd_pcod_59M04par_v1","PrimProd",TRUE,2,"59M04par",63,27517.2234358865,13693.4204135954,14117.2764859477,3.31,TRUE,TRUE,2412.14984151945
"PrimProd_pcod_59M03par_noM0poll","PrimProd",TRUE,1,"59M03par_noM0poll",62,27562.2813959951,13717.0039365096,14141.7382783778,3.2,TRUE,TRUE,2457.20780162805
"PrimProd_pcod_59M03par_noM0poll_v1","PrimProd",TRUE,2,"59M03par_noM0poll",62,27712.8882798684,13792.3224669304,14216.1785392827,3.17,TRUE,TRUE,2607.81468550141
"Base_59M04par","Base",FALSE,NA,"59M04par",63,28022.8943041489,13946.2402555227,14882.6388325575,4.26,TRUE,TRUE,2917.82070978191
"Bioen_59M04par","Bioen",FALSE,NA,"59M04par",63,28224.8127657383,14047.1994863174,14728.848582596,4.98,TRUE,TRUE,3119.73917137132
"PrimProd_pcod_59M03par","PrimProd",TRUE,1,"59M03par",62,28393.9712017484,14132.8488393862,14557.5831812545,3.26,TRUE,TRUE,3288.89760738137
"PrimProd_pcod_59M03par_v1","PrimProd",TRUE,2,"59M03par",62,28496.826315618,14184.2914848052,14608.1475571575,3.37,TRUE,TRUE,3391.75272125101
"PrimProd_pcod_61M02par","PrimProd",TRUE,1,"61M02par",63,28521.4181314005,14195.5021691485,14621.352492101,3.79,TRUE,TRUE,3416.34453703347
"PrimProd_pcod_61M02par_v1","PrimProd",TRUE,2,"61M02par",63,28613.4202879493,14241.5188396268,14666.4755940658,3.61,TRUE,TRUE,3508.3466935823
"PrimProd_pcod_63par","PrimProd",TRUE,1,"63par",63,28718.7453437272,14294.1657753119,14720.4201727252,3.44,TRUE,NA,3613.67174936019
"Full_59M04par","Full",FALSE,NA,"59M04par",63,28783.563954678,14326.5750807873,15070.6666980517,4.48,TRUE,TRUE,3678.49036031101
"PrimProd_pcod_63par_v1","PrimProd",TRUE,2,"63par",63,28849.6200382626,14359.6187147835,14784.9776819619,3.38,TRUE,NA,3744.54644389558
"Base_59M03par","Base",FALSE,NA,"59M03par",62,28945.9710997284,14408.8487883762,15345.247365411,4.23,TRUE,TRUE,3840.89750536139
"Bioen_59M03par","Bioen",FALSE,NA,"59M03par",62,29118.3914178526,14495.0589474383,15176.7080437169,5.03,TRUE,TRUE,4013.3178234856
"Bioen_61M02par","Bioen",FALSE,NA,"61M02par",63,29344.065850335,14606.8260286158,15282.6864749195,4.45,TRUE,TRUE,4238.99225596798
"Bioen_63par","Bioen",FALSE,NA,"63par",63,29398.7730094703,14634.1796081834,15459.2333246559,4.29,TRUE,NA,4293.6994151033
"Base_61M02par","Base",FALSE,NA,"61M02par",63,29610.3326580205,14739.9594324585,15671.6792679213,5.66,TRUE,TRUE,4505.25906365348
