"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",1980-01-23,1980,1,4.59947391476654
"ssp126","Bottom",1980-02-15,1980,2,4.35707376478576
"ssp126","Bottom",1980-03-16,1980,3,4.05439688867287
"ssp126","Bottom",1980-04-15,1980,4,4.09024524639896
"ssp126","Bottom",1980-05-16,1980,5,4.68485851296715
"ssp126","Bottom",1980-06-15,1980,6,5.3679490838413
"ssp126","Bottom",1980-07-16,1980,7,5.90068020116576
"ssp126","Bottom",1980-08-16,1980,8,6.28515612974104
"ssp126","Bottom",1980-09-15,1980,9,6.44932662354626
"ssp126","Bottom",1980-10-16,1980,10,6.32714171446726
"ssp126","Bottom",1980-11-15,1980,11,5.68464649527249
"ssp126","Bottom",1980-12-16,1980,12,4.91040892769128
"ssp126","Bottom",1981-01-16,1981,1,4.37359595423666
"ssp126","Bottom",1981-02-14,1981,2,4.01796958258107
"ssp126","Bottom",1981-03-16,1981,3,3.67433576007132
"ssp126","Bottom",1981-04-15,1981,4,3.82437764004418
"ssp126","Bottom",1981-05-16,1981,5,4.5128103475912
"ssp126","Bottom",1981-06-15,1981,6,5.3132009217753
"ssp126","Bottom",1981-07-16,1981,7,5.96794275532849
"ssp126","Bottom",1981-08-16,1981,8,6.42455056465349
"ssp126","Bottom",1981-09-15,1981,9,6.75123988132959
"ssp126","Bottom",1981-10-16,1981,10,6.6452693260017
"ssp126","Bottom",1981-11-15,1981,11,6.22848511310123
"ssp126","Bottom",1981-12-16,1981,12,5.91734535685644
"ssp126","Bottom",1982-01-16,1982,1,5.11579483407496
"ssp126","Bottom",1982-02-14,1982,2,4.58489471390621
"ssp126","Bottom",1982-03-16,1982,3,4.30622536081566
"ssp126","Bottom",1982-04-15,1982,4,4.51363901477216
"ssp126","Bottom",1982-05-16,1982,5,5.18061099698096
"ssp126","Bottom",1982-06-15,1982,6,5.91242606880923
"ssp126","Bottom",1982-07-16,1982,7,6.57719821891101
"ssp126","Bottom",1982-08-16,1982,8,7.1007685312997
"ssp126","Bottom",1982-09-15,1982,9,7.40792403114391
"ssp126","Bottom",1982-10-16,1982,10,7.34562922513712
"ssp126","Bottom",1982-11-15,1982,11,6.34652373219406
"ssp126","Bottom",1982-12-16,1982,12,5.54563572090541
"ssp126","Bottom",1983-01-16,1983,1,5.0227776238716
"ssp126","Bottom",1983-02-14,1983,2,4.45277105046244
"ssp126","Bottom",1983-03-16,1983,3,4.29646979487081
"ssp126","Bottom",1983-04-15,1983,4,4.59613150098558
"ssp126","Bottom",1983-05-16,1983,5,5.24907381985085
"ssp126","Bottom",1983-06-15,1983,6,5.93571066446584
"ssp126","Bottom",1983-07-16,1983,7,6.47286774777013
"ssp126","Bottom",1983-08-16,1983,8,6.9059666259236
"ssp126","Bottom",1983-09-15,1983,9,7.29985064428941
"ssp126","Bottom",1983-10-16,1983,10,7.29523679869625
"ssp126","Bottom",1983-11-15,1983,11,6.53640695302188
"ssp126","Bottom",1983-12-16,1983,12,5.80462556440081
"ssp126","Bottom",1984-01-16,1984,1,5.06436381869624
"ssp126","Bottom",1984-02-15,1984,2,4.5787039024984
"ssp126","Bottom",1984-03-16,1984,3,4.05324446725216
"ssp126","Bottom",1984-04-15,1984,4,4.13140124620295
"ssp126","Bottom",1984-05-16,1984,5,4.82234032164389
"ssp126","Bottom",1984-06-15,1984,6,5.59967480546772
"ssp126","Bottom",1984-07-16,1984,7,6.22636988355878
