"","dnll_transient_killer_whales","dnll_resident_killer_whales","dnll_offshore_killer_whales","dnll_other_toothed_whales","dnll_humpback_whale","dnll_other_baleen_whales","dnll_dolphins_porpoises","dnll_northern_elephant_seal","dnll_northern_fur_seal_adult","dnll_northern_fur_seal_juvenile","dnll_steller_sea_lion","dnll_harbor_seal","dnll_sea_otter","dnll_piscivorous_surface_birds","dnll_planktivorous_surface_birds","dnll_piscivorous_diving_birds","dnll_planktivorous_diving_birds","dnll_salmon_returning","dnll_salmon_outgoing","dnll_pacific_hake","dnll_pacific_herring_adult","dnll_pacific_herring_juvenile","dnll_pacific_sandlance","dnll_pacific_capelin","dnll_shelf_forage_fish","dnll_slope_forage_fish","dnll_pacific_dogfish","dnll_salmon_shark","dnll_pacific_sleeper_shark","dnll_big_skate","dnll_longnose_skate","dnll_other_skates","dnll_pacific_halibut_adult","dnll_pacific_halibut_juvenile","dnll_arrowtooth_flounder_adult","dnll_arrowtooth_flounder_juvenile","dnll_rex_sole_adult","dnll_rex_sole_juvenile","dnll_flathead_sole_adult","dnll_flathead_sole_juvenile","dnll_shallow_water_flatfish","dnll_deep_water_flatfish","dnll_pacific_ocean_perch_adult","dnll_pacific_ocean_perch_juvenile","dnll_slope_rockfish","dnll_demersal_shelf_rockfish","dnll_pelagic_shelf_rockfish","dnll_thornyheads","dnll_sablefish_adult","dnll_sablefish_juvenile","dnll_pacific_cod_adult","dnll_pacific_cod_juvenile","dnll_walleye_pollock_adult","dnll_walleye_pollock_juvenile","dnll_large_sculpins","dnll_lingcod","dnll_atka_mackerel","dnll_shelf_demersal_fish","dnll_slope_demersal_fish","dnll_miscellaneous_deep_sea_fish","dnll_squid","dnll_octopus","dnll_tanner_crab","dnll_king_crab","dnll_pandalid_shrimp","dnll_nonpandalid_shrimp","dnll_motile_epifauna","dnll_benthic_zooplankton","dnll_sessile_epifauna","dnll_infauna","dnll_gelatinous_carnivores","dnll_other_gelatinous_zooplankton","dnll_mysids","dnll_pelagic_amphipods","dnll_euphausiids","dnll_large_copepods","dnll_small_copepods","dnll_large_microzooplankton","dnll_small_microzooplankton","dnll_large_phytoplankton","dnll_small_phytoplankton","dnll_macroalgae","dnll_benthic_microbes","dnll_discards","dnll_offal","dnll_detritus"
"transient_killer_whales",0.0409366225179113,-0.000761333949860443,-0.00015439913543247,0.000450652486286174,-0.0171870307193274,-0.000190570736663176,-0.0016025946405307,0.0065958448604988,-0.000772957249992601,-0.000195940499629899,-0.237889603853851,-0.00999485106768105,-0.000487361184617896,8.49578585757627e-05,7.52399387238256e-09,0.000381545421063834,9.36751121116686e-10,6.02744591826292,0.000489146812874708,-0.000629006320586711,0.00859132816897556,-0.00764686793775127,-0.0157644357878439,-0.00057794976421377,-0.0388997225310774,-0.00428226277216481,-0.00256202051951249,-0.00941891175315845,-0.0486830055552687,-0.0012566933549536,-0.000372213874804572,-0.00806025050844994,0.0838438550416001,0.00202938743254322,0.187458593156208,0.257819884547104,-0.00270280975038872,-0.000637868687981324,-0.000182495330008692,-0.00195657203748567,-0.00580224469717194,0.0106519483378378,0.0056384812822472,-0.000123445229490926,-0.0247419857319287,0.00100858998766995,0.000849561876329119,-0.000687528453951813,0.0490164650665434,-1.15533501414689e-05,-0.0905756180176027,0.0315908926540018,0.092883973371201,-0.00571676678817568,0.00120178791434,-0.0237261611271435,-0.00134539087812158,-0.00903361997416852,-0.024874544583767,-0.000679444436094911,-0.0479285447369975,-0.0110957141725123,-0.0101199823455076,3.93145469104184e-05,-0.0431055160783913,-0.0330930079194616,-0.0188332263391757,-0.0163244405220411,-0.000183443560139551,-0.0168671768548307,0.0119758313488418,-0.01217711672777,-0.00636650703913944,0.00423491474791859,0.0687125853620785,0.0862781671172215,-0.00546081055708214,0.402085020241501,0.00119616167312842,0.0248281502982408,0.00124795075456063,-0.000173306534186679,0.0027246055439889,6.05440839720472e-05,-0.00526115372681346,0.00293424662115882
"resident_killer_whales",-0.0010206334754983,-0.973231334531135,8.2666275631027e-05,-0.00192444834819128,-0.000111420239889526,-0.000433355900717913,0.000625722283004393,0.0253288212483938,-0.000212528641256426,-0.00013093503181949,-0.0910780529644697,-0.0150877259138227,0.00013533201402538,-0.000176383367545441,-8.9824212068379e-08,-6.14739912450091e-05,-1.92706295365497e-09,-71.2318446753,-0.000246805157289032,-0.000238719722062797,-0.00424987371900443,0.0407975892113583,-0.00853684673455746,-0.528446439087695,-0.0170726543303772,-0.0387277544436699,0.00417603885012596,0.543923666264426,0.0319151854019353,0.0267906598217209,-0.00432109919172063,0.0242401864986448,0.150344121771241,0.0158438162694665,0.285172102004431,0.667526028183858,0.00226321117468586,0.00107473582749407,0.0026833161740214,0.00809327296117601,0.00731870627843989,-0.0244512620360666,0.0566482460436291,-1.370702192105e-05,-0.0529810449031061,0.0292800016715518,-0.0101388241144917,7.65400139357553e-06,0.0898853593904647,0.000677345025863474,0.46701583682615,0.00915892620931658,0.297567028847723,-0.0448717033774955,0.00262150959950702,-0.00595561897304719,-0.028605847939545,-0.0200056304619025,0.0402839798461088,0.0286598074607838,1.90504705630322,0.0603076939491558,0.0912731290454261,-1.86592077682235e-05,0.130093142371585,0.163249331767531,0.111195031728343,0.0423615421902426,0.00194411452363852,0.0920102652921884,-0.0451010560881144,0.0127393923823504,0.00113057716960441,-0.0281596893660492,-0.701759487376975,-3.19365532034396,-0.0753747520981847,-10.7294590810765,-0.0116389255057214,-0.121050084596611,-0.0225354406631979,0.000173557421362602,0.000614039910246333,-0.000536453494348166,0.0753219487046479,-0.00374961725095346
"offshore_killer_whales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_toothed_whales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"humpback_whale",0.00215366108521664,1.22083433264919e-05,-1.65929572304435e-07,-9.72695674512636e-05,0.0173514543850626,-8.26083434120051e-05,-3.22929713192366e-06,2.01010152913739e-05,-1.67867833500424e-05,-1.0829089806208e-05,0.000237043785928037,0.000194462584047983,1.4175216339396e-05,-6.14984894049542e-05,4.80575934602712e-09,-0.000535529601300766,-9.49123446503108e-10,-0.179000443013971,-1.71282094658665e-05,4.95366082198245e-05,0.00886867758934251,0.00770875339849653,-0.00055458203423342,0.0631450654525469,0.00693551277568005,-0.00645359239214294,0.000300217369760603,0.000875548999403009,-0.000102752783799787,0.000286929085623555,4.82405924753238e-05,-0.00121613713115387,0.0121804788017901,0.00016183615349874,0.00222458346600973,-0.0008688850961871,-0.000422377197264012,-9.54514998348088e-05,-9.65220613871054e-05,0.000308651230778167,-0.00121140125954255,-0.000475966418719054,0.00973170749370134,0.000142384125119577,-0.000587515532128435,0.000571077166757306,-0.00158072112571261,-3.91884217965099e-05,0.00836100890233205,4.92727927312586e-05,0.0118862984538897,-0.00353186523959792,0.150644283334854,-0.0133074858873474,1.77289710023842e-06,0.000683193329356513,-0.00614280138795209,-0.0035277468932513,-0.00760312050439893,-0.00374491618119777,-0.0222210835214618,-0.000427076407992999,-0.00239333059705515,-3.07616709527281e-06,0.00299820398287842,-0.00313827608881034,-0.000900990012013381,-0.000414043791158392,-7.0299178547728e-05,-0.00169745301881363,-0.00978555081246313,0.000751632230343802,0.00180308133120199,-0.00796836973136728,0.0118571402295711,0.0618872527363425,-0.0042264237215015,-0.0170358952296255,-0.00163903829374235,-0.0169340641346309,-0.00166060057966178,4.7538387466517e-06,-0.000218011580312094,-1.90193451103937e-05,0.000588031441978387,0.00085449784024938
"other_baleen_whales",6.07311097500229e-06,-1.54904361480135e-05,-9.09182205077741e-08,1.2432677815255e-05,-7.67977368809625e-06,0.00336207474091221,8.56101548762922e-07,9.05947139262508e-05,-2.57372005485479e-07,-2.84797755156774e-07,0.000201491936759446,4.32413096582707e-05,2.38939819041661e-07,-8.98416301353677e-07,-1.62217794752451e-10,-8.97864934401582e-06,-9.14122111339566e-11,0.184785055742256,-1.0312085963804e-05,6.01901330643528e-06,0.000955342559847416,0.00139275599607469,-3.02913294270013e-05,-0.00649100212900855,-8.63159171791139e-05,-0.000400665178955428,-9.825618338688e-05,-0.000154779763468227,-7.05363857633756e-06,4.49653451628507e-06,-1.24019977665313e-06,-0.000198600529995652,0.00160289618335341,3.49683094196251e-05,0.00274652033396539,0.00301260956613358,0.000222223446615821,-1.41930082957487e-05,-5.24063971871769e-05,0.000226884418045081,-0.000256338872619999,-0.000834533877436705,0.00143328518015551,-3.56036705442264e-05,-0.000824757676657129,8.23647054151166e-05,-0.000557609097049827,-1.30459545948369e-05,0.000906498022668067,7.11061433200655e-06,-0.00108423309633032,-0.000375344820937151,0.0152241744863924,-0.00251722823300859,4.96730550025859e-08,-0.000148598624818419,-0.00104980477288574,-0.000701110536902583,-4.87188939954919e-05,0.000237823494470213,-0.00260162137025954,0.000329451278763493,-0.000155209972739101,8.90899229943898e-08,-0.00222514875644997,-0.00153332783024585,-0.000376200010289374,-0.000567333248173263,-2.49955751474573e-06,-0.000209240145886191,-0.0017560907321803,0.000828677321304205,0.000316296165284946,-0.00149627865042135,0.00213300485894408,0.0222309200469786,-0.000872401017535829,0.00367195018427324,-0.000235822050132839,-0.00326317961550782,-0.000375987885708362,2.58071880754329e-06,-0.00072636477405652,-4.14303473306177e-07,1.00689158424316e-05,-0.000224230657036806
"dolphins_porpoises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"northern_elephant_seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"northern_fur_seal_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"northern_fur_seal_juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
