,spnum,preyvul,predvul,nll,dnll,nll_groupB,dnll_groupB,convergence,Vprey,Vpred
other_skates,32,-4,-4,27249.05574,-8387.218675,341.0904848,-3538.712723,TRUE,1.018315639,1.018315639
walleye_pollock_adult,53,-4,4,27335.62321,-8300.651209,2251.930625,-107.6632187,TRUE,1.018315639,55.59815003
pandalid_shrimp,65,-4,-4,31116.3715,-4519.902914,16.58091366,-1.630435428,TRUE,1.018315639,1.018315639
pacific_sandlance,23,-4,-4,31566.34407,-4069.930349,215.2320936,0.051016515,TRUE,1.018315639,1.018315639
tanner_crab,63,-4,-4,32238.97882,-3397.295594,174.0509277,-24.20332558,TRUE,1.018315639,1.018315639
benthic_zooplankton,68,-4,-0.232183094,32695.97941,-2940.295009,NA,NA,TRUE,1.018315639,1.792800953
pacific_halibut_adult,33,4,4,32755.88611,-2880.388312,97.65012253,18.20567369,TRUE,55.59815003,55.59815003
pacific_cod_adult,51,-4,-4,32969.20685,-2667.067565,101.8741678,-65.01418096,TRUE,1.018315639,1.018315639
arrowtooth_flounder_adult,35,-4,4,33138.46585,-2497.808568,85.93516798,-2.658915383,TRUE,1.018315639,55.59815003
salmon_returning,18,-4,4,33624.66274,-2011.611675,177.0372107,-614.839135,TRUE,1.018315639,55.59815003
shelf_demersal_fish,58,-4,-4,33662.88756,-1973.386858,36.16269797,1.373574218,TRUE,1.018315639,1.018315639
shelf_forage_fish,25,-4,-4,33956.05463,-1680.219791,123.1316477,0.392953977,TRUE,1.018315639,1.018315639
offal,85,-4,0,33997.85271,-1638.42171,NA,NA,TRUE,1.018315639,2
infauna,70,-4,4,34563.29954,-1072.974874,NA,NA,TRUE,1.018315639,55.59815003
pacific_herring_juvenile,22,-4,4,35042.09262,-594.1817934,NA,NA,TRUE,1.018315639,55.59815003
sablefish_adult,49,4,-4,35111.46753,-524.8068832,74.57125777,-14.22715154,TRUE,55.59815003,1.018315639
pacific_herring_adult,21,-4,4,35123.96973,-512.3046835,1470.656849,-145.4129834,TRUE,1.018315639,55.59815003
arrowtooth_flounder_juvenile,36,4,-4,35128.56777,-507.7066441,774.8919159,24.84457925,TRUE,55.59815003,1.018315639
mysids,73,-4,-4,35196.7954,-439.4790193,NA,NA,TRUE,1.018315639,1.018315639
