Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
1994,NCa,,126.4302681,,214.6669788,1,,,,,spring_ecofoci
1995,NCa,,97.25293173,,244.1086563,1,,,,,spring_ecofoci
1996,NCa,,84.57600084,,175.3176094,1,,,,,spring_ecofoci
1997,NCa,,NA,,NA,1,,,,,spring_ecofoci
1998,NCa,,48.31749863,,186.9805667,1,,,,,spring_ecofoci
1999,NCa,,43.82394736,,147.5253333,1,,,,,spring_ecofoci
2000,NCa,,115.8791091,,208.22546,1,,,,,spring_ecofoci
2001,NCa,,45.12619903,,268.1372,1,,,,,spring_ecofoci
2002,NCa,,33.74876802,,118.789375,1,,,,,spring_ecofoci
2003,NCa,,86.38130331,,165.63276,1,,,,,spring_ecofoci
2004,NCa,,90.05432169,,268.9394667,1,,,,,spring_ecofoci
2005,NCa,,209.7781309,,368.8981,1,,,,,spring_ecofoci
2006,NCa,,107.7237889,,386.60572,1,,,,,spring_ecofoci
2007,NCa,,59.15272387,,194.125025,1,,,,,spring_ecofoci
2008,NCa,,92.39452773,,264.3991,1,,,,,spring_ecofoci
2009,NCa,,48.73424373,,154.98598,1,,,,,spring_ecofoci
2010,NCa,,29.01472469,,142.56932,1,,,,,spring_ecofoci
2011,NCa,,52.61460792,,155.49385,1,,,,,spring_ecofoci
2012,NCa,,NA,,NA,1,,,,,spring_ecofoci
2013,NCa,,218.1697691,,114.7708484,1,,,,,spring_ecofoci
2014,NCa,,NA,,NA,1,,,,,spring_ecofoci
2015,NCa,,110.6811491,,58.82132393,1,,,,,spring_ecofoci
2016,NCa,,NA,,NA,1,,,,,spring_ecofoci
2017,NCa,,214.1259935,,152.7558508,1,,,,,spring_ecofoci
2018,NCa,,NA,,NA,1,,,,,spring_ecofoci
2019,NCa,,102.2962922,,126.7758517,1,,,,,spring_ecofoci
2020,NCa,,NA,,NA,1,,,,,spring_ecofoci
2021,NCa,,80.53606652,,94.89395968,1,,,,,spring_ecofoci
2022,NCa,,NA,,NA,1,,,,,spring_ecofoci
2023,NCa,,58.9787458,,98.76113415,1,,,,,spring_ecofoci
2024,NCa,,NA,,NA,1,,,,,spring_ecofoci
2025,NCa,,NA,,NA,1,,,,,spring_ecofoci
1994,NCa,,NA,,NA,1,,,,,summer_ecofoci
1995,NCa,,NA,,NA,1,,,,,summer_ecofoci
1996,NCa,,NA,,NA,1,,,,,summer_ecofoci
1997,NCa,,NA,,NA,1,,,,,summer_ecofoci
1998,NCa,,NA,,NA,1,,,,,summer_ecofoci
1999,NCa,,NA,,NA,1,,,,,summer_ecofoci
2000,NCa,,261.5292521,,101.3913191,1,,,,,summer_ecofoci
2001,NCa,,95.21175561,,86.49622857,1,,,,,summer_ecofoci
2002,NCa,,NA,,NA,1,,,,,summer_ecofoci
2003,NCa,,66.45507418,,67.22816136,1,,,,,summer_ecofoci
2004,NCa,,NA,,NA,1,,,,,summer_ecofoci
2005,NCa,,46.38910261,,53.69474444,1,,,,,summer_ecofoci
2006,NCa,,NA,,NA,1,,,,,summer_ecofoci
2007,NCa,,53.34674012,,44.9274069,1,,,,,summer_ecofoci
2008,NCa,,NA,,NA,1,,,,,summer_ecofoci
2009,NCa,,38.27158857,,33.05060714,1,,,,,summer_ecofoci
