"tstep","year","month","btemp","stemp"
1,1980,1,4.59947391476654,4.97841758491159
2,1980,2,4.35707376478576,4.45025980109082
3,1980,3,4.05439688867287,3.79490516821676
4,1980,4,4.09024524639896,4.08686306692907
5,1980,5,4.68485851296715,5.21332442448378
6,1980,6,5.3679490838413,7.35648445243575
7,1980,7,5.90068020116576,10.7133272989928
8,1980,8,6.28515612974104,11.5170842584814
9,1980,9,6.44932662354626,10.1361060809513
10,1980,10,6.32714171446726,8.11138073742489
11,1980,11,5.68464649527249,6.15205947796626
12,1980,12,4.91040892769128,5.08041151809429
13,1981,1,4.37359595423666,4.0289111062187
14,1981,2,4.01796958258107,3.57610474570277
15,1981,3,3.67433576007132,3.56481086750322
16,1981,4,3.82437764004418,4.03075553232585
17,1981,5,4.5128103475912,5.74193755048493
18,1981,6,5.3132009217753,8.89617415874539
19,1981,7,5.96794275532849,12.3052538890307
20,1981,8,6.42455056465349,13.3094486841896
21,1981,9,6.75123988132959,11.5658467485891
22,1981,10,6.6452693260017,8.96021866345524
23,1981,11,6.22848511310123,7.21327117806593
24,1981,12,5.91734535685644,6.30517825171697
25,1982,1,5.11579483407496,5.24150182490009
26,1982,2,4.58489471390621,4.68538762346837
27,1982,3,4.30622536081566,4.40862723194186
28,1982,4,4.51363901477216,4.87158102416258
29,1982,5,5.18061099698096,6.44194945575936
30,1982,6,5.91242606880923,8.81503743653241
31,1982,7,6.57719821891101,12.4199932027629
32,1982,8,7.1007685312997,13.6706024439451
33,1982,9,7.40792403114391,11.9872898360343
34,1982,10,7.34562922513712,8.90379905842181
35,1982,11,6.34652373219406,6.97746912966747
36,1982,12,5.54563572090541,6.00841908198405
37,1983,1,5.0227776238716,5.32011871268959
38,1983,2,4.45277105046244,4.54082306660242
39,1983,3,4.29646979487081,4.43215447681475
40,1983,4,4.59613150098558,4.9276227399677
41,1983,5,5.24907381985085,7.15010787209592
42,1983,6,5.93571066446584,8.96751929636841
43,1983,7,6.47286774777013,11.3583993770323
44,1983,8,6.9059666259236,12.0341516632599
45,1983,9,7.29985064428941,12.0697642428613
46,1983,10,7.29523679869625,9.2558765670306
47,1983,11,6.53640695302188,7.38243295511088
48,1983,12,5.80462556440081,6.16060876737126
49,1984,1,5.06436381869624,5.23408386163831
50,1984,2,4.5787039024984,4.54389934599558
51,1984,3,4.05324446725216,3.81021947816511
52,1984,4,4.13140124620295,4.34810302231172
53,1984,5,4.82234032164389,6.09813664893546
54,1984,6,5.59967480546772,8.88767311346748
55,1984,7,6.22636988355878,12.021241093644
56,1984,8,6.70626000765967,12.2757316944953
57,1984,9,6.97274761218705,10.9023526697419
58,1984,10,6.8404727593006,8.67466244094432
59,1984,11,6.08947619215562,6.71640093595905
60,1984,12,5.24332482356269,5.40593944516132
61,1985,1,4.75193316372121,4.38636469555508
62,1985,2,4.25823112723178,3.65700957952815
63,1985,3,3.75193356236739,3.34831089425284
64,1985,4,3.86447085874099,3.83149753688817
65,1985,5,4.52588744165971,5.976528726579
66,1985,6,5.30683808827966,8.34351769698767
67,1985,7,5.78999451555087,9.87480414393569
68,1985,8,6.16642252480514,11.8517971477599
69,1985,9,6.44509644547808,11.0339629725136
70,1985,10,6.41183547767519,8.66723553333031
71,1985,11,6.04656805967438,6.7628148566808
72,1985,12,5.49857079599805,5.81527455336039
73,1986,1,4.59724344661726,4.63629807748903
74,1986,2,4.13220250833548,3.9503900822602
75,1986,3,4.10402793742021,4.28441384697534
76,1986,4,4.40373378194843,4.63019813646304
77,1986,5,5.06885611458012,7.23963338232055
78,1986,6,5.79414823879512,9.31698799727307
79,1986,7,6.36289143228311,12.5923291342009
80,1986,8,6.75715429046679,13.5966058057242
81,1986,9,6.92692898883787,11.4313443609535
82,1986,10,6.89005912120906,9.78935375279905
83,1986,11,6.29910783404896,7.60644080938333
84,1986,12,5.66015007856222,5.95776196337766
85,1987,1,4.81803079154859,4.99750192202875
86,1987,2,4.19460752239153,4.04256953574463
87,1987,3,3.89508599499441,3.96380374888181
88,1987,4,4.23167341568027,4.65848919221944
89,1987,5,4.85640664190703,6.65888914683619
90,1987,6,5.59784767391824,8.7111116061705
91,1987,7,6.18983388031415,11.8137738699776
92,1987,8,6.56308803573987,12.8897157297899
93,1987,9,6.69458136907264,10.6193495239777
94,1987,10,6.44240146699648,8.38903229186998
95,1987,11,6.06015881736162,6.88371483236687
96,1987,12,5.37156044887665,5.46260139970216
97,1988,1,4.54633526371502,4.60854698881269
98,1988,2,3.8496607179273,3.64965975027828
99,1988,3,3.3497006872012,3.18448445317406
100,1988,4,3.72023060128344,3.95731829397478
101,1988,5,4.38389685619779,5.84017098280557
102,1988,6,5.18782005272327,8.285753303259
103,1988,7,5.84037449210485,12.080622056801
104,1988,8,6.31146535761197,13.0337762494293
105,1988,9,6.61759991463787,11.6790079817314
106,1988,10,6.49049821141702,8.80590296611602
107,1988,11,6.03052755744487,6.89889280863066
108,1988,12,5.23192447527003,5.81693790276796
109,1989,1,4.64093087223192,4.84014474951203
110,1989,2,4.47759238264711,4.47513751497508
111,1989,3,4.05190046990349,4.0187290901841
112,1989,4,4.06639426088497,4.36123437160237
113,1989,5,4.71241851930548,6.30533455331008
114,1989,6,5.48786167227056,8.87695468604029
115,1989,7,6.0534004393062,11.5001853283057
116,1989,8,6.46876168640108,12.2853000210116
117,1989,9,6.82132029756837,11.0061470299423
118,1989,10,6.71107540312707,8.52395441568605
119,1989,11,5.95060296498224,6.55812971276581
120,1989,12,4.56851335000513,4.67012404657076
121,1990,1,3.71634490928634,3.96325853134431
122,1990,2,3.33194577403752,3.36651117463455
123,1990,3,3.34840840384746,3.31441823405795
124,1990,4,3.79877886693431,4.06909664673409
125,1990,5,4.50938848850209,6.45011424048956
126,1990,6,5.28747786610115,8.71073565719568
127,1990,7,5.85769524888386,11.0683220099302
128,1990,8,6.26227648889078,12.68166139398
129,1990,9,6.55385752665091,11.4270493175926
130,1990,10,6.4876615211851,8.68109447854805
131,1990,11,5.96862484175192,6.83747181974185
132,1990,12,5.08327674768418,5.34471218549255
133,1991,1,3.74720115808523,3.90933875416277
134,1991,2,3.18361877266327,3.09427855035208
135,1991,3,3.13738380260317,3.02802678793723
136,1991,4,3.45570990616478,3.7943825600647
137,1991,5,4.14323005331606,5.4259651128269
138,1991,6,4.87077399870177,8.12670878960908
139,1991,7,5.36552487048408,11.2029139871053
140,1991,8,5.81412501581969,12.0135230829767
141,1991,9,6.39491513499745,10.7445082603758
142,1991,10,6.3793445848741,8.75500395211185
143,1991,11,6.17368090508725,7.28578736014375
144,1991,12,5.29097845977435,5.81611841661121
145,1992,1,4.70736485121433,4.96763469049021
146,1992,2,4.0670980551471,4.2379964081107
147,1992,3,3.72941253877723,3.9349245900313
148,1992,4,3.99983934749994,4.4335315589492
149,1992,5,4.62698951280406,6.36100137290857
150,1992,6,5.48752133616255,9.33695397048056
151,1992,7,5.97856637337894,11.5811601039322
152,1992,8,6.47557124035927,12.195068457983
153,1992,9,6.40681379491481,10.7753946298494
154,1992,10,6.13759422729315,8.26589399357557
155,1992,11,5.69655665774838,6.72712878074965
156,1992,12,4.89747639621594,5.38406269270012
157,1993,1,4.20652959014619,4.45135352864114
158,1993,2,3.47188854542289,3.5381008870601
159,1993,3,3.56874547260076,3.75198436250375
160,1993,4,3.99237275048809,4.53446314612316
161,1993,5,4.64973848760489,6.37403385185962
162,1993,6,5.38455174947869,9.45851839708661
163,1993,7,5.83945118854522,11.8085366465487
164,1993,8,6.17386653305584,12.5512471537652
165,1993,9,6.13270788139649,11.0374629331652
166,1993,10,5.93771209982293,8.90548463035955
167,1993,11,5.49417836023298,6.96050477960632
168,1993,12,4.91116291620666,5.43258520748154
169,1994,1,4.4889344969123,4.77969606202841
170,1994,2,4.0950012294916,4.34503700380971
171,1994,3,3.45097950166023,3.61046811479479
172,1994,4,3.60623160867422,4.04898704419354
173,1994,5,4.25783417661718,5.83739940149997
174,1994,6,5.08995791742824,9.33127983470669
175,1994,7,5.63986650814819,11.1791223505329
176,1994,8,5.99578542665857,12.5688011006934
177,1994,9,6.17429739871484,10.8947193179737
178,1994,10,6.29468537738601,8.4293047556754
179,1994,11,5.32936456510237,6.26719104515683
180,1994,12,4.34196149053422,4.64732252470118
181,1995,1,4.01737363728829,4.24283996069348
182,1995,2,3.69592685773842,3.90640406484548
183,1995,3,3.32181332998219,3.4340816415112
184,1995,4,3.49769579896481,3.86643963031068
185,1995,5,4.21813714963982,5.71754684248597
186,1995,6,5.06640765467545,8.68994871559806
187,1995,7,5.68455960730145,11.3365120471402
188,1995,8,6.04988578667463,11.7871866704303
189,1995,9,6.52775365746557,11.5252883006516
190,1995,10,6.73916772550226,9.37188268339069
191,1995,11,6.25172524352168,7.26230675419232
192,1995,12,5.24413591414843,5.67278884495454
193,1996,1,4.59476857794362,4.87287577841851
194,1996,2,3.90709505706481,4.06493125256432
195,1996,3,3.77444777091153,3.98656529593484
196,1996,4,4.15414664145331,4.61525335535487
197,1996,5,4.88853606715813,6.935449827152
198,1996,6,5.62306488165855,9.45203858890226
199,1996,7,6.19674227386699,11.4432217310848
200,1996,8,6.52406871092932,12.6245400262061
201,1996,9,6.84603152400494,11.3273828963817
202,1996,10,6.68780142642594,8.66584577166475
203,1996,11,6.13585827494853,7.17168568698244
204,1996,12,5.10974629158617,5.64346455008028
205,1997,1,4.21795208733182,4.52452768220123
206,1997,2,3.99157361199104,4.23806673631265
207,1997,3,3.81185379027806,4.04008239056611
208,1997,4,3.96407763413444,4.46900152897638
209,1997,5,4.71752710310779,6.67412104396225
210,1997,6,5.55768446641141,10.5734038828897
211,1997,7,6.3104278833768,13.6125360879937
212,1997,8,6.90644590994664,14.0547980098653
213,1997,9,7.31096288181867,12.5687230481477
214,1997,10,7.34701538440057,10.0723232676501
215,1997,11,6.7421146147881,7.98448408269422
216,1997,12,5.77246136349403,6.42881732553477
217,1998,1,4.74271700618404,5.2080182515325
218,1998,2,4.70203000320142,5.05476968195986
219,1998,3,4.66188080559631,5.1275984334739
220,1998,4,4.94886371096601,5.50992567899068
221,1998,5,5.43679961912338,6.66268544855356
222,1998,6,5.87195608806858,8.84419784984734
223,1998,7,6.43445354624039,11.8025563463518
224,1998,8,6.9256529817972,12.3719610304501
225,1998,9,7.22009021313195,10.8146896597451
226,1998,10,7.15531844651361,9.32004906339263
227,1998,11,6.91751323196428,8.18293723463916
228,1998,12,5.82316242052711,6.48952469371875
229,1999,1,4.97985938542987,5.44902209261938
230,1999,2,3.79617663838619,4.00200137732431
231,1999,3,3.44698838110368,3.68165985845823
232,1999,4,3.78997372103614,4.11236210329596
233,1999,5,4.43249092803473,5.72152123644189
234,1999,6,5.23604306014976,8.15752497534795
235,1999,7,5.92581686704521,11.1613774677741
236,1999,8,6.2587986872586,11.9838064011534
237,1999,9,6.76404081386917,11.1100135794964
238,1999,10,6.83444376999539,8.85281054083869
239,1999,11,6.18653996795397,6.85840311249076
240,1999,12,5.15497271432203,5.57053138926208
241,2000,1,3.9627572725565,4.21822294461807
242,2000,2,3.6648044612097,3.8367635788767
243,2000,3,3.90650286919538,4.14268586760753
244,2000,4,4.17011641875452,4.65064878865858
245,2000,5,4.86548140655397,6.60973568060287
246,2000,6,5.59537943992129,9.14410126332736
247,2000,7,6.17424224552786,11.5665860647244
248,2000,8,6.46286248262683,12.3481795139923
249,2000,9,6.57392327003935,11.1064726588398
250,2000,10,6.63763280684206,8.79652698397758
251,2000,11,6.32511383769589,7.2574277122344
252,2000,12,5.74876288227939,6.30019508440245
253,2001,1,5.28241104791621,5.63248537620957
254,2001,2,4.80413505845579,5.08127774508128
255,2001,3,4.64783730544163,4.91353735329371
256,2001,4,4.64524052174523,5.07407216514461
257,2001,5,5.13777604181854,6.4078902837838
258,2001,6,5.83934904445272,10.251509517146
259,2001,7,6.3087369578101,12.3018619331649
260,2001,8,6.62575027872229,13.13868420055
261,2001,9,7.07173930867925,11.5008500730165
