"Year","Group","Type","Stdev","SE","Value","Scale","CV","Species","Loc","n","Source"
1990,"sablefish_adult",NA,NA,NA,873519.7081,4.25950070984579e-06,0.12,"","","","Longline_survey"
1991,"sablefish_adult",NA,NA,NA,770853.824,4.25950070984579e-06,0.11,"","","","Longline_survey"
1992,"sablefish_adult",NA,NA,NA,602330.0869,4.25950070984579e-06,0.09,"","","","Longline_survey"
1993,"sablefish_adult",NA,NA,NA,815207.2321,4.25950070984579e-06,0.1,"","","","Longline_survey"
1994,"sablefish_adult",NA,NA,NA,724097.279,4.25950070984579e-06,0.1,"","","","Longline_survey"
1995,"sablefish_adult",NA,NA,NA,745199.3782,4.25950070984579e-06,0.1,"","","","Longline_survey"
1996,"sablefish_adult",NA,NA,NA,933763.6996,4.25950070984579e-06,0.11,"","","","Longline_survey"
1997,"sablefish_adult",NA,NA,NA,809170.7308,4.25950070984579e-06,0.1,"","","","Longline_survey"
1998,"sablefish_adult",NA,NA,NA,680483.5472,4.25950070984579e-06,0.09,"","","","Longline_survey"
1999,"sablefish_adult",NA,NA,NA,759103.02,4.25950070984579e-06,0.1,"","","","Longline_survey"
2000,"sablefish_adult",NA,NA,NA,711867.794,4.25950070984579e-06,0.09,"","","","Longline_survey"
2001,"sablefish_adult",NA,NA,NA,816613.5291,4.25950070984579e-06,0.1,"","","","Longline_survey"
2002,"sablefish_adult",NA,NA,NA,869730.9385,4.25950070984579e-06,0.1,"","","","Longline_survey"
2003,"sablefish_adult",NA,NA,NA,825776.7441,4.25950070984579e-06,0.09,"","","","Longline_survey"
2004,"sablefish_adult",NA,NA,NA,782260.2772,4.25950070984579e-06,0.09,"","","","Longline_survey"
2005,"sablefish_adult",NA,NA,NA,697116.2482,4.25950070984579e-06,0.09,"","","","Longline_survey"
2006,"sablefish_adult",NA,NA,NA,786578.6482,4.25950070984579e-06,0.1,"","","","Longline_survey"
2007,"sablefish_adult",NA,NA,NA,587373.4837,4.25950070984579e-06,0.09,"","","","Longline_survey"
2008,"sablefish_adult",NA,NA,NA,627753.5904,4.25950070984579e-06,0.08,"","","","Longline_survey"
2009,"sablefish_adult",NA,NA,NA,681459.0799,4.25950070984579e-06,0.08,"","","","Longline_survey"
2010,"sablefish_adult",NA,NA,NA,630284.3839,4.25950070984579e-06,0.08,"","","","Longline_survey"
2011,"sablefish_adult",NA,NA,NA,872633.4062,4.25950070984579e-06,0.09,"","","","Longline_survey"
2012,"sablefish_adult",NA,NA,NA,592036.7802,4.25950070984579e-06,0.07,"","","","Longline_survey"
2013,"sablefish_adult",NA,NA,NA,483088.9739,4.25950070984579e-06,0.07,"","","","Longline_survey"
2014,"sablefish_adult",NA,NA,NA,548407.6579,4.25950070984579e-06,0.08,"","","","Longline_survey"
2015,"sablefish_adult",NA,NA,NA,453901.417,4.25950070984579e-06,0.07,"","","","Longline_survey"
2016,"sablefish_adult",NA,NA,NA,523155.4223,4.25950070984579e-06,0.08,"","","","Longline_survey"
2017,"sablefish_adult",NA,NA,NA,549055.4515,4.25950070984579e-06,0.08,"","","","Longline_survey"
2018,"sablefish_adult",NA,NA,NA,498332.152,4.25950070984579e-06,0.07,"","","","Longline_survey"
2019,"sablefish_adult",NA,NA,NA,537280.1451,4.25950070984579e-06,0.1,"","","","Longline_survey"
2020,"sablefish_adult",NA,NA,NA,883299.1859,4.25950070984579e-06,0.14,"","","","Longline_survey"
2021,"sablefish_adult",NA,NA,NA,858791.2175,4.25950070984579e-06,0.16,"","","","Longline_survey"
2022,"sablefish_adult",NA,NA,NA,1034008.0197,4.25950070984579e-06,0.2,"","","","Longline_survey"
2023,"sablefish_adult",NA,NA,NA,990175.6385,4.25950070984579e-06,0.18,"","","","Longline_survey"
