"","dnll_transient_killer_whales","dnll_resident_killer_whales","dnll_offshore_killer_whales","dnll_other_toothed_whales","dnll_humpback_whale","dnll_other_baleen_whales","dnll_dolphins_porpoises","dnll_northern_elephant_seal","dnll_northern_fur_seal_adult","dnll_northern_fur_seal_juvenile","dnll_steller_sea_lion","dnll_harbor_seal","dnll_sea_otter","dnll_piscivorous_surface_birds","dnll_planktivorous_surface_birds","dnll_piscivorous_diving_birds","dnll_planktivorous_diving_birds","dnll_salmon_returning","dnll_salmon_outgoing","dnll_pacific_hake","dnll_pacific_herring_adult","dnll_pacific_herring_juvenile","dnll_pacific_sandlance","dnll_pacific_capelin","dnll_shelf_forage_fish","dnll_slope_forage_fish","dnll_pacific_dogfish","dnll_salmon_shark","dnll_pacific_sleeper_shark","dnll_big_skate","dnll_longnose_skate","dnll_other_skates","dnll_pacific_halibut_adult","dnll_pacific_halibut_juvenile","dnll_arrowtooth_flounder_adult","dnll_arrowtooth_flounder_juvenile","dnll_rex_sole_adult","dnll_rex_sole_juvenile","dnll_flathead_sole_adult","dnll_flathead_sole_juvenile","dnll_shallow_water_flatfish","dnll_deep_water_flatfish","dnll_pacific_ocean_perch_adult","dnll_pacific_ocean_perch_juvenile","dnll_slope_rockfish","dnll_demersal_shelf_rockfish","dnll_pelagic_shelf_rockfish","dnll_thornyheads","dnll_sablefish_adult","dnll_sablefish_juvenile","dnll_pacific_cod_adult","dnll_pacific_cod_juvenile","dnll_walleye_pollock_adult","dnll_walleye_pollock_juvenile","dnll_large_sculpins","dnll_lingcod","dnll_atka_mackerel","dnll_shelf_demersal_fish","dnll_slope_demersal_fish","dnll_miscellaneous_deep_sea_fish","dnll_squid","dnll_octopus","dnll_tanner_crab","dnll_king_crab","dnll_pandalid_shrimp","dnll_nonpandalid_shrimp","dnll_motile_epifauna","dnll_benthic_zooplankton","dnll_sessile_epifauna","dnll_infauna","dnll_gelatinous_carnivores","dnll_other_gelatinous_zooplankton","dnll_mysids","dnll_pelagic_amphipods","dnll_euphausiids","dnll_large_copepods","dnll_small_copepods","dnll_large_microzooplankton","dnll_small_microzooplankton","dnll_large_phytoplankton","dnll_small_phytoplankton","dnll_macroalgae","dnll_benthic_microbes","dnll_discards","dnll_offal","dnll_detritus"
"transient_killer_whales",0.0687887907065985,-0.00167750012329293,-0.00994082084331893,0.00101329156177599,0.0272971622478764,-0.000114141993527994,0.0806003049506003,0.025940309097372,-0.00574300105022019,-0.00151568081817999,-0.413772756640206,0.0641986477418399,0.00654032388921166,0.000478973372018743,9.61363036964258e-05,0.000790413740467955,-3.11288449381664e-05,0.823620958639793,0.0010520724145735,-0.00214403090392778,0.0552443003207657,-0.013102093193659,-0.0983694288593284,-0.314355451638107,0.35060068870218,0.0469835222731589,-0.00144741414210614,-0.0192190337745188,-0.406936575070603,-0.00081721011909508,-0.000175359332978076,-0.00837433862530901,0.105350551781079,0.0048952568162477,-0.033520539770123,0.298737767830005,-0.00354097410113496,-0.00066913284196346,-6.59253842769658e-05,-0.00249089196552177,0.0068149135103539,0.0120327824121915,0.00441295127724572,-0.000133653475366202,-0.0678668189383274,0.00103488717207512,0.00060917636542257,-0.00110950319096759,0.0572468660120009,-0.000995631366997429,-0.0890771625659426,-0.0198498534351046,0.205876464363932,0.116378145733158,-0.000548997172494126,-0.0699260155053878,-0.0175938877781832,0.00375198248944741,-0.0127927800603587,-0.0937084769957934,0.721163806608246,0.0197451095384409,-0.0161558689782382,0.000126453477733435,-0.0409934654312565,-0.0834750800548747,-0.0312603784302112,0.00774954528677085,-0.000394872889224018,-0.012396328885437,-0.160649297416477,0.00441442894702249,-0.00758551872475266,2.19978540827532,0.0415064042535533,0.190333119324301,0.114189406678591,0.192063806119243,0.19260884684001,-0.701590566134385,0.367741187682057,-0.00102464487774512,0.0152794172802118,5.87320759350973e-05,-0.00694409923916339,0.0557924935196397
"resident_killer_whales",-0.00530183261449935,-1.24525147464014,0.0059322588766193,-0.00221568224969815,0.000522922226359412,-0.000240149279228774,0.00840123722600339,0.0585915264086054,-0.00136647594443673,-0.00035484304392952,-0.0968444965622339,-0.0728679044615035,0.000550960413285395,0.000447355336490318,-0.0001878998836915,0.000464731032195687,-5.53850440851988e-05,-10.1762369639916,0.000972135724140344,-0.00379508183889499,0.0249032291776743,0.00366064674686584,5.28659091414124,-3.75079395517808,-0.0517104609848502,-0.75618335268414,0.0026014144394324,0.918323853990415,0.248676529130343,0.0317944779007107,9.50506233579063e-05,0.0279223046143429,0.33902162926811,0.0491023931272423,0.356420975622996,0.75169494800322,0.00308407313265491,0.00150076110118391,0.00192930844033157,0.0119430076700837,0.0544561315000323,-0.0300017162078703,0.0750587498704505,-0.000306055336942279,-0.0754161487091096,0.0332135417231996,-0.0149194008890134,1.4321022611341e-05,0.0614410180078551,0.00361867811535177,0.740256053313466,0.480057045430591,0.180011883580157,0.0709584024905325,-0.00470635883928594,-0.0227366883901752,-0.087046504438284,-0.0574864689824253,0.381191100433128,1.00114051721529,3.90318801560498,-0.0187697177871868,0.136617515345527,-0.000150948878484769,0.232687677703787,-0.272022920929295,0.174982783340347,0.0651796913943059,0.00504854425783208,0.0696738870741456,-0.854248715332339,0.686111511603436,0.369240358216601,-7.66053104914797,1.33020266906498,6.39196721764272,-12.39024186016,3.40942766200664,-2.89720052211956,-5.54641241517408,-1.99733815597401,0.00220784804549368,0.0463117057284421,-0.00100265270270938,0.0932994078217035,-0.102283107624949
"offshore_killer_whales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_toothed_whales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"humpback_whale",0.00406625739846156,2.73179384748801e-05,-2.0737133931803e-05,-0.00017145702272181,-0.0949058020342939,-6.17241025047122e-05,0.000490314417637805,0.000885737933367992,-2.95974025572576e-05,-1.86422084222926e-05,-5.46805703631748e-05,0.00100801695186448,1.80895397097203e-05,0.000111953301983547,2.15101994882616e-07,0.00156557375742139,-2.66688212064992e-05,-0.00871109564832118,4.15907850630504e-05,0.001417514813145,0.00682838759491666,-0.00164801086703115,-0.395794376841669,0.439819636082012,-0.0819446467724596,-0.123222480981351,0.000164807780885567,0.00290110749345196,-0.000309778048155351,0.000329838130252114,-3.27554245274086e-05,-0.00166346672804174,0.0204560222562797,0.00138411387290738,-0.00368985932732713,0.00214101635396524,-0.000633567097331422,-0.000214037803448974,-0.000262582333522943,-0.000317042792785216,0.0054466233435928,-0.000247244802574542,0.0125876722242442,0.000212887364579473,-0.000801865173519545,0.000800120513567038,-0.00223840322288638,-5.26100844968624e-05,0.008464013501154,0.000489182665404542,0.0132486565819594,-0.00486228121195431,0.0629248257675741,0.0172645858942673,-4.21804833212747e-05,0.000657120672196143,-0.0144920196356857,-0.0143881743113052,-0.0612018921583513,-0.0875519064237231,-0.877035639182717,-0.000170955003392592,-0.00626527062567206,-1.45747044690836e-05,0.00726623306905161,-0.128345139192961,-0.00287731440388939,-0.0185429178961485,-0.000897879473416907,-0.00309115545796601,-0.187443427180728,-0.0494029927883464,0.0556318601385204,-2.68941085643121,-0.660233651658732,0.820229715544198,-0.460280786840244,-0.64671468886676,-0.0722150502267507,-1.25773088245199,-0.0405878492891887,3.22729494275364e-05,0.00197551556945186,-3.24472889996485e-05,0.00053508257932755,0.00500581226294017
"other_baleen_whales",2.12726834547539e-05,-2.76154601053236e-05,-6.77951745053917e-06,2.39763721774366e-05,2.71001419820394e-05,0.00244048682130416,2.21330666025921e-05,0.000304785577341704,2.60887759573336e-06,-5.14317165745126e-07,0.000294053287520413,0.000166550700826384,-6.11322086463417e-06,-4.85082206402865e-07,-3.29969455314938e-07,1.30752801528189e-05,-2.05275378650782e-06,0.01241456114266,1.59449677239465e-05,0.000163825354894342,0.000799837745589116,0.000130644316323369,0.0566531818952765,-0.0349754394917472,-0.00661398844449312,-0.00800489679942373,-7.43004152132798e-05,-0.000137393276203213,6.11474730840555e-05,2.14009523880065e-06,-4.79659642227404e-06,-0.000243030935334509,0.00257821130758185,0.000164535592269921,0.00253964849080734,0.00359221033367429,0.000254021853579367,-3.1424571059091e-05,-0.000157265871885137,0.000175128445069284,0.000863868316752558,-0.000889330768109708,0.00168598569717293,-6.91538169794725e-05,-0.00105876745475619,0.000106757950586456,-0.000673927316738876,-1.35515866235281e-05,0.000853813374060763,7.59999472643713e-05,-0.00135286675553825,-0.000724819978644042,0.00626885657137155,0.00216325175095466,1.62939582804e-06,-0.000392242782882413,-0.00260972869133891,-0.00173805215004919,9.39851231178679e-05,0.00898099492270266,-0.0325735620293264,-0.00248911004127716,0.000204800090571666,1.02138281832254e-07,-0.000220904740980465,0.00355816843041712,-0.00531257698478704,-0.0016904145651111,7.46900213526303e-05,-0.00101332582459523,-0.0243898939579319,0.0100924172146541,0.0126100049107514,-0.501742853103273,-0.0334901376831773,0.197189033892513,-0.102768401757004,-0.116528147210123,-0.0317412031540547,-0.154443317058358,-0.0193524148179076,2.23149621252361e-05,-0.0136154850133723,9.65295319232951e-08,-9.07202420741271e-06,-0.00205645521972642
"dolphins_porpoises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"northern_elephant_seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"northern_fur_seal_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"northern_fur_seal_juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
