,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Transient orca",5.09713221,1.00000000,0.0006000000,0.0006000000,,0.025000000,10.8299999,0.00000000,0.00230840,,
2,"Toothed whales",4.37750578,1.00000000,0.013000000,0.013000000,,0.035999998,11.0730000,0.94691819,0.00325115,-0.0003250000,-0.02500000
3,"Baleen whales",3.83528805,1.00000000,0.14500000,0.14500000,,0.098999999,6.98999977,0.31268680,0.01416309,-0.0029000000,-0.02000000
,Stellers,,,,,,,,,,,
4,"SSL embryo",1.00000000,1.00000000,0.0000508088,0.0000508088,0.020199999,,220.786102,0.00000000,0.00009149,,
5,"SSL pups",1.00000000,1.00000000,0.0020180510,0.0020180510,0.52100003,,83.4129562,0.67743009,0.00624603,,
6,"SSL juveniles",4.48619699,1.00000000,0.030127630,0.030127630,0.24100000,,39.5621605,0.52356392,0.00609168,,
7,"SSL Adults",4.48621607,1.00000000,0.14790140,0.14790410,0.17399999,,25.5437393,0.11319450,0.00681185,,
8,"Small mammals",4.45535278,1.00000000,0.022000000,0.022000000,,0.20000000,22.7409992,0.28736171,0.00879469,-0.0002200000,-0.01000000
9,"Sea otters",3.55061102,1.00000000,0.0040000002,0.0040000002,,0.11700000,86.4000015,0.43523920,0.00135417,,
10,Birds,4.36145782,1.00000000,0.00177256,0.00177256,,0.11300000,65.3499985,0.94999999,0.00172915,,
11,"Shark mammal eater",4.75016594,1.00000000,0.050000001,0.050000001,,0.12500000,0.62500000,0.43060729,0.20000000,,
12,"Shark and skates",4.02844381,1.00000000,2.59999990,2.59999990,,0.15899999,0.79500002,0.14660139,0.20000000,,
13,Salmon,3.01829100,1.00000000,1.16234100,1.16234100,,1.16799998,4.32999992,0.50000012,0.26974589,,
14,"Large pelagics",3.72120309,1.00000000,0.00395939,0.00395939,,0.22000000,1.47000003,0.94999999,0.14965990,,
15,"Small pelagics",3.30784702,1.00000000,2.72314692,2.72314692,,0.80000001,3.65000010,0.94999993,0.21917810,,
16,"Atka mackerel",3.50080395,1.00000000,13.5000000,13.5000000,,0.34000000,1.70000005,0.99836957,0.20000000,,
17,Sandlance,3.30784702,1.00000000,0.77848208,0.77848208,,0.80000001,3.65000010,0.94999993,0.21917810,,
18,Herring,3.44220710,1.00000000,2.77090192,2.77090192,,0.16000000,0.97000003,0.94999999,0.16494840,,
,Pollock,,,,,,,,,,,
19,"Juvenile pollock",3.32878804,1.00000000,0.67400008,0.67400008,1.20000005,,4.67992496,0.78176421,0.25641441,,
20,"Adult pollock",3.64734197,1.00000000,6.07800007,6.07800102,0.30399999,,1.99999905,0.99838418,0.15200010,,
21,POP,3.21317697,1.00000000,1.10899997,1.10899997,,0.068000004,0.68000001,0.94537789,0.10000000,,
22,Rockfish,3.45776010,1.00000000,1.23131001,1.23131001,,0.10000000,1.00000000,0.94999999,0.10000000,,
23,Sablefish,3.54905891,1.00000000,1.79900002,1.79900002,,0.10600000,1.02999997,0.49095610,0.10291260,-0.035980001,-0.02000000
24,"Pacific cod",3.98362708,1.00000000,2.40000010,2.40000010,,0.37000000,2.27999997,0.54984188,0.16228069,0.071999997,0.03000000
25,Halibut,4.26395798,1.00000000,0.39658129,0.39658129,,0.19000000,1.26666701,0.89999998,0.15000001,0.011897440,0.03000000
26,Arrowtooth,4.18453693,1.00000000,0.50000000,0.50000000,,0.30000001,2.00000000,0.60263687,0.15000001,,
27,Flatfish,3.63398600,1.00000000,2.82810402,2.82810402,,0.18799999,1.72000003,0.50000000,0.10930230,,
28,"Dem S M",3.37932897,1.00000000,5.07317114,5.07317114,,0.60000002,3.00000000,0.94999999,0.20000000,,
29,"Large pred demersals",3.72596002,1.00000000,3.26205492,3.26205492,,0.40000001,2.00000000,0.94999999,0.20000000,,
30,"Deep L",3.85574389,1.00000000,0.48598590,0.48598590,,0.40000001,2.00000000,0.94999993,0.20000000,,
31,Myctophids,3.34988689,1.00000000,7.60450506,7.60450506,,0.80000001,3.65000010,0.94999993,0.21917810,,
32,Shrimps,2.69385910,1.00000000,3.22279811,3.22279811,,2.03999996,10.1999998,0.94999999,0.20000000,,
33,"Benthic inverts",2.00806499,1.00000000,26.20726967,26.20726967,,2.52900004,8.43000031,0.94999999,0.30000001,,
34,"Epiben carnivores",2.98136902,1.00000000,8.11741066,8.11741066,,1.28299999,5.00000000,0.94999999,0.25659999,,
35,Cephalopods,3.53256106,1.00000000,2.09262395,2.09262395,,2.94000006,7.15999985,0.94999999,0.41061461,,
36,"Large zooplankton",2.45316291,1.00000000,14.07658005,14.07658005,,5.86999989,16.0000000,0.94999999,0.36687499,,
37,"Small zooplankton",2.11111093,1.00000000,9.40431976,9.40431976,,23.7299995,112.419998,0.94999999,0.21108340,,
38,Phytoplankton,1.00000000,1.00000000,17.1860008,17.1860008,,129.554993,,0.36872840,,,
39,Macrophytes,1.00000000,1.00000000,12.99415016,12.99415016,,8.11999989,,0.099999987,,,
40,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,,0.26607090,,,
