,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Toothed whales",4.89339399,1.00000000,0.017790001,0.017790001,0.020000000,12.7480001,0.00000000,0.00156887,,
2,Sharks,4.71082497,1.00000000,0.01811799,0.01811799,0.15000001,4.76999998,0.75000012,0.03144654,,
3,Birds,4.68895388,1.00000000,0.0076600001,0.0076600001,1.00000000,80.0000000,0.00000000,0.01250000,,
4,Seals,4.54841518,1.00000000,0.11100000,0.11100000,0.056000002,13.0000000,0.14556530,0.00430769,,
5,"Adult saithe",4.47993183,1.00000000,0.13800000,0.13800000,0.69999999,2.00000000,0.28795531,0.34999999,,
6,"Adult cod (4+)",4.42839909,1.00000000,0.62629998,0.62629998,0.49000001,2.00000000,0.79295021,0.24500000,,
7,Minke,4.33918095,1.00000000,0.15941000,0.15941000,0.035000000,8.14000034,0.05842975,0.00429975,,
8,"Benthic piscivores",4.29076290,1.00000000,0.57806230,0.57806230,0.62000000,2.65400004,0.99000013,0.23360960,,
9,"Other baleen whales",4.27781916,1.00000000,0.11172000,0.11172000,0.020000000,12.8900003,0.00000000,0.00155159,,
10,"Juvenile saithe",4.27527905,1.00000000,0.14560001,0.14560001,1.27382898,2.93799996,0.99000013,0.43357030,,
11,"Mackerel/Horse Mackerel",4.19398499,1.00000000,0.18000001,0.18000001,0.51999998,2.26999998,0.37618041,0.22907490,,
12,"Salmon and Seatrout",4.14846897,1.00000000,0.13183349,0.13183349,0.60000002,4.00000000,0.99000001,0.15000001,,
13,"Juvenile cod (1-3)",4.05457020,1.00000000,0.25353819,0.25353819,1.50000000,3.50000000,0.99000001,0.42857140,,
14,Wolfishes,3.99468207,1.00000000,0.02296487,0.02296487,0.44999999,1.76999998,0.94999981,0.25423729,,
15,"Adult haddock (4+)",3.93685889,1.00000000,0.085979998,0.085979998,0.62000000,2.31500006,0.47176370,0.26781860,,
16,"Juvenile haddock (1-3)",3.91754007,1.00000000,0.15974779,0.15974779,1.50000000,3.50000000,0.99000001,0.42857140,,
17,"Polar cod (1+)",3.84996700,1.00000000,0.53219092,0.53219092,0.69999999,2.63299990,0.99000013,0.26585639,,
18,Redfishes,3.84714699,1.00000000,0.35223621,0.35223621,0.50000000,2.00000000,0.99000001,0.25000000,,
19,"Adult capelin (2+)",3.74650502,1.00000000,1.86899996,1.86899996,1.00000000,4.69999981,0.79214668,0.21276601,,
20,Squid,3.69145298,1.00000000,0.10876860,0.10876860,1.39999998,10.00000000,0.98999989,0.14000000,,
21,"Benthic Invertebrate Feeders 1 (BIF1)",3.68032908,1.00000000,0.74271452,0.74271452,0.30970001,3.21399999,0.94999993,0.09635968,,
22,"Lobsters  crabs",3.42010498,1.00000000,0.10338680,0.10338680,2.00000000,6.00000000,0.94999999,0.33333331,,
23,"Pelagic planktivorous fish",3.41317296,1.00000000,1.09750295,1.09750295,0.65700001,5.46500015,0.98999989,0.12021960,,
24,"Adult herring (4+)",3.38546801,1.00000000,0.74440002,0.74440002,0.52999997,4.84000015,0.72848618,0.10950410,,
25,"Juvenile capelin (1)",3.24414802,1.00000000,2.29600000,2.29600000,2.00000000,9.39999962,0.25167531,0.21276601,,
26,"Juvenile herring (1-3)",3.18705893,1.00000000,0.66862398,0.66862398,1.50000000,9.68400002,0.98999977,0.15489469,,
27,"Other macrobenthos",3.00065589,1.00000000,13.2352896,13.2352896,2.50000000,12.5000000,0.53130919,0.20000000,,
28,"Carnivorous zooplankton",2.92761111,1.00000000,6.00000000,6.00000000,8.00000000,20.0000000,0.49176690,0.40000001,,
29,"Epifaunal filter feeders",2.86140394,1.00000000,20.0000000,20.0000000,1.58000004,5.76999998,0.29514429,0.27383021,,
30,"Other crustaceans",2.66914606,1.00000000,0.99816972,0.99816972,1.48000002,7.69000006,0.94999993,0.19245771,,
31,"Prawns & shrimps",2.57261491,1.00000000,0.23426090,0.23426090,1.70000005,9.67000008,0.99000001,0.17580150,,
32,"Infaunal filter feeders",2.56140399,1.00000000,20.0000000,20.0000000,1.37000000,11.0000000,0.69710171,0.12454550,,
33,Meiofauna,2.40351009,1.00000000,9.73346519,9.73346519,19.0000000,47.50000000,0.99000013,0.40000001,,
34,"Herbivorous zooplankton",2.20100498,1.00000000,15.0000000,15.0000000,9.00000000,25.0000000,0.73531818,0.36000001,,
35,"Planktonic micro-organisms",2.00502491,1.00000000,1.18852997,1.18852997,150.000000,375.00000000,0.99000019,0.40000001,,
36,"Benthic micro-organisms",2.00000000,1.00000000,1.12568200,1.12568200,150.000000,375.00000000,0.99000001,0.40000001,,
37,Phytoplankton,1.00000000,1.00000000,20.0000000,20.0000000,55.0000000,,0.28839901,,,
38,"Seaweeds and algae",1.00000000,1.00000000,0.018571431,0.018571431,2.00000000,,0.22794710,,,
39,"Dead carcasses",1.00000000,1.00000000,,,,,0.97484589,,,
40,"Water column detritus",1.00000000,1.00000000,50.0000000,50.0000000,,,0.66900438,,,
41,"Benthic detritus",1.00000000,1.00000000,50.0000000,50.0000000,,,0.95471561,,,
