,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Piscivorous seabirds",4.21751213,1.00000000,0.25000000,0.25000000,0.16300000,120.000000,0.00000000,0.00135833,,
2,"Non-piscivorous seabirds",2.73920798,1.00000000,0.12100000,0.12100000,0.51099998,120.000000,0.00000000,0.00425833,,
3,Weakfish,3.89800310,1.00000000,3.96928811,3.96928811,0.25999999,3.00000000,0.94999999,0.08666667,,
4,"Striped bass",4.19158792,1.00000000,1.38336098,1.38336098,0.40000001,2.40000010,0.89999998,0.16666670,,
5,"Summer flounder",3.95533490,1.00000000,2.30043602,2.30043602,0.51999998,2.59999990,0.94999999,0.20000000,,
6,Bluefish,3.85580707,1.00000000,2.73298311,2.73298311,0.51999998,3.09999990,0.94999999,0.16774189,,
7,"Winter flounder",3.09206200,1.00000000,4.66108990,4.66108990,0.51999998,3.40000010,0.94999999,0.15294120,,
8,"Atlantic silversides",3.15908408,1.00000000,4.46126080,4.46126080,0.80000001,4.00000000,0.94999999,0.20000000,,
9,"Atlantic Croaker",3.22563291,1.00000000,0.17978990,0.17978990,0.91600001,4.19999981,0.89999998,0.21809520,,
10,Spot,3.17753911,1.00000000,0.56100082,0.56100082,0.89999998,6.19999981,0.89999998,0.14516130,,
11,"Atlantic Menhaden",2.77972698,1.00000000,12.42741013,12.42741013,0.50000000,31.4200001,0.94999993,0.01591343,,
12,"River herring",3.39438796,1.00000000,1.18049097,1.18049097,0.75000000,8.39999962,0.94999999,0.08928572,,
13,Mummichog,2.78332996,1.00000000,3.46492100,3.46492100,1.20000005,3.65000010,0.94999993,0.32876709,,
14,"Bay anchovy",3.41504002,1.00000000,4.86000013,4.86000013,3.00000000,9.69999981,0.83902568,0.30927840,,
15,"Benthic infauna/epifauna",2.10204101,1.00000000,77.42549133,77.42549133,2.00000000,10.00000000,0.89999992,0.20000000,,
16,Amphipods,2.00000000,1.00000000,3.32300401,3.32300401,3.79999995,19.00000000,0.89999998,0.20000000,,
17,"Blue crabs",2.93819189,1.00000000,6.25697184,6.25697184,1.21000004,4.00000000,0.94999999,0.30250001,,
18,"Hard clams",2.00000000,1.00000000,26.1800003,26.1800003,0.50000000,5.09999990,0.62926549,0.09803922,,
19,Oyster,2.00000000,1.00000000,0.0010000000,0.0010000000,0.63000000,2.00000000,0.00000000,0.31500000,,
20,Copepods,2.72000003,1.00000000,12.48490047,12.48490047,25.0000000,83.33332825,0.94999999,0.30000001,,
21,Microzooplankton,2.00000000,1.00000000,6.69411087,6.69411087,140.000000,350.00000000,0.94999999,0.40000001,,
22,"Sea nettles",4.15628004,1.00000000,0.34500000,0.34500000,13.0000000,20.0000000,0.00000000,0.64999998,,
23,Ctenophores,3.47952008,1.00000000,5.28999996,5.28999996,16.2000008,35.0000000,0.04227053,0.46285719,,
24,"Benthic algae",1.00000000,1.00000000,3.53262305,3.53262305,80.0000000,,0.89999998,,,
25,Phytoplantkon,1.00000000,1.00000000,21.27253914,21.27253914,160.000000,,0.94999999,,,
26,SAV,1.00000000,1.00000000,5.82000017,5.82000017,5.11000013,,0.31686610,,,
27,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.13177240,,,
