,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Birds,3.14268899,1.00000000,0.037989140,0.037989140,0.20667960,97.5033569,0.00000000,0.00211972,,
2,Fishes,3.03314495,0.50000000,2.44192004,1.22096002,1.13064301,5.05837107,0.27185699,0.22351921,,
3,"Olivancillaria vesica auricularia",3.00099111,0.17000000,29.8565502,5.07561302,0.54428941,1.27434194,0.00679233,0.42711410,,
4,"Olivella formicacorsii",3.00096393,0.17000000,1.20374894,0.20463730,1.89688301,9.56715584,0.04834061,0.19827031,,
5,"Buccinanops duartei",2.34534502,0.17000000,4.91342783,0.83528280,0.81219631,2.66849589,0.02765941,0.30436480,,
6,Carabide,2.00000000,0.086999997,0.077091500,0.0067069600,9.58903885,225.007401,0.00583535,0.04261655,,
7,"Phoxocephalopsis sp.",2.00000000,0.086999997,0.038661052,0.0033635111,9.90391254,454.947510,0.05510094,0.02176935,,
8,"Atlantorchestoidea brasiliensis",2.00000000,0.50000000,0.47775060,0.23887530,2.32295990,121.027397,0.13231400,0.01919367,,
9,"Macrochiridiotea giambiagiae",2.00000000,0.50000000,0.0085280836,0.0042640418,9.24043465,293.927490,0.77641439,0.03143780,,
10,"Euzonus furciferus",2.00000000,0.17000000,0.90546232,0.15392859,2.02048612,77.0100937,0.48917490,0.02623664,,
11,"Hemipodus olivieri",2.94849491,0.17000000,1.04930198,0.17838129,4.03709412,71.7482834,0.20390619,0.05626747,,
12,"Scolelepis gaucha",2.00000000,0.17000000,0.029709389,0.0050505968,5.73999500,108.554802,0.20334360,0.05287647,,
13,"Excirolana braziliensis",2.00000000,0.17000000,0.16508220,0.028063970,0.95343423,172.071503,0.14025800,0.00554092,,
14,"Excirolana armata",2.00000000,0.17000000,3.21770501,0.54700983,2.39290905,183.948700,0.80748981,0.01300857,,
15,"Mesodesma mactroides",2.00099993,0.17000000,21.9414597,3.73004889,2.80245304,8.11728668,0.64694703,0.34524509,,
16,"Emerita brasiliensis",2.00099993,0.17000000,106.953201,18.1820393,2.76453495,15.5812998,0.26633489,0.17742650,,
17,"Donax hanleyanus",2.00099993,0.17000000,84.9621735,14.4435701,1.40751505,7.16990519,0.22018640,0.19630870,,
18,Zooplankton,2.00100088,0.50000000,5.16620588,2.58310294,115.751404,353.323303,0.01001209,0.32760760,,
19,Phytoplankton,1.00000000,0.50000000,86.7129593,43.3564796,462.116211,,0.05182744,,,
20,Detritus,1.00000000,1.00000000,597.000000,597.000000,,,0.02248994,,,
