,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Plunge and pursuit divers seabirds",4.30965614,1.00000000,0.0022499999,0.0022499999,,0.090000004,57.6599998,0.00000000,0.00156087,,
2,"Surface feeders seabirds",3.67559290,1.00000000,0.0005830000,0.0005830000,,0.090000004,69.9599991,0.00000000,0.00128645,,
3,"Baleen whales",3.93021488,1.00000000,0.065135382,0.065135382,,0.035000000,4.77461100,0.00000000,0.00733044,,
4,"Toothed whales",4.58357000,1.00000000,0.034000002,0.034000002,,0.13500001,11.9983997,0.00000000,0.01125150,,
5,"Sharks L",4.73082399,1.00000000,0.09432622,0.09432622,,0.19000000,1.89999998,0.60000002,0.10000000,,
6,Sharks/rays,4.06702089,1.00000000,0.27085400,0.27085400,,0.34999999,3.50000000,0.80000007,0.10000000,,
7,Anglerfish,4.48148203,1.00000000,0.34811369,0.34811369,,0.40000001,2.40000010,0.80000007,0.16666670,,
8,"Sea bass",4.34393597,1.00000000,0.10619560,0.10619560,,0.50000000,3.75399995,0.89999998,0.13319130,,
9,"Blue whitting",3.65916610,1.00000000,0.30860740,0.30860740,,0.36669999,1.83350003,0.94999999,0.20000000,,
,Hake,,,,,,,,,,,
10,"Hake adulte",4.48875284,1.00000000,0.69088203,0.69088191,0.84799999,,2.59999990,0.64095157,0.32615381,,
11,"Hake juv",4.09565210,1.00000000,0.19707780,0.19707780,1.20000005,,6.20238209,0.83803749,0.19347410,,
12,Whitting,4.15706015,1.00000000,0.17227399,0.17227399,,0.40000001,4.70800018,0.94999999,0.08496176,,
13,Megrim,4.32113600,1.00000000,0.09171161,0.09171161,,0.40000001,2.00000000,0.90000010,0.20000000,,
14,Sole,3.23000312,1.00000000,0.18910000,0.18910000,,0.72380430,3.70000005,0.73766112,0.19562280,,
15,Plaice,3.15050006,1.00000000,0.05902240,0.05902240,,0.44200000,3.42000008,0.89999998,0.12923980,,
16,"Demersal L",3.88204503,1.00000000,0.58630592,0.58630592,,0.34400001,1.72000003,0.89999992,0.20000000,,
17,"Demersal M",3.53389001,1.00000000,1.62881100,1.62881100,,0.43000001,2.15000010,0.94999993,0.20000000,,
18,"Demersal S",3.25742793,1.00000000,0.69855422,0.69855422,,1.09000003,4.36000013,0.94999999,0.25000000,,
19,"Horse mackerel",3.62088990,1.00000000,1.04600000,1.04600000,,0.55000001,2.20000005,0.91870141,0.25000000,,
20,Mackerel,3.67654490,1.00000000,0.67218262,0.67218262,,0.64999998,2.59999990,0.73850322,0.25000000,,
21,Anchovy,3.43535590,1.00000000,0.51700002,0.51700002,,1.54999995,9.13000011,0.87941062,0.16977000,,
22,Sardine,3.42252994,1.00000000,4.64799976,4.64799976,,0.80968070,6.80000019,0.66521388,0.11907070,,
23,Pouts,3.81211901,1.00000000,0.33111811,0.33111811,,1.39999998,7.00000000,0.94999993,0.20000000,,
24,"Pelagic L",4.31026602,1.00000000,0.11283860,0.11283860,,0.40000001,4.13000011,0.89999998,0.09685230,,
25,"Pelagic M",3.55298305,1.00000000,0.35707340,0.35707340,,0.73000002,4.92000008,0.94999993,0.14837401,,
26,Cephalopods,3.65873289,1.00000000,0.24001630,0.24001630,,3.11999989,10.39999962,0.94999999,0.30000001,,
27,"Norway lobster",3.24625993,1.00000000,0.17024210,0.17024210,,0.70300001,3.40000010,0.80000001,0.20676470,,
28,Lobsters/Crabs,3.47753501,1.00000000,0.43945950,0.43945950,,1.20000005,8.00000000,0.80000001,0.15000001,,
29,Shrimps,2.98640394,1.00000000,1.38693595,1.38693595,,3.00000000,20.00000000,0.95000011,0.15000001,,
30,"Carnivorous and necrophagous benthic invertebrates",3.15644002,1.00000000,8.15172195,8.15172195,,1.88499999,12.56667042,0.60000002,0.15000001,,
31,"Subsurface deposit feeders invertebrates",2.45199990,1.00000000,24.08966064,24.08966064,,1.60000002,8.00000000,0.60000002,0.20000000,,
32,"Surface suspension and deposit feeders",2.04999995,1.00000000,18.61450958,18.61450958,,2.79999995,14.00000000,0.80000001,0.20000000,,
33,"Benthic meiofauna",2.09999990,1.00000000,9.59145069,9.59145069,,10.00000000,50.00000000,0.89999998,0.20000000,,
34,"Suprabenthic invertebrates",2.13102889,1.00000000,0.21829700,0.21829700,,20.0000000,100.00000000,0.89999998,0.20000000,,
35,Macrozooplankton,2.65514398,1.00000000,2.21814895,2.21814895,,10.5000000,38.0000000,0.94999993,0.27631581,,
36,Mesozooplankton,2.46751404,1.00000000,4.41128302,4.41128302,,16.4500008,80.0000000,0.89999992,0.20562500,,
37,Microzooplankton,2.15306091,1.00000000,4.77125502,4.77125502,,45.0499992,316.000000,0.89999998,0.14256330,,
38,Bacteria,2.00000000,1.00000000,0.68212909,0.68212909,,500.000000,1428.57104492,0.81000012,0.34999999,,
39,"Phytoplankton L",1.00000000,1.00000000,7.55971384,7.55971384,,119.000000,,0.80000007,,,
40,"Phytoplankton S",1.00000000,1.00000000,5.26426506,5.26426506,,151.000000,,0.60000008,,,
41,"Benthic producers",1.00000000,1.00000000,0.16276620,0.16276620,,4.50000000,,0.20000000,,,
42,Discards,1.00000000,1.00000000,1.00000000,1.00000000,,,,0.73270053,,,
43,Detritus,1.00000000,1.00000000,130.000000,130.000000,,,,0.95297241,,,
