,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Seagrass,1.00000000,1.00000000,702.000000,702.000000,8.43000031,,0.13738801,,,
2,Seaweeds,1.00000000,1.00000000,832.000000,832.000000,15.3400002,,0.02794402,,,
3,Zooplankton,2.05641007,1.00000000,2.86999989,2.86999989,40.0000000,133.33329773,0.91020268,0.30000001,,
4,"Sea cucumber",2.00000000,1.00000000,0.37137789,0.37137789,4.44999981,22.50000000,0.94999999,0.19777779,,
5,"Sea Urchins",2.00000000,1.00000000,35.7700005,35.7700005,7.50600004,25.00000000,0.13501860,0.30024001,,
6,"Siganus fusc.",2.02256393,1.00000000,1.82000005,1.82000005,2.21399999,124.000000,0.73418659,0.01785484,,
7,"Siganus spinus",2.21846199,1.00000000,0.70999998,0.70999998,6.50000000,47.9000015,0.17904010,0.13569941,,
8,"Groupers (e.m.)",3.74797201,1.00000000,0.23800001,0.23800001,0.80000001,4.00000000,0.92436969,0.20000000,,
9,"Wrasse (c.a.)",3.57089710,1.00000000,0.33700001,0.33700001,1.50999999,7.55000019,0.99685621,0.20000000,,
10,Moray,3.44554901,1.00000000,0.10000000,0.10000000,1.50000000,7.50000000,0.82373333,0.20000000,,
11,Damselfishes,2.48244190,1.00000000,0.72930002,0.72930002,3.29999995,54.7000008,0.40275311,0.06032906,,
12,Gobies,3.22603989,1.00000000,0.037000000,0.037000000,14.0179501,70.0897369,0.94999969,0.20000000,,
13,Parrotfish,2.00000000,1.00000000,1.29999995,1.29999995,5.59999990,28.0000000,0.13379119,0.20000000,,
14,Cardinalfishes,3.57298994,1.00000000,0.40490001,0.40490001,3.87800002,19.3899994,0.82211810,0.20000000,,
15,Squid,3.69947910,1.00000000,0.65261161,0.65261161,3.09999990,16.6399994,0.94999999,0.18629810,,
16,Ot.planktiv.f.,3.01133895,1.00000000,0.083999999,0.083999999,2.73000002,13.6499996,0.91511720,0.20000000,,
17,Ot.pisciv.f.,3.75050092,1.00000000,0.33500001,0.33500001,1.00000000,5.00000000,0.98054188,0.20000000,,
18,Ot.herbiv.f.,2.59489012,1.00000000,0.012900000,0.012900000,3.00000000,15.0000000,0.76081401,0.20000000,,
19,Ot.omniv.f.,2.70793200,1.00000000,0.71300000,0.71300000,6.17999983,30.8999996,0.90915370,0.20000000,,
20,Coral.cons.,2.53538489,1.00000000,200.000000,200.000000,0.10000000,0.50000000,0.11967810,0.20000000,,
21,Coral.prod.,1.00000000,1.00000000,90.0000000,90.0000000,3.20000005,,0.13104171,,,
22,Ot.invertebr.,2.12820506,1.00000000,15.8143997,15.8143997,3.00000000,15.0000000,0.95002818,0.20000000,,
23,Crustaceans,2.59031296,1.00000000,6.24126577,6.24126577,8.40000057,28.0000000,0.95140702,0.30000001,,
24,Molluscs,2.00000000,1.00000000,3.10999990,3.10999990,2.79999995,5.59999990,0.94838309,0.50000000,,
25,Phytoplankton,1.00000000,1.00000000,0.30000001,0.30000001,30.4169998,,0.91505527,,,
26,Detritus,1.00000000,1.00000000,1000.000000,1000.000000,,,0.03991587,,,
