,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Cephalopods,3.54930210,1.00000000,6.67799997,6.67799997,0.89099997,5.17600012,0.94592649,0.17214060,,
2,"Sea Birds",4.24166298,1.00000000,0.0089999996,0.0089999996,5.40000010,80.0000000,0.00000000,0.06750000,,
3,Piscivores,4.24764204,1.00000000,1.92200005,1.92200005,0.72899997,4.88700008,0.37897769,0.14917129,,
4,M-carnivores,4.07493305,1.00000000,2.31200004,2.31200004,0.76200002,5.73500013,0.38469559,0.13286830,,
5,"Inv. Feeders 1",3.21823812,1.00000000,12.38527012,12.38527012,0.51400000,6.25099993,0.94999999,0.08222684,,
6,"Inv. Feeders 2",3.22147107,1.00000000,2.90000010,2.90000010,0.39100000,5.36600018,0.10057680,0.07286619,,
7,"Inv. Feeders 3",3.48744798,1.00000000,7.47200012,7.47200012,0.75599998,7.14900017,0.31171271,0.10574900,,
8,"D. puntazzo",3.05776000,1.00000000,0.63999999,0.63999999,0.47499999,5.76100016,0.06431848,0.08245096,,
9,"Inv. Feeders 4",2.89151692,1.00000000,0.035999998,0.035999998,1.82799995,7.37699986,0.98772192,0.24779721,,
10,Blennies,2.80514789,1.00000000,0.61738741,0.61738741,0.60500002,13.1709995,0.94999999,0.04593425,,
11,"Herb. Fish",2.05397201,1.00000000,4.73999977,4.73999977,0.77999997,12.0249996,0.03951597,0.06486487,,
12,"Plankt. Fish",3.54182005,1.00000000,15.4010000,15.4010000,0.93699998,10.2840004,0.16914169,0.09111241,,
13,"Mugil spp.",2.49186492,1.00000000,0.15300000,0.15300000,0.62400001,8.58699989,0.99212331,0.07266799,,
14,"Pel. Bacteria",2.00000000,1.00000000,0.87560159,0.87560159,284.799988,1898.72998,0.94999999,0.14999500,,
15,Zooplankton,2.47138906,1.00000000,3.26290798,3.26290798,50.0000000,170.000000,0.94999993,0.29411769,,
16,Macro-Plankton,3.34032702,1.00000000,0.74500000,0.74500000,25.0000000,70.0000000,0.67584598,0.35714290,,
17,Protozoa,2.36842108,1.00000000,1.42766500,1.42766500,150.000000,300.000000,0.99000013,0.50000000,,
18,Phytoplankton,1.00000000,1.00000000,5.37493277,5.37493277,112.650002,,0.94999993,,,
19,"Susp. Feeders",2.46577811,1.00000000,70.0000000,70.0000000,2.50000000,10.00000000,0.71029752,0.25000000,,
20,Echinoderms,2.06885600,1.00000000,64.4260025,64.4260025,0.69300002,2.77200007,0.77866238,0.25000000,,
21,"Ot. Crustacea",2.05101395,1.00000000,10.0019999,10.0019999,20.2099991,92.5950012,0.83384901,0.21826230,,
22,Amphipods,2.08122706,1.00000000,21.40136909,21.40136909,9.00000000,21.7439995,0.95000011,0.41390729,,
23,Decapods,2.94745708,1.00000000,24.6299992,24.6299992,4.72249985,18.8899994,0.62918532,0.25000000,,
24,Polychaetes,2.35916495,1.00000000,62.3390007,62.3390007,3.35999990,19.2600002,0.92447692,0.17445479,,
25,Gastropods,2.37694812,1.00000000,76.38922119,76.38922119,1.91299999,10.7100000,0.94999999,0.17861810,,
26,Macroalgae,1.00000000,1.00000000,970.74468994,970.74468994,1.57299995,,0.94999999,,,
27,Detritus,1.00000000,1.00000000,230.850006,230.850006,,,0.96478337,,,
