,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (g/m^2)","Biomass (g/m^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (g/m^2)","BA rate (/year)"
1,"B. chrysoura",3.65252495,1.00000000,0.07974482,0.07974482,1.32000005,11.0000000,0.94999999,0.12000000,,
2,"H. jaguana",3.49213409,1.00000000,0.75335151,0.75335151,1.57000005,13.3000002,0.94999993,0.11804510,,
3,"H. plumieri",3.29567790,1.00000000,0.36172909,0.36172909,1.16400003,9.69999981,0.94999999,0.12000000,,
4,Mojarra,3.27737403,1.00000000,0.06562439,0.06562439,2.61599994,21.7999992,0.95000011,0.12000000,,
5,"Other fishes",3.11103797,1.00000000,6.56207991,6.56207991,1.44000006,7.19999981,0.94999993,0.20000000,,
6,"O. chrysoptera",3.08672595,1.00000000,1.90567505,1.90567505,1.20000005,9.80000019,0.94999999,0.12244900,,
7,Catfish,3.07176995,1.00000000,0.09947550,0.09947550,1.16400003,9.69999981,0.94999993,0.12000000,,
8,"L. rhomboides",3.06154799,1.00000000,0.64636171,0.64636171,1.60000002,12.6999998,0.94999999,0.12598430,,
9,"O. oglinum",2.91897511,1.00000000,1.51808095,1.51808095,1.60000002,13.6999998,0.94999993,0.11678830,,
10,"A. quadricornis",2.69803905,1.00000000,0.09968103,0.09968103,1.05599999,8.80000019,0.94999993,0.12000000,,
11,Decapoda,2.64727306,1.00000000,3.71216202,3.71216202,2.70000005,11.0000000,0.94999999,0.24545451,,
12,"A. rhomboidalis",2.56141210,1.00000000,0.30701759,0.30701759,0.47999999,11.6999998,0.94999993,0.04102564,,
13,Microcrustacean,2.21212101,1.00000000,10.31110954,10.31110954,5.61999989,18.7299995,0.94999999,0.30005339,,
14,Molluscs,2.20000005,1.00000000,21.18372917,21.18372917,1.72000003,8.60000038,0.94999993,0.20000000,,
15,Worms,2.06060600,1.00000000,19.35287094,19.35287094,2.75000000,13.7500000,0.94999999,0.20000000,,
16,Copepoda,2.00000000,1.00000000,2.51440692,2.51440692,18.6200008,93.0999985,0.94999999,0.20000000,,
17,Phytoplankton,1.00000000,1.00000000,7.80491209,7.80491209,46.4230003,,0.94999993,,,
18,"Benthic prod.",1.00000000,1.00000000,8.89531517,8.89531517,12.5000000,,0.95000011,,,
19,Detritus,1.00000000,1.00000000,12.3999996,12.3999996,,,0.96277273,,,
