,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Whales,4.10945606,1.00000000,0.14600000,0.14600000,0.10000000,11.7419996,0.00000000,0.00851644,,
2,"Harp Seals",4.40232086,1.00000000,0.24819000,0.24819000,0.10200000,17.4120007,0.04747272,0.00585803,,
3,"Hooded Seals",4.72976303,1.00000000,0.045747470,0.045747470,0.10900000,13.1000004,0.04840935,0.00832061,,
4,Seabirds,4.19662189,1.00000000,0.012000000,0.012000000,0.25000000,54.7500000,0.33333331,0.00456621,,
5,"Cod > 35cm",4.16781187,1.00000000,2.57243395,2.57243395,0.65100002,2.20000005,0.48203430,0.29590911,,
6,"Cod <= 35 cm",3.86327600,1.00000000,0.36300001,0.36300001,1.18499994,6.09000015,0.93027169,0.19458130,,
7,G.halibut>40cm,4.52310801,1.00000000,0.46900001,0.46900001,0.29600000,1.47800004,0.77261072,0.20027059,,
8,G.halibut<=40cm,4.24953222,1.00000000,0.81099999,0.81099999,0.97200000,4.74300003,0.91540831,0.20493360,,
9,Aplaice>35cm,3.66914892,1.00000000,0.88300002,0.88300002,0.53799999,2.00000000,0.14587410,0.26899999,,
10,Aplaice<=35cm,3.67178297,1.00000000,0.74199998,0.74199998,0.62500000,3.73600006,0.36793330,0.16729119,,
11,Flounders,3.04887795,1.00000000,0.45802921,0.45802921,0.35100001,2.33999991,0.94999999,0.15000001,,
12,Skates,4.08660316,1.00000000,0.15000001,0.15000001,0.30500001,2.87800002,0.32473749,0.10597640,,
13,Redfish,3.66408992,1.00000000,1.73387694,1.73387694,0.30300000,2.00000000,0.94999993,0.15150000,,
14,L.Dem.Feeders,3.27896094,1.00000000,1.02045202,1.02045202,0.23500000,1.56666696,0.17324930,0.15000001,,
15,S.Dem.Feeders,3.11097693,1.00000000,2.20971608,2.20971608,0.40000001,2.66666698,0.94999999,0.15000001,,
16,Capelin,3.26674604,1.00000000,16.09663963,16.09663963,1.14499998,4.30000019,0.94999993,0.26627901,,
17,"Sand lance",3.19526291,1.00000000,1.72196698,1.72196698,1.14999998,7.66666603,0.95000023,0.15000001,,
18,"Arctic cod",3.40800500,1.00000000,4.03129721,4.03129721,0.39500001,2.63333297,0.94999999,0.15000001,,
19,L.Pel.Feeders,4.24004602,1.00000000,0.02421198,0.02421198,0.40000001,3.33299994,0.94999999,0.12001200,,
20,"Pisc. SPF",4.12925386,1.00000000,0.99299890,0.99299890,0.60000002,4.00000000,0.94999993,0.15000001,,
21,"Plankt. SPF",3.29614711,1.00000000,3.41752410,3.41752410,0.50000000,3.33333302,0.95000011,0.15000001,,
22,Shrimp,2.45694709,1.00000000,0.99756819,0.99756819,1.45000005,9.66666698,0.95000011,0.15000001,,
23,"Large Crustacea",2.92959309,1.00000000,1.98837304,1.98837304,0.38200000,4.42000008,0.94999999,0.08642533,,
24,Echinoderms,2.00000000,1.00000000,70.5999985,70.5999985,0.60000002,6.66666698,0.10901690,0.090000004,,
25,Molluscs,2.00000000,1.00000000,16.3999996,16.3999996,0.56999999,6.33333302,0.21673299,0.090000004,,
26,Polychaetes,2.00000000,1.00000000,8.80000019,8.80000019,2.00000000,22.22221947,0.29211909,0.090000004,,
27,"O.Benthic Inver",2.00000000,1.00000000,2.70000005,2.70000005,2.50000000,12.50000000,0.87103963,0.20000000,,
28,L.Zooplankton,2.55789495,1.00000000,23.33402061,23.33402061,3.43300009,19.5000000,0.95000023,0.17605130,,
29,S.Zooplankton,2.00000000,1.00000000,34.64604187,34.64604187,8.39999962,28.00000000,0.94999993,0.30000001,,
30,Phytoplankton,1.00000000,1.00000000,27.2500000,27.2500000,103.599998,,0.40355071,,,
31,Detritus,1.00000000,1.00000000,389.000000,389.000000,,,0.38136059,,,
