,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Bottlenose dolphins",4.16245222,1.00000000,0.014371040,0.014371040,0.067167670,12.8142300,0.00000000,0.00524165,,
2,"Striped dolphins",4.19236708,1.00000000,0.010800000,0.010800000,0.034657810,14.1059198,0.00000000,0.00245697,,
3,"Endangered and pelagic seabirds",3.99532390,1.00000000,0.0009251880,0.0009251880,0.40870261,73.7493134,0.00000000,0.00554178,,
4,"Gulls and cormorants",4.04838800,1.00000000,0.0003356740,0.0003356740,0.31202680,70.7960968,0.00000000,0.00440740,,
5,Terns,3.98193598,1.00000000,0.0000085919,0.0000085919,0.29373601,85.3996964,0.00000000,0.00343954,,
6,"Loggerhead turtles",3.31177402,1.00000000,0.011022790,0.011022790,0.20126070,2.51742506,0.00000000,0.07994705,,
7,"Non-commercial large pelagic fishes",3.74916792,1.00000000,0.0077790301,0.0077790301,0.13757530,1.62770796,0.00000000,0.08452088,,
8,"Other large pelagic fishes",4.07543087,1.00000000,0.0038991871,0.0038991871,0.49634099,4.96340990,0.88669538,0.10000000,,
9,Mackerels,3.50835609,1.00000000,0.0042533972,0.0042533972,0.87873489,7.32279110,0.33961400,0.12000000,,
10,"Horse mackerels",3.47635603,1.00000000,0.015550350,0.015550350,0.86306071,7.19217300,0.48515940,0.12000000,,
11,"Other medium pelagic fishes",3.93259501,1.00000000,0.0026732751,0.0026732751,0.76904780,5.18761921,0.09666938,0.14824679,,
12,"European sardine",2.95302606,1.00000000,0.046705689,0.046705689,1.63671505,10.9114304,0.70738232,0.15000001,,
13,"European anchovy",3.01001692,1.00000000,0.011097860,0.011097860,1.63252902,10.8835297,0.91241211,0.15000001,,
14,"Round sardinella",3.11623311,1.00000000,0.0006047720,0.0006047720,1.37689698,9.17930984,0.85167152,0.15000001,,
15,"Other small pelagic fish",3.01631093,1.00000000,0.043280739,0.043280739,1.31363404,12.0373402,0.95856339,0.10912990,,
16,Anglerfish,3.99775505,1.00000000,0.0056414790,0.0056414790,0.57920790,4.29734182,0.63505149,0.13478281,,
17,"European conger",3.97461200,1.00000000,0.0060804952,0.0060804952,0.57418382,4.63005114,0.62907368,0.12401240,,
18,"European hake",3.93999100,1.00000000,0.023073230,0.023073230,0.71222240,5.61742401,0.74485803,0.12678809,,
19,"Poor cod",3.35239196,1.00000000,0.0073591182,0.0073591182,1.16236496,9.68637371,0.89906329,0.12000000,,
20,"Common pandora",3.25050998,1.00000000,0.019402640,0.019402640,0.87807518,6.27196598,0.89588130,0.14000000,,
21,Sparidae,2.98438311,1.00000000,3.70436192,3.70436192,1.02962005,8.58016300,0.54481339,0.12000000,,
22,"White seabream",3.25024104,1.00000000,5.31975079,5.31975079,0.96142638,8.01188660,0.18729439,0.12000000,,
23,"Common two-banded seabream",3.13593793,1.00000000,4.70018005,4.70018005,0.95543242,7.96193695,0.24164110,0.12000000,,
24,"Common dentex",3.89252901,1.00000000,0.99000001,0.99000001,0.61578691,5.13155699,0.06075294,0.12000000,,
25,"Red scorpionfish",3.51229501,1.00000000,0.73758829,0.73758829,0.72147417,6.01228523,0.23309340,0.12000000,,
26,Scorpaenidae,3.52179003,1.00000000,0.20151620,0.20151620,0.86635089,6.99523401,0.64913088,0.12384870,,
27,Groupers,3.95591307,1.00000000,2.09902310,2.09902310,0.22545160,3.90918708,0.00581090,0.05767225,,
28,"Brown meagre",3.30028796,1.00000000,0.26196361,0.26196361,0.76228797,6.35239983,0.29148889,0.12000000,,
29,"Labridae and serranidae",3.10663509,1.00000000,4.58842802,4.58842802,1.30109203,10.8424301,0.64826483,0.12000000,,
30,Flatfishes,3.24426889,1.00000000,0.015024850,0.015024850,1.17416000,10.3664904,0.66071701,0.11326490,,
31,"Other commercial medium demersal fish",3.50271201,1.00000000,0.27301821,0.27301821,0.57793921,5.25399208,0.60475773,0.11000000,,
32,"No commercial medium demersal fish",3.80452299,1.00000000,0.12303930,0.12303930,0.48166481,4.69781685,0.49014941,0.10252950,,
33,Salema,2.09251308,1.00000000,7.65034723,7.65034723,1.33513796,8.90092278,0.09710616,0.15000001,,
34,Mugilidae,2.30437398,1.00000000,0.81351042,0.81351042,0.99863660,6.65757704,0.20915300,0.15000001,,
35,"Red mullet",3.15702391,1.00000000,0.016508341,0.016508341,1.04579997,7.46999979,0.80454111,0.14000000,,
36,Surmulet,3.24900889,1.00000000,0.062081181,0.062081181,0.98077482,6.57999992,0.96687561,0.14905390,,
37,"No commercial small demersal fish",2.99329400,1.00000000,1.19527495,1.19527495,1.35488999,9.89162254,0.86103690,0.13697350,,
38,"Small-spotted catshark",3.66772604,1.00000000,0.040498041,0.040498041,0.64999998,6.19999981,0.01730814,0.10483870,,
39,"Rays and skates",3.73927498,1.00000000,0.044022828,0.044022828,0.67516053,5.96525288,0.01893374,0.11318220,,
40,Torpedos,3.97918510,1.00000000,0.0094727129,0.0094727129,0.49963671,4.99636698,0.00512229,0.10000000,,
41,"Coastal benthic cephalopods",3.35503602,1.00000000,0.45054871,0.45054871,1.61161900,11.0100002,0.80000001,0.14637770,,
42,"Benthopelagic cephalopods",3.60299301,1.00000000,0.010492740,0.010492740,1.72435999,16.5300007,0.82597208,0.10431700,,
43,"Other benthic cephalopods",3.25418711,1.00000000,0.022857890,0.022857890,1.66121304,11.9700003,0.89070612,0.13878140,,
44,Bivalves,2.07272291,1.00000000,8.51083946,8.51083946,1.20000005,5.00000000,0.80000001,0.23999999,,
45,Gastropods,2.11912203,1.00000000,2.30439997,2.30439997,1.63999999,6.83333302,0.80000007,0.23999999,,
46,"European lobster",3.16256690,1.00000000,0.0008800000,0.0008800000,1.20906699,6.04533577,0.82045192,0.20000000,,
47,"Other commercial decapods",3.06658697,1.00000000,0.0041517611,0.0041517611,3.00430989,16.2000008,0.49574849,0.18545119,,
48,"Non-commmercial decapods",2.74973202,1.00000000,6.67340803,6.67340803,3.97737408,16.5036507,0.80000001,0.24099970,,
49,"Purple sea urchin",2.00000000,1.00000000,4.23972988,4.23972988,0.87972891,6.00000000,0.75229663,0.14662150,,
50,"Other sea urchin",2.00000000,1.00000000,0.33471549,0.33471549,0.81576192,6.00000000,0.59713233,0.13596030,,
51,"Sea cucumbers",2.00000000,1.00000000,0.74679679,0.74679679,0.88971633,8.00000000,0.80000001,0.11121450,,
52,"Other macro-benthos",2.02900195,1.00000000,46.67525864,46.67525864,3.50999999,12.7080002,0.80000007,0.27620399,,
53,Jellyfish,3.06541300,1.00000000,0.0047632800,0.0047632800,1.98796594,10.00000000,0.75615698,0.19879660,,
54,"Salps and other gelatinous zooplankton",2.03764200,1.00000000,0.0056416420,0.0056416420,2.02278805,10.00000000,0.29519421,0.20227879,,
55,"Red coral",2.46398997,1.00000000,0.025628000,0.025628000,0.22000000,3.00000000,0.00000000,0.07333333,,
56,"Other corals and gorgonians",2.16864491,1.00000000,0.16985001,0.16985001,0.22000000,3.00000000,0.37979931,0.07333333,,
57,Macrozooplankton,2.62859392,1.00000000,0.63322371,0.63322371,15.00000000,50.0000000,0.86976320,0.30000001,,
58,"Meso and microzooplankton",2.00376892,1.00000000,3.74177599,3.74177599,41.7000008,120.000000,0.55619669,0.34750000,,
59,Suprabenthos,2.15641093,1.00000000,11.19239998,11.19239998,8.19999981,50.0000000,0.80000001,0.16400000,,
60,"Mediterranean seagrass",1.00000000,1.00000000,53.7709389,53.7709389,2.34999990,,0.06061705,,,
61,"Other seagrasses",1.00000000,1.00000000,0.88000000,0.88000000,4.03599977,,0.35443670,,,
62,"Erected algae",1.00000000,1.00000000,9.57999992,9.57999992,0.69999999,,0.07944345,,,
63,Seaweeds,1.00000000,1.00000000,4.19000006,4.19000006,0.69999999,,0.26742789,,,
64,"Small phytoplankton",1.00000000,1.00000000,0.87545401,0.87545401,162.952301,,0.85262370,,,
65,"Large phytoplankton",1.00000000,1.00000000,7.87379599,7.87379599,129.365204,,0.21665280,,,
66,Detritus,1.00000000,1.00000000,926.794006,926.794006,,,0.67875761,,,
67,"Discards and by-catch",1.00000000,1.00000000,0.010654530,0.010654530,,,0.29276380,,,
