,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Fitoplanctofag.,2.42072105,1.00000000,0.58999997,0.58999997,2.61999989,6.55000019,0.16087750,0.40000001,,
2,Zooplanktofagos,3.08436298,1.00000000,0.090000004,0.090000004,3.75999999,8.54545498,0.00000000,0.44000000,,
3,Cons.mic.fitopl,2.81834888,1.00000000,0.22000000,0.22000000,2.56999993,8.56666565,0.43983811,0.30000001,,
4,Con.mic.zoo.fit,2.88283396,1.00000000,7.01000023,7.01000023,3.11999989,7.42857122,0.12507451,0.41999999,,
5,Con.micro.zoopl,2.99833107,1.00000000,0.20000000,0.20000000,3.58999991,10.87878990,0.85982442,0.33000001,,
6,Con.microcr.zoo,3.00808311,1.00000000,6.36999989,6.36999989,2.51999998,8.39999962,0.07746021,0.30000001,,
7,Cons.microrustr,3.09241700,1.00000000,6.73000002,6.73000002,3.08999991,7.02272701,0.33976841,0.44000000,,
8,Omnivoros,2.48581004,1.00000000,0.38000000,0.38000000,3.05999994,9.00000000,0.42773381,0.34000000,,
9,Piscivoros,3.55886102,1.00000000,4.03999996,4.03999996,2.76999998,6.15555620,0.45461991,0.44999999,,
10,"Otros peces",3.02399611,1.00000000,12.3100004,12.3100004,3.32999992,8.32499981,0.70954251,0.40000001,,
11,Zooplankton,2.01010108,1.00000000,10.69458008,10.69458008,13.7500000,69.9100037,0.61999989,0.19668140,,
12,Insectos,2.01010108,1.00000000,0.61000001,0.61000001,15.5400000,51.9300003,0.73736972,0.29924899,,
13,Microcrustaceos,2.03999996,1.00000000,8.64000034,8.64000034,15.7500000,50.5099983,0.92324328,0.31181949,,
14,Macrocrustaceos,2.60068393,1.00000000,4.05000019,4.05000019,4.01000023,14.8599997,0.83946818,0.26985201,,
15,Moluscus,2.22222209,1.00000000,26.5000000,26.5000000,1.84000003,9.57999992,0.84807998,0.19206680,,
16,Poliquetos,2.00000000,1.00000000,9.75000000,9.75000000,3.83999991,13.4799995,0.59751987,0.28486651,,
17,Fitoplancton,1.00000000,1.00000000,7.25000000,7.25000000,65.5500031,,0.94969738,,,
18,Macrofitas,1.00000000,1.00000000,153.419998,153.419998,7.44999981,,0.09623851,,,
19,Detritus,1.00000000,1.00000000,2400.00000,2400.00000,,,0.64878821,,,
