,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Baleen whales",3.78498006,1.00000000,0.065135382,0.065135382,,0.035000000,4.77461100,0.49335590,0.00733044,,
2,"Toothed whales",4.61019611,1.00000000,0.032677811,0.032677811,,0.13500001,11.9983997,0.81584668,0.01125150,,
3,"Sharks L",4.76917410,1.00000000,0.06251239,0.06251239,,0.18000001,1.79999995,0.80000001,0.10000000,,
4,sharks/rays,4.14454412,1.00000000,0.26633361,0.26633361,,0.34999999,3.50000000,0.80000007,0.10000000,,
5,Whiting,4.34117699,1.00000000,0.20900001,0.20900001,,0.37000000,5.70818281,0.95338923,0.06481923,,
6,Mackerel,3.66784811,1.00000000,0.40000001,0.40000001,,0.40000001,1.60000002,0.91077101,0.25000000,,
7,"Horse mackerel",3.57295704,1.00000000,1.34200001,1.34200001,,0.43000001,1.72000003,0.94924462,0.25000000,,
8,Anchovy,3.16734695,1.00000000,0.21200000,0.21200000,,1.25999999,9.13000011,0.93250787,0.13800660,,
9,Sardine,3.02040792,1.00000000,0.62000000,0.62000000,,0.91000003,6.80000019,0.95765418,0.13382350,,
10,Sprat,3.20092702,1.00000000,0.48155311,0.48155311,,1.02999997,4.11999989,0.94999993,0.25000000,,
11,Herring,3.48136497,1.00000000,0.89300001,0.89300001,,0.58999997,4.59000015,0.68355411,0.12854031,,
12,"Pelagic M",3.40823889,1.00000000,0.22668390,0.22668390,,0.73000002,4.92000008,0.94999993,0.14837401,,
13,"Pelagic L",4.22158813,1.00000000,0.11533550,0.11533550,,0.40000001,4.13000011,0.89999998,0.09685230,,
,Hake,,,,,,,,,,,
14,Hake,4.71724796,1.00000000,0.61500001,0.61500013,0.64499998,,2.59999895,0.94380587,0.24807701,,
15,"Hake juv",4.35183096,1.00000000,0.14105210,0.14105210,1.22800004,,6.17570114,0.93443590,0.19884381,,
,Cod,,,,,,,,,,,
16,Cod,4.33747196,1.00000000,0.074000001,0.074000001,0.51999998,,4.00000000,0.76364982,0.13000000,,
17,"Cod juv",3.81649089,1.00000000,0.0086139934,0.0086139934,0.67000002,,9.14076233,0.92578411,0.07329804,,
18,Sole,3.46713996,1.00000000,0.081000000,0.081000000,,0.60000002,3.70000005,0.82507002,0.16216220,,
19,Plaice,3.38900399,1.00000000,0.028000001,0.028000001,,0.64999998,3.42000008,0.88563019,0.19005850,,
20,"Demersal L",3.97648406,1.00000000,1.41455805,1.41455805,,0.24400000,1.22000003,0.94999999,0.20000000,,
21,Pouts,3.81668711,1.00000000,0.86456943,0.86456943,,1.31599998,6.57999992,0.94999993,0.20000000,,
22,"Blue whiting",3.70871806,1.00000000,1.38427401,1.38427401,,0.48400000,2.42000008,0.94999999,0.20000000,,
23,"Demersal M",3.52812696,1.00000000,3.25430298,3.25430298,,0.43000001,2.15000010,0.94999999,0.20000000,,
24,"Demersal S",3.28315496,1.00000000,2.09276295,2.09276295,,1.09000003,4.36000013,0.95000011,0.25000000,,
25,Monkfish,4.59733677,1.00000000,0.59569502,0.59569502,,0.30000001,2.40000010,0.80000007,0.12500000,,
26,"Bathy L",4.27164984,1.00000000,1.03820598,1.03820598,,0.14000000,0.69999999,0.89999998,0.20000000,,
27,Megrim,4.32502508,1.00000000,0.22902000,0.22902000,,0.36000001,1.79999995,0.88490111,0.20000000,,
28,"Bathy M",3.75385404,1.00000000,0.40157220,0.40157220,,0.70999998,5.00000000,0.89999992,0.14200000,,
29,"Bathy S",3.25160503,1.00000000,0.83556563,0.83556563,,1.87000000,10.9700003,0.89999998,0.17046490,,
30,Cephalopods,3.62363410,1.00000000,0.34599039,0.34599039,,3.11999989,10.39999962,0.89999992,0.30000001,,
31,Lobsters/crabs,3.37013888,1.00000000,1.44482195,1.44482195,,1.20000005,8.00000000,0.89999998,0.15000001,,
32,Shrimps/crabs,3.04176211,1.00000000,8.19053745,8.19053745,,1.60000002,10.66666985,0.94999999,0.15000001,,
33,Benthos,2.38900495,1.00000000,44.74832916,44.74832916,,2.09999990,14.00000000,0.89999998,0.15000001,,
34,"Zooplankton L",2.51020408,1.00000000,14.03262997,14.03262997,,4.30000019,16.8999996,0.89999998,0.25443789,,
35,"Zooplankton S",2.02040792,1.00000000,13.21957016,13.21957016,,29.0000000,120.000000,0.89999992,0.24166670,,
36,Phytoplankton,1.00000000,1.00000000,27.0000000,27.0000000,,100.0000000,,0.58753228,,,
37,"Benthic producers",1.00000000,1.00000000,38.04655075,38.04655075,,4.40000010,,0.20000000,,,
38,Detritus,1.00000000,1.00000000,130.000000,130.000000,,,,0.22703730,,,
