,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Sea Lion",3.89917207,1.00000000,0.052000001,0.052000001,1.04999995,15.0000000,0.09157509,0.07000000,,
2,"Chilean hake (j)",3.58931708,1.00000000,2.65300012,2.65300012,2.49699998,8.32299995,0.94987547,0.30001199,,
3,"Chilean hake (a)",3.62687206,1.00000000,8.56000042,8.56000042,0.50400001,5.15899992,0.60924900,0.09769335,,
4,"Pilchard (j)",2.02227902,1.00000000,2.15700006,2.15700006,1.41100001,15.0000000,0.77424967,0.09406666,,
5,"Pilchard (a)",2.02227902,1.00000000,7.35099983,7.35099983,1.64999998,12.0000000,0.56753927,0.13750000,,
6,"Anchovy (j)",2.02227902,1.00000000,2.32200003,2.32200003,1.27600002,15.0000000,0.74980241,0.08506667,,
7,"Anchovy (a)",2.02227902,1.00000000,13.1630001,13.1630001,1.11300004,12.0000000,0.87607080,0.09275001,,
8,"Carrot prawn (j)",2.00000000,1.00000000,1.34599996,1.34599996,5.90000010,18.0000000,0.98191279,0.32777780,,
9,"Carrot prawn (a)",2.00000000,1.00000000,1.40199995,1.40199995,1.06099999,12.5000000,0.99419242,0.08488000,,
10,"Yellow prawn",2.00000000,1.00000000,0.57800001,0.57800001,1.31400001,11.6000004,0.97630072,0.11327590,,
11,"Horse mackerel",3.71753192,1.00000000,19.6240005,19.6240005,0.44999999,14.1999998,0.33337861,0.03169014,,
12,"Black conger",3.86489010,1.00000000,0.30500001,0.30500001,0.21200000,3.00000000,0.91246521,0.07066666,,
13,"Rattail fish",3.00000000,1.00000000,0.10000000,0.10000000,0.19700000,4.00000000,0.91370553,0.04925000,,
14,"Big-eye flounder",3.18211198,1.00000000,0.090999998,0.090999998,0.25900000,3.00000000,0.67885792,0.08633333,,
15,"Cardinal fish",3.72407198,1.00000000,0.035000000,0.035000000,0.33300000,4.50000000,0.60060060,0.07400000,,
16,"Pacific sand perch",3.02227902,1.00000000,1.49899995,1.49899995,0.14600000,7.00000000,0.58486491,0.02085714,,
17,Skates,3.00000000,1.00000000,0.093000002,0.093000002,0.25799999,3.50000000,0.75018758,0.07371428,,
18,Copepopds,2.11395597,1.00000000,70.7819977,70.7819977,35.0000000,154.518997,0.95000458,0.22650941,,
19,Euphausiids,2.72407198,1.00000000,106.315002,106.315002,2.96000004,16.2000008,0.95300359,0.18271600,,
20,Phytoplankton,1.00000000,1.00000000,160.994995,160.994995,120.000000,,0.49999601,,,
21,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,0.00393243,,,
