,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Bottlenose dolphins",4.17743111,1.00000000,0.014371040,0.014371040,0.067167670,12.8142300,0.00000000,0.00524165,,
2,"Striped dolphins",4.15784597,1.00000000,0.010800000,0.010800000,0.034657810,14.1059198,0.00000000,0.00245697,,
3,"Endangered and pelagic seabirds",3.98299694,1.00000000,0.0009251880,0.0009251880,0.40870261,73.7493134,0.00000000,0.00554178,,
4,"Gulls and cormorants",4.02114201,1.00000000,0.0003356740,0.0003356740,0.31202680,70.7960968,0.00000000,0.00440740,,
5,Terns,3.98259592,1.00000000,0.0000085919,0.0000085919,0.29373601,85.3996964,0.00000000,0.00343954,,
6,"Loggerhead turtles",3.31062508,1.00000000,0.011022790,0.011022790,0.20126070,2.51742506,0.00000000,0.07994705,,
7,"Non-commercial large pelagic fishes",3.74916792,1.00000000,0.0077790301,0.0077790301,0.13757530,1.62770796,0.00000000,0.08452088,,
8,"Other large pelagic fishes",3.99135303,1.00000000,0.0038991871,0.0038991871,0.41314441,4.13144398,0.02483042,0.10000000,,
9,Mackerels,3.50411510,1.00000000,0.0023549420,0.0023549420,0.87687987,7.30733299,0.98093981,0.12000000,,
10,"Horse mackerels",3.47251391,1.00000000,0.012770790,0.012770790,0.85161179,7.09676504,0.75278991,0.12000000,,
11,"Other medium pelagic fishes",3.90234804,1.00000000,0.0014906890,0.0014906890,0.71179599,6.47087288,0.45829269,0.11000000,,
12,"European sardine",2.95302606,1.00000000,0.026611401,0.026611401,1.62997699,10.8665104,0.98748958,0.15000001,,
13,"European anchovy",3.01001692,1.00000000,0.021128630,0.021128630,1.62581003,10.8387299,0.97065240,0.15000001,,
14,"Other small pelagic fish",3.01630998,1.00000000,0.068764858,0.068764858,1.20855999,9.84582329,0.85306501,0.12274850,,
15,Anglerfish,3.94631505,1.00000000,0.049383841,0.049383841,0.47270760,4.29734182,0.33977899,0.11000000,,
16,"European conger",3.86949301,1.00000000,0.019721979,0.019721979,0.55560613,4.63005114,0.15782300,0.12000000,,
17,"European hake",3.90543890,1.00000000,0.025480799,0.025480799,0.67131603,5.59429979,0.43003961,0.12000000,,
18,"Poor cod",3.34865093,1.00000000,0.021615289,0.021615289,1.15758002,9.64650059,0.53321332,0.12000000,,
19,"Common pandora",3.27669311,1.00000000,0.11460110,0.11460110,0.75263590,6.27196598,0.87615508,0.12000000,,
20,Sparidae,2.95623302,1.00000000,18.2680492,18.2680492,1.07868195,8.98901939,0.83306229,0.12000000,,
21,"White seabream",3.19552493,1.00000000,2.05904603,2.05904603,0.86219120,7.18492699,0.99485081,0.12000000,,
22,"Common two-banded seabream",3.09511900,1.00000000,4.17452097,4.17452097,0.84239608,7.01996803,0.82412899,0.12000000,,
23,"Common dentex",3.76621389,1.00000000,2.23832607,2.23832607,0.57858562,5.25986910,0.25367770,0.11000000,,
24,"Red scorpionfish",3.46949601,1.00000000,2.17447996,2.17447996,0.71106023,5.92550182,0.68594682,0.12000000,,
25,Scorpaenidae,3.51774096,1.00000000,0.27366859,0.27366859,0.84681767,7.05681419,0.99082011,0.12000000,,
26,Groupers,3.78044796,1.00000000,12.5305004,12.5305004,0.17985150,3.53816509,0.00030174,0.05083186,,
27,"Brown meagre",3.22942495,1.00000000,3.47081995,3.47081995,0.77796823,6.48306799,0.16421071,0.12000000,,
28,"Labridae and Serranidae",3.09536910,1.00000000,7.86712790,7.86712790,1.44102705,10.2930498,0.91225982,0.14000000,,
29,Flatfishes,3.23458910,1.00000000,0.066153623,0.066153623,1.31327903,10.9439898,0.41619509,0.12000000,,
30,"Other commercial medium demersal fish",3.24891710,1.00000000,11.4756002,11.4756002,0.52539921,5.25399208,0.04706966,0.10000000,,
31,"No commercial medium demersal fish",3.50720596,1.00000000,5.37888193,5.37888193,0.46978170,4.69781685,0.05495967,0.10000000,,
32,Salema,2.09332800,1.00000000,35.4251213,35.4251213,1.39804494,9.32030201,0.17032389,0.15000001,,
33,Mugilidae,2.20385098,1.00000000,16.9816303,16.9816303,0.91011649,6.06744289,0.27751741,0.15000001,,
34,"Red mullet",3.15268612,1.00000000,0.29899639,0.29899639,1.04579997,7.46999979,0.80908841,0.14000000,,
35,Surmulet,3.24019790,1.00000000,0.74660093,0.74660093,0.92119998,6.57999992,0.79627079,0.14000000,,
36,"No commercial small demersal fish",2.98028207,1.00000000,3.35410500,3.35410500,1.42223299,11.8519402,0.94432551,0.12000000,,
37,"Small-spotted catshark",3.61974597,1.00000000,0.0082896668,0.0082896668,0.68199998,6.19999981,0.25713459,0.11000000,,
38,"Rays and skates",3.73239207,1.00000000,0.030561920,0.030561920,0.71288377,5.94069815,0.03133707,0.12000000,,
39,Torpedos,3.92851090,1.00000000,0.011081970,0.011081970,0.51476288,4.97580099,0.13536809,0.10345330,,
40,"Coastal benthic cephalopods",3.27702093,1.00000000,3.00000000,3.00000000,1.57159996,11.0100002,0.88876373,0.14274301,,
41,"Benthopelagic cephalopods",3.46852112,1.00000000,0.071438201,0.071438201,1.72253299,16.5300007,0.29188040,0.10420650,,
42,"Other benthic cephalopods",3.24603701,1.00000000,0.17290950,0.17290950,1.65775001,11.9700003,0.75682950,0.13849211,,
43,Bivalves,2.06959891,1.00000000,12.39398003,12.39398003,1.20196605,5.00000000,0.80000001,0.24039321,,
44,Gastropods,2.11162400,1.00000000,5.80584192,5.80584192,1.63941300,6.83088779,0.80000001,0.23999999,,
45,"European lobster",3.15533900,1.00000000,0.010760410,0.010760410,1.20906699,6.04533577,0.23496680,0.20000000,,
46,"Other commercial decapods",3.07985997,1.00000000,0.0022932880,0.0022932880,3.04285192,16.2000008,0.94982243,0.18783040,,
47,"Non-commmercial decapods",2.71578193,1.00000000,17.57022095,17.57022095,3.97737408,16.5036507,0.79999989,0.24099970,,
48,"Purple sea urchin",2.00000000,1.00000000,9.80159664,9.80159664,0.87966651,6.00000000,0.69664508,0.14661109,,
49,"Other sea urchin",2.00000000,1.00000000,0.79819298,0.79819298,0.81576192,6.00000000,0.54464930,0.13596030,,
50,"Sea cucumbers",2.00000000,1.00000000,2.42187595,2.42187595,0.88971633,8.00000000,0.80000001,0.11121450,,
51,"Other macro-benthos",2.01829791,1.00000000,131.32150269,131.32150269,3.50999999,12.7080002,0.80000007,0.27620399,,
52,Jellyfish,3.06541300,1.00000000,0.0047632800,0.0047632800,1.98796594,10.00000000,0.56617928,0.19879660,,
53,"Salps and other gelatinous zooplankton",2.03764200,1.00000000,0.0056416420,0.0056416420,2.02278805,10.00000000,0.28437969,0.20227879,,
54,"Red coral",2.46398997,1.00000000,0.047323041,0.047323041,0.22000000,3.00000000,0.00000000,0.07333333,,
55,"Other corals and gorgonians",2.16864491,1.00000000,0.64710641,0.64710641,0.22000000,3.00000000,0.31903189,0.07333333,,
56,Macrozooplankton,2.62859392,1.00000000,0.63322371,0.63322371,15.00000000,50.0000000,0.95072728,0.30000001,,
57,"Meso and microzooplankton",2.00376892,1.00000000,3.74177599,3.74177599,41.7000008,120.000000,0.88301122,0.34750000,,
