,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
,"Striped bass",,,,,,,,,,,
1,"Striped bass YOY",3.55731106,1.00000000,0.012490870,0.012490870,1.79999995,,23.2658100,0.40062749,0.07736675,,
2,"Striped bass resident",3.52159595,1.00000000,2.09999990,2.09999990,0.40000001,,4.44134617,0.55359042,0.09006278,,
3,"Striped bass migratory",3.35802102,1.00000000,2.94551802,2.94551897,0.30000001,,2.30000401,0.48321989,0.13043460,,
,"Bluefish YOY",,,,,,,,,,,
4,"Bluefish YOY",4.16520023,1.00000000,0.016095910,0.016095910,5.65000010,,18.1113091,0.01445488,0.31195980,-0.0004828772,-0.02999999
5,"Bluefish adult",4.04778099,1.00000000,0.23999999,0.24000010,0.58899999,,3.29999900,0.62959808,0.17848490,-0.0071999999,-0.02999999
,"Weakfish YOY",,,,,,,,,,,
6,"Weakfish YOY",4.25906801,1.00000000,0.025652820,0.025652820,4.00000000,,13.5248203,0.30437419,0.29575261,,
7,"Weakfish Adult",4.15465307,1.00000000,0.48900011,0.48899981,0.68500000,,3.09999704,0.90587860,0.22096790,,
8,"Atl. croaker",3.25269794,1.00000000,1.66999996,1.66999996,,0.91600001,5.40000010,0.80091608,0.16962960,,
9,"Black drum",3.03473997,1.00000000,1.26315796,1.26315796,,0.19000000,2.09999990,0.099999987,0.09047619,,
10,"Summer flounder",3.65567994,1.00000000,0.45374781,0.45374781,,0.51999998,2.90000010,0.94999999,0.17931031,,
,Menhaden,,,,,,,,,,,
11,"Menhaden 0-1",2.98799992,1.00000000,18.0886593,18.0886593,1.50000000,,15.8601704,0.68624347,0.09457654,,
12,"Menhaden adult",2.12679696,1.00000000,33.0000000,32.9999886,0.80000001,,7.80000305,0.94147438,0.10256410,,
13,"Alewife and herring",3.13333297,1.00000000,5.98575306,5.98575306,,0.75000000,9.39999962,0.94999999,0.07978724,-1.19714999,-0.19999990
14,"American eel",3.37773991,1.00000000,3.21984506,3.21984506,,0.25000000,2.50000000,0.50000000,0.10000000,,
15,Catfish,3.09474707,1.00000000,1.15451097,1.15451097,,0.28000000,2.50000000,0.94999999,0.11200000,,
,"White perch YOY",,,,,,,,,,,
16,"White perch YOY",3.55112410,1.00000000,0.0030473911,0.0030473911,2.00000000,,19.9214497,0.57573849,0.10039430,,
17,"White perch adult",3.55393910,1.00000000,0.30000010,0.30000010,0.50000000,,4.19999790,0.88633478,0.11904770,,
18,Spot,2.85714293,1.00000000,1.67361403,1.67361403,,1.00000000,5.80000019,0.89999992,0.17241380,,
19,"American shad",3.03769994,1.00000000,0.40000001,0.40000001,,0.69999999,3.50000000,0.72500002,0.20000000,,
20,"Bay anchovy",3.41231608,1.00000000,3.40000010,3.40000010,,3.00000000,10.8999996,0.49393469,0.27522939,,
21,"Other flatfish",2.98673511,1.00000000,0.16937301,0.16937301,,0.46000001,4.90000010,0.94999999,0.09387755,,
22,"Gizzard shad",2.43000007,1.00000000,2.08565688,2.08565688,,0.52999997,14.5000000,0.94999999,0.03655172,,
23,"Reef assoc. fish",3.39718390,1.00000000,0.23178799,0.23178799,,0.50999999,3.09999990,0.89999998,0.16451611,,
24,"Non reef assoc. fish",3.04629898,1.00000000,1.22801399,1.22801399,,1.00000000,5.00000000,0.89999992,0.20000000,,
25,"Littoral forage fish",2.84816003,1.00000000,5.21005201,5.21005201,,0.80000001,4.00000000,0.94999993,0.20000000,,
26,"Sandbar shark",4.05440807,1.00000000,0.024000000,0.024000000,,0.23000000,1.39999998,0.21739130,0.16428570,,
27,"Other elasmobranchs",3.32681203,1.00000000,0.50000000,0.50000000,,0.15000001,0.93750012,0.11200000,0.16000000,,
