,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,2.92269993,2.92269993,81.9124985,,0.52891612,,,
2,Phytobenthos,1.00000000,1.00000000,1.15099502,1.15099502,4.88999987,,0.69999999,,,
3,"Micro & mesozooplankton",2.00300908,1.00000000,2.11100006,2.11100006,24.6499996,74.6949997,0.99405730,0.33000869,,
4,Macrozooplankton,2.42216110,1.00000000,0.15646911,0.15646911,20.5200005,63.1300011,0.94999981,0.32504359,,
5,"Gelatinous plankton",2.92115092,1.00000000,0.14688741,0.14688741,15.8400002,56.4500008,0.50000000,0.28060231,,
6,Polychaetes,2.34151006,1.00000000,0.79500002,0.79500002,5.06599998,18.2572002,0.80842388,0.27747959,,
7,"Benthic small crustaceans",2.19637799,1.00000000,0.79799128,0.79799128,13.9499998,56.5600014,0.94999999,0.24664070,,
8,"Benthic invertebrates",2.16024709,1.00000000,3.49026704,3.49026704,3.31200004,10.7299995,0.79999989,0.30866730,,
9,Shrimps,2.93873000,1.00000000,0.13309000,0.13309000,3.48000002,10.8160000,0.94999981,0.32174560,,
10,"Crabs & lobsters",2.96286106,1.00000000,0.15456580,0.15456580,2.75999999,9.26000023,0.94999999,0.29805619,,
11,"Octopuses & cuttlefish",3.33304596,1.00000000,0.065055057,0.065055057,1.68771601,6.76597881,0.96700490,0.24944150,,
12,Squids,4.03281689,1.00000000,0.04075653,0.04075653,2.90790009,26.5599995,0.94999993,0.10948420,,
13,"Demersal fishes (soft bottom)",3.38191009,1.00000000,0.30788729,0.30788729,1.05618501,8.11858463,0.96566868,0.13009471,,
14,"Native mullids",3.11099696,1.00000000,0.071765639,0.071765639,1.62003303,7.16759491,0.91055942,0.22602180,,
15,"Alien mullids",3.08459401,1.00000000,0.067571133,0.067571133,1.92539203,8.82761192,0.90661508,0.21811020,,
16,Flatfishes,3.19194198,1.00000000,0.015201690,0.015201690,1.48710704,8.34195614,0.61682212,0.17826840,,
17,"Demersal fishes (mixed bottom)",3.09648204,1.00000000,0.57067817,0.57067817,2.01890707,9.74881363,0.42014629,0.20709260,,
18,"Alien lionfish",4.07062197,1.00000000,0.011947710,0.011947710,0.86132407,6.00000000,0.19958900,0.14355400,,
19,"Alien redcoat",3.28267193,1.00000000,0.055763509,0.055763509,1.06541896,7.59999990,0.97408468,0.14018670,,
20,"Other alien demersal fishes",3.47601891,1.00000000,0.039111629,0.039111629,1.13880002,6.67999983,0.97134072,0.17047900,,
21,"Eels & morays",3.63999891,1.00000000,0.079554938,0.079554938,0.95802611,5.69999981,0.23332401,0.16807480,,
22,"Large demersal fishes",4.01003790,1.00000000,0.16531320,0.16531320,0.87015009,5.96534014,0.66538662,0.14586760,,
23,"Rays & skates",3.29719591,1.00000000,0.53163463,0.53163463,0.99064797,5.54910183,0.03720637,0.17852400,,
24,"Small sharks",4.11323690,1.00000000,0.016202509,0.016202509,0.46348119,4.40000010,0.12683350,0.10533660,,
25,"Small benthopelagic fishes",3.01943302,1.00000000,2.34328103,2.34328103,1.96429503,10.1331797,0.96665061,0.19384781,,
26,"Medium benthopelagic fishes",3.04823494,1.00000000,0.14930560,0.14930560,1.11240602,9.90398693,0.92002928,0.11231900,,
27,"Alien siganids",2.00000000,1.00000000,0.15006641,0.15006641,1.69729495,7.48293114,0.84427238,0.22682220,,
28,"Alien cornetfish",4.01297092,1.00000000,0.088186383,0.088186383,0.81596202,6.90000010,0.74771118,0.11825540,,
29,"Alien barracudas",4.03681278,1.00000000,0.14461251,0.14461251,0.91508722,7.09999990,0.99288583,0.12888549,,
30,"Alien pufferfishes",3.30116796,1.00000000,0.33288881,0.33288881,0.96781182,5.40000010,0.35561961,0.17922440,,
31,"Small pelagic fishes",3.11828494,1.00000000,0.44198871,0.44198871,1.95548797,13.8199997,0.94999999,0.14149700,,
32,"Alien small pelagic fishes",3.08264804,1.00000000,0.48204029,0.48204029,1.70927703,9.50000000,0.94999999,0.17992391,,
33,"Medium pelagic fishes",4.04730797,1.00000000,0.22799970,0.22799970,0.72723693,7.20166492,0.43052429,0.10098180,,
34,"Large pelagic fishes",4.28655005,1.00000000,0.11942820,0.11942820,0.69482619,5.57320404,0.72386050,0.12467270,,
35,Turtles,2.49614096,1.00000000,0.35965979,0.35965979,0.17000000,2.77999997,0.04906598,0.06115108,,
36,"Bottlenose dolphin",4.29051924,1.00000000,0.024868000,0.024868000,0.083999999,11.0100002,0.00000000,0.00762943,,
37,"Monk seal",4.28831387,1.00000000,0.0020000001,0.0020000001,0.12600000,11.6599998,0.00000000,0.01080617,,
38,"Sea birds",2.83380604,1.00000000,0.0016226911,0.0016226911,5.86000013,68.6540833,0.00000000,0.08535545,,
39,Detritus,1.00000000,1.00000000,16.5900002,16.5900002,,,0.41867641,,,
40,Discards,1.00000000,1.00000000,0.038066652,0.038066652,,,0.00000000,,,
