,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Baleen whales",3.66468692,1.00000000,0.39399999,0.39399999,0.020000000,11.3830004,0.02994213,0.00175701,,
2,"Toothed whales",4.33007717,1.00000000,0.0089999996,0.0089999996,0.020000000,13.1079998,0.65539998,0.00152579,,
3,"Sperm whales",4.70640898,1.00000000,0.20800000,0.20800000,0.020000000,4.55299997,0.00000000,0.00439271,,
4,"Beaked whales",4.58160686,1.00000000,0.0010000000,0.0010000000,0.020000000,10.5150003,0.00000000,0.00190204,,
5,"Walrus & bearded",3.52547002,1.00000000,0.074000001,0.074000001,0.059999999,11.2489996,0.92747128,0.00533381,,
6,Seals,3.95261407,1.00000000,0.066000000,0.066000000,0.059999999,15.9259996,0.31210709,0.00376742,,
7,"Steller sea lions",4.24053907,1.00000000,0.018999999,0.018999999,0.059999999,12.7019997,0.87719297,0.00472367,,
8,"Pisc. Birds",4.02827215,1.00000000,0.0060000001,0.0060000001,0.80000001,60.0000000,0.00000000,0.01333333,,
9,"Adult pollock",3.28908491,1.00000000,27.4510002,27.4510002,0.50000000,2.64000010,0.40127140,0.18939389,,
10,"Juvenile Pollock",3.07149506,1.00000000,6.00000000,6.00000000,2.50000000,8.33300018,0.90018177,0.30001199,,
11,"Other demersal fish",3.84913111,1.00000000,3.90400004,3.90400004,0.43300000,2.22600007,0.70335978,0.19451930,,
12,"Large flatfish",4.02210188,1.00000000,1.89999998,1.89999998,0.40000001,2.44400001,0.31562981,0.16366610,,
13,"Small flatfish",3.16085291,1.00000000,9.16100025,9.16100025,0.40000001,2.96799994,0.50653142,0.13477090,,
14,Pelagics,3.19606805,1.00000000,13.6440001,13.6440001,0.79799998,3.65000010,0.96851248,0.21863011,,
15,"Deepwater fish",4.05168676,1.00000000,0.40700001,0.40700001,0.40000001,2.49000001,0.86252528,0.16064259,,
16,Jellyfish,3.14977503,1.00000000,0.048000000,0.048000000,0.87500000,2.00000000,0.01828572,0.43750000,,
17,Cephalopods,3.71150494,1.00000000,3.50000000,3.50000000,3.20000005,10.6669998,0.82637697,0.29999059,,
18,"Benth. Par. feeders",2.77927589,1.00000000,5.80000019,5.80000019,1.48000002,7.69000006,0.85194212,0.19245771,,
19,Infauna,2.00000000,1.00000000,46.5000000,46.5000000,1.37300003,12.0000000,0.69494230,0.11441670,,
20,Epifauna,2.37968707,1.00000000,5.85799980,5.85799980,1.57799995,5.77699995,0.58584207,0.27315211,,
21,"Large Zoops",2.21665001,1.00000000,44.0000000,44.0000000,5.09100008,22.0000000,0.64017820,0.23140910,,
22,"Herb. Zoops",2.00000000,1.00000000,55.0000000,55.0000000,6.00000000,22.0000000,0.82180369,0.27272731,,
23,Phytoplankton,1.00000000,1.00000000,32.0000000,32.0000000,60.0000000,,0.97102487,,,
24,Discards,1.00000000,1.00000000,,,,,0.00000000,,,
25,Detritus,1.00000000,1.00000000,,,,,0.82192057,,,
