,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Sphyranidae,4.81446123,1.00000000,0.039999999,0.039999999,0.53414100,5.48286581,0.00319219,0.09742004,,
2,"E. marginatus",4.56811810,1.00000000,0.0030000000,0.0030000000,0.21485190,2.42985797,0.10024240,0.08842159,,
3,"Dentex dentex",4.41616201,1.00000000,0.12000000,0.12000000,0.42904770,4.39427090,0.14082330,0.09763797,,
4,"Bottlenose dolphin",4.23927307,1.00000000,0.0030000000,0.0030000000,0.087925650,13.5200005,0.00000000,0.00650338,,
5,"Scorpaena scrofa",4.23663521,1.00000000,0.020000000,0.020000000,0.60005867,4.71215391,0.53326708,0.12734281,,
6,"European Shag",4.18318510,1.00000000,0.0000189648,0.0000189648,0.68000001,55.8600006,0.00000000,0.01217329,,
7,"Piscivorous fish",4.10123682,1.00000000,0.63000000,0.63000000,0.44177109,4.61869287,0.39569229,0.09564851,,
8,Seriola,3.93671298,1.00000000,0.22000000,0.22000000,0.36065069,3.47692800,0.56158298,0.10372680,,
9,"Suprabenthic cephalopods",3.92500496,1.00000000,0.059999999,0.059999999,2.47671890,8.49555492,0.67628777,0.29153109,,
10,"Benthic sharks",3.82932901,1.00000000,1.50000000,1.50000000,0.43566930,4.45338392,0.12169460,0.09782882,,
11,"Benthic cephalopods",3.70229411,1.00000000,0.19000000,0.19000000,1.60137403,9.83159637,0.80862862,0.16288041,,
12,Serranidae,3.60293102,1.00000000,0.12000000,0.12000000,0.62796628,5.83619213,0.57060850,0.10759860,,
13,Rays,3.51769304,1.00000000,0.56180131,0.56180131,0.56000000,3.85776496,0.34179190,0.14516179,,
14,BIF,3.49114895,1.00000000,0.37000000,0.37000000,0.93400669,7.44344091,0.70304549,0.12548050,,
15,Labridae,3.36749792,1.00000000,0.20897810,0.20897810,2.63736391,6.83445692,0.89999998,0.38589221,,
16,"Mullus surmuletus",3.30273199,1.00000000,0.19000000,0.19000000,0.81625962,5.26721191,0.18077870,0.15497001,,
17,Sparidae,3.26443505,1.00000000,0.69000000,0.69000000,0.57971102,4.33699894,0.52924299,0.13366640,,
18,SIF,3.22605610,1.00000000,0.56999999,0.56999999,0.70276248,6.21678686,0.89408648,0.11304270,,
19,"Sciaena umbra",3.15594101,1.00000000,0.01642616,0.01642616,0.40587771,3.73309302,0.40000001,0.10872420,,
20,"Planktivorous fish",3.15556407,1.00000000,16.8299999,16.8299999,0.75114208,7.36483622,0.60704899,0.10199030,,
21,"Chromis chromis",3.14304709,1.00000000,0.02315187,0.02315187,0.98742551,8.09529972,0.94999999,0.12197520,,
22,"Spiny lobster",3.14164901,1.00000000,0.020000000,0.020000000,0.36000001,6.17000008,0.62423509,0.05834684,,
23,"European lobster",3.04800010,1.00000000,0.00078673,0.00078673,1.22000003,6.17000008,0.38000000,0.19773100,,
24,Gelatinous,2.62295198,1.00000000,0.14770000,0.14770000,15.0400000,54.7500000,0.30000001,0.27470320,,
25,Shrimps,2.52836895,1.00000000,3.50602388,3.50602388,3.33999991,10.3699999,0.98999989,0.32208291,,
26,Cnidaria,2.35377192,1.00000000,0.31000000,0.31000000,1.08000004,9.10999966,0.66659439,0.11855110,,
27,Gasteropods,2.23450589,1.00000000,0.075999998,0.075999998,1.94000006,10.9200001,0.91697699,0.17765570,,
28,Bivalvia,2.20661402,1.00000000,0.25000000,0.25000000,2.09999990,8.97000027,0.79169202,0.23411369,,
29,Zooplankton,2.12442899,1.00000000,7.00832415,7.00832415,48.6899986,165.529999,0.94999993,0.29414609,,
30,Echinoderms,2.11697292,1.00000000,6.13000011,6.13000011,0.49000001,2.70000005,0.55721688,0.18148150,,
31,"Benthic crustaceans",2.08269811,1.00000000,0.63999999,0.63999999,11.4399996,33.8100014,0.72035688,0.33836141,,
32,Worms,2.04425502,1.00000000,0.52999997,0.52999997,7.59000015,40.5699997,0.82705069,0.18708409,,
33,"Sarpa salpa",2.00000000,1.00000000,0.86941677,0.86941677,0.71732759,3.66573811,0.30000001,0.19568440,,
34,"Purple sea urchin",2.00000000,1.00000000,0.10000000,0.10000000,0.19000000,1.25645304,0.68204987,0.15121929,,
35,Macroalgae,1.00000000,1.00000000,0.43000001,0.43000001,13.3299999,,0.21811441,,,
36,Phytobenthos,1.00000000,1.00000000,2.22175598,2.22175598,6.51999998,,0.89999998,,,
37,"Sea grass",1.00000000,1.00000000,449.149994,449.149994,0.74000001,,0.29701129,,,
38,Phytoplankton,1.00000000,1.00000000,4.82999992,4.82999992,109.690002,,0.62778121,,,
39,Detritus,1.00000000,1.00000000,74.9000015,74.9000015,,,0.32987499,,,
