,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Large reef demersal",3.79308701,1.00000000,3.40000010,3.40000010,0.37000000,3.90000010,0.76494437,0.09487180,,
2,"Near reef pelagics",3.67261791,1.00000000,3.00000000,3.00000000,0.38999999,4.50000000,0.67427361,0.08666667,,
3,"Large pelagic",3.99967694,1.00000000,3.90000010,3.90000010,0.38000000,4.90000010,0.72489882,0.07755101,,
4,"carnivorous fish",3.22396302,1.00000000,9.00000000,9.00000000,1.10000002,6.00000000,0.68725449,0.18333329,,
5,"large herbivorous reef fish",2.26511502,1.00000000,3.45000005,3.45000005,2.09999990,20.0000000,0.82064593,0.10500000,,
6,"small omnivorous fish",2.79179311,1.00000000,10.3800001,10.3800001,2.20000005,18.0000000,0.82983142,0.12222220,,
7,"small herbivorous fish",2.30399799,1.00000000,7.30000019,7.30000019,2.40000010,32.0000000,0.83964783,0.07500000,,
8,"planktivorous fish",3.30188394,1.00000000,7.94999981,7.94999981,2.79999995,15.0000000,0.91135591,0.18666670,,
9,cephalopods,3.38151503,1.00000000,7.61000013,7.61000013,3.50000000,12.0000000,0.78988552,0.29166669,,
10,echinoderms,2.38767910,1.00000000,22.3500004,22.3500004,1.60000002,8.00000000,0.81995523,0.20000000,,
11,crustaceans,2.56603789,1.00000000,47.4799995,47.4799995,3.00000000,10.00000000,0.83993149,0.30000001,,
12,mollusk/worm,2.16656804,1.00000000,18.7999992,18.7999992,9.00000000,30.0000000,0.65011579,0.30000001,,
13,meiobenthos,2.13902402,1.00000000,42.0400009,42.0400009,26.0000000,100.0000000,0.44216591,0.25999999,,
14,decomposers/microfauna,2.11702108,1.00000000,50.0000000,50.0000000,67.0000000,219.000000,0.48304230,0.30593610,,
15,"sessile animals",2.05760407,1.00000000,500.000000,500.000000,3.20000005,12.0000000,0.11239160,0.26666671,,
16,zooplankton,2.22340393,1.00000000,24.0000000,24.0000000,52.0000000,178.000000,0.77449679,0.29213479,,
17,phytoplankton,1.00000000,1.00000000,20.5000000,20.5000000,450.000000,,0.26763079,,,
18,"benthic algae",1.00000000,1.00000000,740.000000,740.000000,12.1000004,,0.08796582,,,
19,Detritus,1.00000000,1.00000000,800.000000,800.000000,,,0.83825862,,,
