,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Baleen Whales",2.90000010,0.20000000,0.012500000,0.0024999999,0.80000001,10.00000000,0.00000000,0.08000000,,
2,"Benthic Crustaceans",2.59961009,1.00000000,1.37155104,1.37155104,2.50000000,11.0000000,0.89999998,0.22727270,,
3,"Blue Whiting",3.03767204,1.00000000,0.011460000,0.011460000,0.49000001,2.70000005,0.92938149,0.18148150,,
4,Dogfish,3.73232198,1.00000000,0.050999999,0.050999999,0.31999999,3.70000005,0.02674199,0.08648648,,
5,Flounder,2.81322598,1.00000000,0.0004800000,0.0004800000,0.64999998,3.09999990,0.09043726,0.20967740,,
6,Grenadier,3.45100403,1.00000000,0.02252770,0.02252770,0.16000000,2.79999995,0.80000007,0.05714286,,
7,"Hake Austral",4.31156397,1.00000000,0.0030000000,0.0030000000,0.34000000,1.79999995,0.27366671,0.18888891,,
8,"Hake Common",3.69427609,1.00000000,1.17974603,1.17974603,0.24500000,2.29999995,0.97669291,0.10652170,,
9,Hoki,3.41494799,1.00000000,0.31330660,0.31330660,0.30100000,2.29999995,0.98015863,0.13086960,,
10,"I. argentinus",3.20723605,0.50000000,1.32119501,0.66059738,6.50000000,16.0000000,0.30574411,0.40625000,,
11,Jellyfish,2.90692711,1.00000000,0.01026428,0.01026428,6.00000000,15.0000000,0.94999993,0.40000001,,
12,Kelp,1.00000000,1.00000000,100.0000000,100.0000000,7.00000000,,0.00640383,,,
13,Kingclip,3.78778100,1.00000000,0.046577688,0.046577688,0.12000000,1.60000002,0.98696423,0.07500000,,
14,"Large Demersal Fish",3.36647511,1.00000000,0.13941860,0.13941860,0.34999999,2.70000005,0.80000001,0.12962960,,
15,"Large Zoobenthos",2.33333302,1.00000000,0.66031128,0.66031128,1.10000002,10.00000000,0.64999998,0.11000000,,
16,"D. gahi ASC",3.18476200,0.66000003,0.27000001,0.17820001,3.50000000,11.0000000,0.90594858,0.31818181,,
17,"D. gahi SSC",3.15697289,0.66000003,0.51499999,0.33989999,3.50000000,11.0000000,0.91332018,0.31818181,,
18,Myctophidae,2.16666698,1.00000000,2.21145105,2.21145105,0.60000002,5.00000000,0.97999990,0.12000000,,
19,Octopods,3.02673292,1.00000000,0.03558337,0.03558337,2.00000000,5.00000000,0.94999999,0.40000001,,
20,"Pelagic Fish",2.50000000,1.00000000,0.65499997,0.65499997,0.37300000,5.59999990,0.95052522,0.06660714,,
21,Penguins,3.89562511,0.75000000,0.0091169029,0.0068376772,1.50000000,65.0000000,0.52946222,0.02307692,,
22,Phytoplankton,1.00000000,1.00000000,3.25556898,3.25556898,80.0000000,,0.40000001,,,
23,"Red Cod",3.59293795,1.00000000,0.11330500,0.11330500,0.25999999,2.90000010,0.97907537,0.08965517,,
24,"Rock Cod",2.92953205,1.00000000,0.11123000,0.11123000,0.37000000,3.20000005,0.96831602,0.11562500,,
25,Seabirds,3.53832603,1.00000000,0.020000000,0.020000000,1.22285700,70.0000000,0.03561318,0.01746939,,
26,"Seals and Sea Lion",3.87487793,1.00000000,0.021056499,0.021056499,0.40000001,17.4379997,0.00218076,0.02293841,,
27,Sharks,4.15765476,1.00000000,0.0003000000,0.0003000000,0.079999998,0.85000002,0.04166666,0.09411764,,
28,Skates,3.33845496,1.00000000,0.066474259,0.066474259,0.21799999,2.09999990,0.76912940,0.10380950,,
29,"Small Demersal Fish",3.11064601,1.00000000,0.39203861,0.39203861,0.37000000,6.50000000,0.94999993,0.05692308,,
30,"Small Zoobenthos",2.02072501,1.00000000,2.14214396,2.14214396,3.00000000,11.0000000,0.85000002,0.27272731,,
31,Squid,3.35639405,1.00000000,0.06520191,0.06520191,3.50000000,10.00000000,0.90000010,0.34999999,,
32,"Toothed Whales and Dolphins",4.09224892,1.00000000,0.0020000001,0.0020000001,0.41999999,10.4600000,0.01332118,0.04015296,,
33,"Toothfish juv",3.79326391,1.00000000,0.00457022,0.00457022,0.58499998,1.00000000,0.85000002,0.58499998,,
34,Zooplankton,2.00000000,1.00000000,1.18265498,1.18265498,25.0000000,93.5000000,0.69999993,0.26737970,,
35,Discards,1.00000000,1.00000000,0.0058595249,0.0058595249,,,,,,
36,Detritus,1.00000000,1.00000000,,,,,0.04784028,,,
