,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Seabirds,3.99368310,1.00000000,0.0016000000,0.0016000000,0.20000000,19.2000008,0.00000000,0.01041667,,
2,"Lemon shark",4.01969099,1.00000000,0.016500000,0.016500000,0.10650000,1.90660000,0.00000000,0.05585860,,
3,"Atlantic tarpon",3.83046198,1.00000000,0.013400000,0.013400000,0.28230000,2.82949996,0.03180432,0.09977028,,
4,"Common snook",3.61043096,1.00000000,0.014800000,0.014800000,0.61960000,4.37709999,0.44212720,0.14155491,,
5,"Great barracuda",3.86312389,1.00000000,0.098700002,0.098700002,0.41659999,4.32079983,0.00170240,0.09641733,,
6,"Gray snapper",3.70996404,1.00000000,0.024599999,0.024599999,0.65460002,6.46000004,0.69288713,0.10133130,,
7,"Spotted seatrout",3.79871392,1.00000000,0.022600001,0.022600001,0.63749999,5.05719995,0.84481150,0.12605789,,
8,"Bonnethead shark",3.69670391,1.00000000,0.052400000,0.052400000,0.63230002,5.85389996,0.00000000,0.10801350,,
9,"Gulf toadfish",3.15224004,1.00000000,0.028600000,0.028600000,0.63630003,7.53639984,0.98308003,0.08443024,,
10,"Red drum",3.62491202,1.00000000,0.024800001,0.024800001,0.88139999,4.86660004,0.45606861,0.18111210,,
11,"Crevalle jack",3.68581796,1.00000000,0.054800000,0.054800000,0.80190003,5.78980017,0.13300940,0.13850220,,
12,Clupeids,3.14095306,1.00000000,0.092299998,0.092299998,1.33350003,14.2588997,0.51941693,0.09352054,,
13,Sheepshead,3.00000000,1.00000000,0.031099999,0.031099999,1.00950003,5.61479998,0.96676987,0.17979270,,
14,Grunts,3.09039402,1.00000000,0.012500000,0.012500000,0.69090003,6.38999987,0.63657260,0.10812210,,
15,"Goldspotted killifish",3.02056789,1.00000000,0.17230000,0.17230000,2.12050009,21.7196007,0.44320691,0.09763071,,
16,"Portunid crab",3.03159690,1.00000000,0.16220000,0.16220000,2.40000010,8.50000000,0.90644813,0.28235301,,
