,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Sharks,4.18064117,1.00000000,55.8600006,55.8600006,0.24100000,4.71199989,0.01827628,0.05114601,,
2,Seabirds,3.92045498,1.00000000,0.10000000,0.10000000,5.45300007,60.6189995,0.82057750,0.08995530,,
3,"Hammerhead sharks",3.78172302,1.00000000,86.9800034,86.9800034,0.24100000,4.71199989,0.44307920,0.05114601,,
4,"Predatory marine mammals",3.63981199,1.00000000,0.19499999,0.19499999,0.041000001,16.1270008,0.85597497,0.00254232,,
5,Dolphins,3.60299993,1.00000000,0.20000000,0.20000000,0.041000001,16.1299992,0.32099059,0.00254185,,
6,"Pelagic predatory fish",3.41940498,1.00000000,75.0500031,75.0500031,0.41800001,2.22799993,0.94567138,0.18761221,,
7,Groupers,3.33589697,1.00000000,1.23000002,1.23000002,0.46200001,2.77300000,0.85335481,0.16660661,,
8,"Planktivorous reef fishes",3.01250005,1.00000000,36.4399986,36.4399986,1.99399996,12.5330000,0.94830602,0.15910000,,
9,Rays,2.90617299,1.00000000,84.9899979,84.9899979,0.25500000,1.77999997,0.91087651,0.14325839,,
10,"Benthic predatory fishes",2.89531898,1.00000000,43.5299988,43.5299988,0.75500000,3.34999990,0.82933450,0.22537310,,
11,"Small planktivorous reef fishes",2.78749990,1.00000000,0.69000000,0.69000000,4.51300001,16.3279991,0.86539167,0.27639639,,
12,"Small benthic predatory fishes",2.73636699,1.00000000,36.6699982,36.6699982,1.19599998,5.10200024,0.91557461,0.23441790,,
13,Lobsters,2.63361001,1.00000000,4.32999992,4.32999992,0.69900000,7.22200012,0.91491407,0.09678759,,
14,"Predatory macroinvertebates",2.56484795,1.00000000,21.6000004,21.6000004,1.00100005,4.08099985,0.92996973,0.24528299,,
15,Parrotfishes,2.49950004,1.00000000,16.6299992,16.6299992,0.49500000,11.5159998,0.08375300,0.04298368,,
16,"Small predators gastropods",2.48711300,1.00000000,1.33034503,1.33034503,0.92000002,4.06300020,0.94999993,0.22643369,,
17,"Anemones and zoanthids",2.40000010,1.00000000,0.059999999,0.059999999,2.09200001,10.0629997,0.76939851,0.20789030,,
18,"Shrimps and small crabs",2.33898091,1.00000000,11.64496040,11.64496040,3.59999990,20.4500008,0.94999999,0.17603910,,
19,"Benthic omnivorous fishes",2.29177999,1.00000000,12.5900002,12.5900002,2.60700011,9.82499981,0.76276481,0.26534349,,
20,"Predatory zooplankton",2.25000000,1.00000000,21.16272926,21.16272926,16.4200001,45.7999992,0.94999999,0.35851529,,
21,"Small herbivorous gastropods",2.00000000,1.00000000,17.8029995,17.8029995,2.53600001,13.9099998,0.92805457,0.18231490,,
22,"Sea turtles",2.18750000,1.00000000,0.87000000,0.87000000,0.13900000,10.1309996,0.43531349,0.01372026,,
23,"Sea stars and sea urchins",2.17149997,1.00000000,66.0199966,66.0199966,2.24499989,7.85400009,0.94632018,0.28584161,,
24,"Stony corals",2.10999990,1.00000000,138.78210449,138.78210449,1.48800004,15.0930004,0.94999999,0.09858875,,
25,Mullets,2.00000000,1.00000000,5.11000013,5.11000013,2.81100011,10.6440001,0.61996561,0.26409239,,
26,"Herbivorous benthic fishes",2.00000000,1.00000000,63.6399994,63.6399994,0.99400002,10.8299999,0.65308422,0.09178209,,
27,"Sponges and polychaetes",2.00000000,1.00000000,7.30000019,7.30000019,2.07999992,16.6240005,0.37850580,0.12512030,,
28,"Herbivorous zooplankton",2.00000000,1.00000000,26.78494072,26.78494072,23.6840000,61.2000008,0.94999999,0.38699350,,
29,"Sea cucumbers",2.00000000,1.00000000,14.9700003,14.9700003,0.12200000,3.34200001,0.91215152,0.03650509,,
30,Macroalgae,1.00000000,1.00000000,76.4800034,76.4800034,15.6870003,,0.92730922,,,
31,Phytoplankton,1.00000000,1.00000000,1.87000000,1.87000000,146.274002,,0.91895729,,,
32,Zooxanthella,1.00000000,1.00000000,6.91243076,6.91243076,280.000000,,0.94999999,,,
33,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,0.84196079,,,
