,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Apex predators",4.14413977,1.00000000,0.076490000,0.076490000,0.73000002,6.66699982,0.55338949,0.10949450,,
2,"Med. predators",3.51320004,1.00000000,0.50999999,0.50999999,1.00000000,11.3000002,0.94900352,0.08849557,,
3,Planktivores,3.08299994,1.00000000,0.17800000,0.17800000,1.80449998,17.1000004,0.94949710,0.10552630,,
4,Temp.planktiv.,3.00000000,1.00000000,1.40199995,1.40199995,1.72200000,16.3600006,0.95060819,0.10525670,,
5,Whitefish,3.00000000,1.00000000,0.66299999,0.66299999,0.47000000,10.7700005,0.94097579,0.04363974,,
6,"Small fish",3.00000000,1.00000000,2.79999995,2.79999995,1.20000005,9.10000038,0.94790989,0.13186809,,
7,Zoobenthos,2.00000000,1.00000000,96.9000015,96.9000015,1.36600006,9.10666656,0.22913800,0.15000001,,
8,Zooplankton,2.00000000,1.00000000,10.1999998,10.1999998,10.00000000,36.5000000,0.30219501,0.27397260,,
9,Phytoplankton,1.00000000,1.00000000,89.1999969,89.1999969,8.72147846,,0.94999999,,,
10,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,0.70897382,,,
