,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (kgC/km²)","Biomass (kgC/km²)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (kgC/km²)","BA rate (/year)"
1,"Primary Producers",1.00000000,1.00000000,226.641006,226.641006,200.899994,,0.82996899,,,
2,Copepods,2.00000000,1.00000000,460.924011,460.924011,35.9000015,101.800003,0.93155998,0.35265231,,
3,Suprabenthos,2.03119993,1.00000000,94.93644714,94.93644714,2.50000000,20.0000000,0.80000001,0.12500000,,
4,Mysids,2.55999994,1.00000000,289.299011,289.299011,9.89999962,92.8000031,0.06427596,0.10668100,,
5,Meiobenthos,2.12359595,0.74000001,238.729004,176.659500,10.00000000,21.7999992,0.51557648,0.45871559,,
6,Macrobenthos,2.04333901,0.74000001,987.145874,730.487976,4.30000019,32.5999985,0.19876879,0.13190180,,
7,Shrimps,2.67586708,1.00000000,41.4659996,41.4659996,6.50000000,15.6999998,0.79801428,0.41401270,,
8,Sturgeon,3.20745802,1.00000000,1.03999996,1.03999996,0.10000000,3.29999995,0.00000000,0.03030303,,
9,Eel,3.55569100,1.00000000,2.16700006,2.16700006,1.00000000,6.30000019,0.80961919,0.15873010,,
10,"Small pelagics",3.07834291,1.00000000,6.84399986,6.84399986,3.79999995,17.7000008,0.59462303,0.21468930,,
11,Mullets,2.29760790,1.00000000,23.8090000,23.8090000,3.50000000,7.50000000,0.12943280,0.46666670,,
12,"Large marine fish",3.68393111,1.00000000,20.9349995,20.9349995,2.00000000,4.09999990,0.21232390,0.48780489,,
13,"Large pelagics",3.21150208,1.00000000,0.0020000001,0.0020000001,0.89999998,7.30000019,0.00000000,0.12328770,,
14,Pipefish,3.03460693,1.00000000,1.86699998,1.86699998,1.29999995,8.30000019,0.74986613,0.15662649,,
15,Flatfish,3.28771806,1.00000000,5.65899992,5.65899992,1.70000005,5.30000019,0.75712973,0.32075471,,
16,Gobies,3.24634409,1.00000000,33.0719986,33.0719986,1.60000002,12.8000002,0.31995919,0.12500000,,
17,"Freshwater fish",3.21418405,1.00000000,0.20000000,0.20000000,0.75000000,4.80000019,0.97413993,0.15625000,,
18,Detritus/Discards,1.00000000,1.00000000,188667.000,188667.000,,,0.15294470,,,
