,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Walrusses,3.31620002,1.00000000,0.0000010000,0.0000010000,0.059999999,16.8462009,0.00000000,0.00356163,,
2,Cetaceans,4.14277601,1.00000000,0.25099999,0.25099999,0.10000000,11.7939997,0.00230727,0.00847889,,
3,"Grey seals",4.54437685,1.00000000,0.0000010000,0.0000010000,0.12000000,11.8000002,0.14051150,0.01016949,,
4,"Harp Seals",4.26818705,1.00000000,0.40542799,0.40542799,0.10200000,13.9829998,0.43219969,0.00729457,,
5,"Hooded Seals",4.75389099,1.00000000,0.034000002,0.034000002,0.10900000,10.8434000,0.51689851,0.01005220,,
6,Ducks,3.00000000,1.00000000,0.0002270000,0.0002270000,0.25000000,54.7500000,0.24669600,0.00456621,,
7,"Piscivorous Birds",4.29008913,1.00000000,0.013453000,0.013453000,0.25000000,54.7500000,0.24083850,0.00456621,,
8,"Planktivorous Birds",3.53390598,1.00000000,0.0029209999,0.0029209999,0.25000000,54.7500000,0.24101339,0.00456621,,
9,"Cod + 40cm",4.19365788,1.00000000,0.079999998,0.079999998,0.67299998,2.69199991,0.86998779,0.25000000,,
10,"Cod  <40 cm",3.87443590,1.00000000,0.19300000,0.19300000,1.82700002,6.09000015,0.99151790,0.30000001,,
11,"Aplaice +35cm",3.64458108,1.00000000,0.33959001,0.33959001,0.69999999,2.59259200,0.27154669,0.27000001,,
12,Aplaice<=35cm,3.72699690,1.00000000,0.30690199,0.30690199,1.12080002,3.73600006,0.94999999,0.30000001,,
13,"G. Halibut +65cm",4.32320976,1.00000000,0.36572301,0.36572301,0.74890000,3.68916297,0.32224569,0.20299999,,
14,"G. Halibut Juv.",4.23180008,1.00000000,0.52246100,0.52246100,0.60740000,4.48000002,0.94160432,0.13558041,,
15,"Yellowtail flounder",3.12946296,1.00000000,0.32995000,0.32995000,0.53369999,3.59999990,0.77893329,0.14825000,,
16,"Witch flounder",3.02122092,1.00000000,0.37599999,0.37599999,0.58789998,2.30448294,0.94621360,0.25511149,,
17,"Winter flounder",3.08071494,1.00000000,0.54767919,0.54767919,0.26740000,1.64357102,0.94999993,0.16269450,,
18,Skates,4.04637003,1.00000000,0.20766801,0.20766801,0.28999999,2.87800002,0.62463379,0.10076440,,
19,Dogfish,4.01668119,1.00000000,0.017000001,0.017000001,0.19300000,1.92999995,0.97084308,0.10000000,,
20,Redfish,3.68505812,1.00000000,1.19299996,1.19299996,0.33000001,2.00000000,0.92784548,0.16500001,,
21,"Transient Mackerel ( +29cm)",3.86114407,1.00000000,0.00202658,0.00202658,0.30000001,2.00000000,0.94999993,0.15000001,,
22,"L. Dem. Pisc (+40 cm)",4.37133121,1.00000000,0.23500000,0.23500000,0.20600000,1.37333298,0.95006287,0.15000001,,
23,"Juv. Dem. Pisc (- 40cm)",3.98978496,1.00000000,0.42841509,0.42841509,0.56400001,4.00000000,0.94999999,0.14100000,,
24,"L.Plankt.Dem.Feed. (+ 30cm)",3.35843706,1.00000000,0.29499999,0.29499999,0.27169999,1.74699998,0.94899088,0.15552370,,
