,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Whale fish eater",4.35201788,1.00000000,0.73000002,0.73000002,,0.12000000,6.00000000,0.00260753,0.02000000,,
2,"Whale zooplankton eater",3.58189392,1.00000000,0.016400000,0.016400000,,0.055000000,3.46799994,0.37985590,0.01585929,,
3,"Whale squid eater",4.60423088,1.00000000,0.11180000,0.11180000,,0.090999998,6.00000000,0.00000000,0.01516667,,
4,"Whale mammal eater",5.29731703,1.00000000,0.0002820000,0.0002820000,,0.083999999,8.10000038,0.00000000,0.01037037,,
5,"Seal harp",4.51337099,0.50000000,0.47999999,0.23999999,,0.14900000,17.6420002,0.22683670,0.00844575,,
6,"Seal hooded",5.01515722,1.00000000,0.0073000002,0.0073000002,,0.11500000,18.3299999,0.56035727,0.00627387,,
7,"Seal other",4.78435612,1.00000000,0.014000000,0.014000000,,0.13400000,13.0000000,0.03459488,0.01030769,,
8,"Seabird piscivore",4.35648298,1.00000000,0.0070900000,0.0070900000,,0.25000000,119.410004,0.06443442,0.00209363,,
9,"Seabird planktivore",3.51842189,1.00000000,0.0056097000,0.0056097000,,0.15000001,64.5999985,0.00000000,0.00232198,,
10,"Seabird benthivore",3.63660192,1.00000000,0.0016830000,0.0016830000,,0.13000000,45.2910004,0.00000000,0.00287033,,
11,"Greenland shark",5.27914095,1.00000000,0.0088000000,0.0088000000,,0.0099999998,0.12500000,0.00000000,0.08000000,,
,"Atlantic Cod",,,,,,,,,,,
12,"Atlantic cod greater than 35cm",4.45131779,1.00000000,0.56800002,0.56799978,0.40200001,,1.60000098,0.95089072,0.25124991,,
13,"Atlantic cod less than 35cm",3.69467807,1.00000000,0.052148920,0.052148920,0.40200001,,4.06382895,0.95498222,0.09892149,,
14,"Greenland halibut",4.44119120,1.00000000,0.15000001,0.15000001,,0.64499998,2.90000010,0.60164869,0.22241379,,
15,"Silver hake and pollock",4.31764698,1.00000000,0.12800001,0.12800001,,0.40000001,4.09999990,0.78775132,0.09756098,,
16,"Other piscivorous fish",4.47785711,1.00000000,0.12200000,0.12200000,,0.37599999,1.65100002,0.98680848,0.22774071,,
17,Redfish,3.74931502,1.00000000,1.24800003,1.24800003,,0.33000001,2.00000000,0.78172070,0.16500001,,
18,"Arctic cod",3.51904297,1.00000000,1.04960001,1.04960001,,0.60000002,4.00000000,0.67662919,0.15000001,,
19,"Other plank-piscivorous fish",3.62650800,1.00000000,0.027690001,0.027690001,,0.34999999,2.29999995,0.64410979,0.15217391,,
,"American Plaice",,,,,,,,,,,
20,"American plaice greater than 35cm",3.90044689,1.00000000,0.82999998,0.82999969,0.50000000,,2.00000095,0.45938000,0.24999990,,
21,"American plaice less than 35cm",3.83846402,1.00000000,1.78341198,1.78341198,0.50650001,,3.72659492,0.49343711,0.13591500,,
22,"Thorny skate",4.31217194,1.00000000,0.70889997,0.70889997,,0.19610000,1.79200006,0.39420721,0.10943080,,
23,Haddock,3.75314307,1.00000000,0.038600001,0.038600001,,0.21370000,2.07999992,0.95682049,0.10274040,,
24,"Other large benthivorous fish",3.65684605,1.00000000,0.40000001,0.40000001,,0.30000001,1.33000004,0.84909308,0.22556390,,
25,"Yellowtail flounder",3.97539592,1.00000000,1.17999995,1.17999995,,0.39120001,3.59999990,0.55917919,0.10866670,,
26,"Witch flounder",3.50482512,1.00000000,0.062700003,0.062700003,,0.19679999,2.59899998,0.91725987,0.07572143,,
27,"Other medium benthivorous fish",3.67247796,1.00000000,0.31999999,0.31999999,,0.40000001,2.00000000,0.85841542,0.20000000,,
28,"Small benthivorous fish",3.61818004,1.00000000,1.59356296,1.59356296,,0.44999999,2.00000000,0.99000001,0.22499999,,
29,Herring,3.68856311,1.00000000,1.80783701,1.80783701,,1.14999998,3.14750004,0.98000002,0.36536929,,
30,Sandlance,3.57732391,1.00000000,4.43915176,4.43915176,,1.14999998,7.65999985,0.98000002,0.15013060,,
31,Capelin,3.50779295,1.00000000,3.50000000,3.50000000,,1.20000005,4.30000019,0.99080437,0.27906981,,
32,"Other planktivorous fish",2.90231705,1.00000000,2.80301094,2.80301094,,1.14999998,4.19000006,0.98000002,0.27446300,,
33,Squid,3.57600999,1.00000000,0.60000002,0.60000002,,3.40000010,13.1999998,0.76278389,0.25757581,,
34,Shrimp,2.44622302,1.00000000,0.12000000,0.12000000,,1.70000005,11.3000002,0.99676490,0.15044250,,
35,"Snow crab",3.57591605,1.00000000,0.43000001,0.43000001,,0.50000000,3.05999994,0.99964952,0.16339870,,
36,"Predatory invertebrates",3.16412711,1.00000000,20.0000000,20.0000000,,2.50000000,8.73299980,0.92653292,0.28627050,,
37,"Deposit feeding invertebrates",2.48493409,1.00000000,85.0000000,85.0000000,,2.50000000,10.00000000,0.99515301,0.25000000,,
38,"Suspension feeding invertebrates",2.00000000,1.00000000,61.0000000,61.0000000,,1.39999998,3.70000005,0.99507952,0.37837839,,
39,Macrozooplankton,2.49775910,1.00000000,17.87437057,17.87437057,,3.43000007,19.5000000,0.94999999,0.17589740,,
40,"Large mesozooplankton",2.58759403,1.00000000,15.3999996,15.3999996,,10.00000000,28.0000000,0.89267248,0.35714290,,
41,"Small mesozooplankton",2.45497704,1.00000000,5.09999990,5.09999990,,33.0000000,105.400002,0.95807922,0.31309301,,
42,Microzooplankton,2.00000000,1.00000000,5.59999990,5.59999990,,72.0000000,240.000000,0.96351182,0.30000001,,
43,"Large phytoplankton",1.00000000,1.00000000,8.77999973,8.77999973,,106.000000,,0.70392662,,,
44,"Small phytoplankton",1.00000000,1.00000000,15.8000002,15.8000002,,106.000000,,0.71187419,,,
45,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,,0.64130908,,,
