,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,7.65000010,7.65000010,160.000000,,0.30857030,,,
2,Macro-algae,1.00000000,1.00000000,2.18786097,2.18786097,13.4004297,,0.94999999,,,
3,"Posidonia oceanica",1.00000000,1.00000000,0.04575907,0.04575907,15.0326595,,0.95000011,,,
4,"Micro and mesozooplankton",2.10465097,1.00000000,8.45960999,8.45960999,32.3951492,51.0690002,0.94999993,0.63434082,,
5,Macrozooplankton,3.09302402,1.00000000,3.46299100,3.46299100,22.6499996,56.5699997,0.94999993,0.40038890,,
6,Foraminifera,2.00000000,1.00000000,0.36763990,0.36763990,7.84387112,23.5316105,0.94999993,0.33333340,,
7,"Invertebrate suspension feeders",2.72470999,1.00000000,7.38208103,7.38208103,1.64721298,9.90419483,0.94999999,0.16631471,,
8,Polychaetes,2.36074209,1.00000000,4.41582584,4.41582584,3.50224090,19.7231503,0.95000011,0.17757010,,
9,"Amphipoda and Isopoda",2.00000000,1.00000000,5.46385908,5.46385908,2.40499997,26.1985302,0.94999993,0.09179904,,
10,Echinoderms,2.32742500,1.00000000,4.52607489,4.52607489,0.56998801,2.46036100,0.94999981,0.23166840,,
11,"Benthic molluscs",2.35314107,1.00000000,4.25840616,4.25840616,1.88561296,9.38607788,0.95000011,0.20089470,,
12,Crabs,3.21077394,1.00000000,2.08896399,2.08896399,2.55513501,4.95319080,0.94999993,0.51585639,,
13,"Benthic cephalopods",3.70100999,1.00000000,0.55229998,0.55229998,2.79999995,5.64227200,0.96845353,0.49625400,,
14,"Benthopelagic cephalopods",4.22464418,1.00000000,0.064989999,0.064989999,2.71240497,31.6399994,0.88501388,0.08572709,,
15,"Mantis shrimp",3.71625996,1.00000000,0.56025720,0.56025720,1.59000003,4.85448313,0.88423002,0.32753229,,
16,"Caramote prawn",3.27925897,1.00000000,0.13112301,0.13112301,2.25999999,7.66497183,0.99410611,0.29484779,,
17,"Alien shrimps",2.86816907,1.00000000,0.12493300,0.12493300,3.79999995,7.66497183,0.99587798,0.49576181,,
18,"Deep shrimps",3.27038097,1.00000000,0.036328241,0.036328241,2.79579592,7.66497183,0.95233423,0.36474970,,
19,"Horse mackerel",3.66331291,1.00000000,1.54999995,1.54999995,0.71600002,9.04436874,0.99671137,0.07916529,,
20,"European pilchard",3.12196708,1.00000000,3.82879710,3.82879710,1.11551797,11.4025497,0.92739463,0.09783057,,
21,"Round sardinella",3.12542391,1.00000000,1.85000002,1.85000002,0.85288298,9.63463402,0.95279878,0.08852261,,
22,"European anchovy",3.08145308,1.00000000,0.69999999,0.69999999,1.08859003,10.5052404,0.88221997,0.10362350,,
23,Picarel,3.10354710,1.00000000,0.61790001,0.61790001,0.88200003,27.2800007,0.79083627,0.03233138,,
24,Bogue,3.20001411,1.00000000,0.53848958,0.53848958,0.77247661,19.8125305,0.78202361,0.03898929,,
25,"Benthic invertebrate feeders (1)",3.53710103,1.00000000,0.21037360,0.21037360,0.60779738,6.83393383,0.99745709,0.08893814,,
26,"Benthic invertebrate feeders (2)",3.39109802,1.00000000,0.049388159,0.049388159,0.72276032,8.52928829,0.94557899,0.08473864,,
27,Mullets,3.30479002,1.00000000,0.085351340,0.085351340,1.30962098,6.58749008,0.99025142,0.19880420,,
28,"Piscivorous Fish",4.21289778,1.00000000,0.066610999,0.066610999,0.35899511,4.33498621,0.78811687,0.08281343,,
29,Sparidae,3.31336498,1.00000000,0.21554381,0.21554381,0.77877349,7.83245897,0.95857579,0.09942899,,
30,"Macro-carnivorous Fish (1)",4.02618313,1.00000000,0.18858349,0.18858349,0.63870692,9.37975407,0.99933147,0.06809421,,
31,"Macro-carnivorous Fish (2)",4.05572605,1.00000000,0.051590141,0.051590141,0.57084382,8.52928829,0.94920951,0.06692749,,
32,"Rays (1)",4.05986881,1.00000000,0.36272120,0.36272120,0.23892550,3.27679491,0.09481812,0.07291439,,
33,"Rays (2)",3.78025794,1.00000000,0.13341901,0.13341901,0.34241381,3.73590708,0.26651371,0.09165480,,
34,Sharks,4.35503912,1.00000000,0.19282611,0.19282611,0.54354727,4.23336220,0.21962640,0.12839609,,
35,"Small tuna",4.41875792,1.00000000,0.07368566,0.07368566,0.59100002,8.19340038,0.94999999,0.07213122,,
36,"Medium pelagic fish",4.11841393,1.00000000,1.46200001,1.46200001,0.11099240,1.30573201,0.89149469,0.08500396,,
37,"Atlantic bluefin tuna",4.38056803,1.00000000,0.23000000,0.23000000,0.31330881,3.51331496,0.89884579,0.08917755,,
38,Dolphins,4.33885002,1.00000000,0.079745002,0.079745002,0.074520573,14.3611803,0.00000000,0.00518903,,
39,"Sea birds",3.77172899,1.00000000,0.0020815299,0.0020815299,0.20000000,62.7509689,0.00000000,0.00318720,,
40,Discards,1.00000000,1.00000000,0.38092870,0.38092870,,,0.44668591,,,
41,Detritus,1.00000000,1.00000000,30.0000000,30.0000000,,,0.27955601,,,
