,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"M. mammals",4.88342714,1.00000000,0.025000000,0.025000000,0.050000001,30.0000000,0.00000000,0.00166667,,
2,Sharks,4.39394283,1.00000000,0.0020000001,0.0020000001,4.19999981,21.00000000,0.95238101,0.20000000,,
3,"Lg. piscivores",3.84993410,1.00000000,0.045000002,0.045000002,4.80000019,24.00000000,0.92870361,0.20000000,,
4,Grouper/snapper,3.90728688,1.00000000,0.044000000,0.044000000,4.69999981,23.50000000,0.88346243,0.20000000,,
5,Tuna,4.13496494,1.00000000,0.37298250,0.37298250,1.20000005,6.00000000,0.94999993,0.20000000,,
6,Med.dem.pisc.,3.37986898,1.00000000,0.16400000,0.16400000,5.30000019,26.50000000,0.98664832,0.20000000,,
7,Scomberomorus,3.90985394,1.00000000,0.28614041,0.28614041,1.20000005,6.00000000,0.94999999,0.20000000,,
8,"Juv. sharks",3.73697996,1.00000000,0.04662281,0.04662281,3.00000000,12.00000000,0.80000001,0.25000000,,
9,Juv.Lg.Pisciv.,3.73697996,1.00000000,0.04662281,0.04662281,3.00000000,12.00000000,0.80000001,0.25000000,,
10,"Juv. groupers",3.75898790,1.00000000,0.04662281,0.04662281,3.00000000,12.00000000,0.80000001,0.25000000,,
11,Scad,3.52769399,1.00000000,0.81358832,0.81358832,3.00000000,12.00000000,0.94999993,0.25000000,,
12,Cephalopods,3.38115191,1.00000000,0.34999999,0.34999999,5.40000010,27.00000000,0.97098529,0.20000000,,
13,Sm.dem.pisc.,3.34409308,1.00000000,0.16200000,0.16200000,6.59999990,26.39999962,0.98028129,0.25000000,,
14,Med.dem.benth.,3.50205398,1.00000000,0.071999997,0.071999997,6.00000000,30.00000000,0.89513892,0.20000000,,
15,Rays,3.38936305,1.00000000,0.0070000002,0.0070000002,4.19999981,21.00000000,0.95238101,0.20000000,,
16,Flatfish,3.35446000,1.00000000,0.0060000001,0.0060000001,5.59999990,22.39999962,0.96249998,0.25000000,,
17,Sm.dem.benth.,3.18659306,1.00000000,0.19100000,0.19100000,6.50000000,26.00000000,0.84272420,0.25000000,,
18,Jellyfish,3.05263209,1.00000000,1.00000000,1.00000000,5.00000000,20.00000000,0.00000000,0.25000000,,
19,Mackerel,2.94736791,1.00000000,1.08310199,1.08310199,4.50000000,18.00000000,0.94999999,0.25000000,,
20,"Sm. pelagics",2.94736791,1.00000000,1.18107605,1.18107605,4.50000000,18.00000000,0.94999999,0.25000000,,
21,Ponyfishes,2.78365707,1.00000000,0.12300000,0.12300000,6.44999981,25.79999924,0.97174472,0.25000000,,
22,"Crab, lobster",2.77977800,1.00000000,0.041999999,0.041999999,7.40000010,29.60000038,0.85778642,0.25000000,,
23,O.fish,2.65304708,1.00000000,0.55500001,0.55500001,7.09999990,28.39999962,0.99865371,0.25000000,,
24,Benthos,2.55955696,1.00000000,33.0000000,33.0000000,5.00000000,20.00000000,0.32560641,0.25000000,,
25,Shrimps,2.41717505,1.00000000,1.36021900,1.36021900,6.09999990,24.39999962,0.94999999,0.25000000,,
26,Molluscs,2.21052599,1.00000000,12.62090015,12.62090015,3.00000000,12.00000000,0.89999992,0.25000000,,
27,Zooplankton,2.05263209,1.00000000,17.2999992,17.2999992,40.0000000,192.000000,0.77879262,0.20833330,,
28,Phytoplankton,1.00000000,1.00000000,18.2500000,18.2500000,200.000000,,0.84542632,,,
29,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,0.32909721,,,
