,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Sciaenids,3.55924606,1.00000000,0.58999997,0.58999997,0.39899999,4.98699999,0.10640830,0.08000802,,
2,Elopids,3.53988194,1.00000000,0.014000000,0.014000000,0.43000001,5.15399981,0.00000000,0.08343035,,
3,Lutjanids,3.49362493,1.00000000,0.017000001,0.017000001,0.22000000,2.73200011,0.73313582,0.08052708,,
4,Carangids,3.48633504,1.00000000,0.048999999,0.048999999,0.52700001,6.19600010,0.87285161,0.08505487,,
5,Centropomids,3.37637806,1.00000000,0.62300003,0.62300003,0.93000001,2.51300001,0.43369061,0.37007561,,
6,Ariids,3.35790896,1.00000000,1.05799997,1.05799997,0.78500003,2.73600006,0.49651089,0.28691521,,
7,Haemulids,3.22030711,1.00000000,0.22700000,0.22700000,0.59299999,2.27900004,0.66149628,0.26020181,,
8,Pleuronectoidei,3.07862997,1.00000000,0.20299999,0.20299999,0.39199999,1.65799999,0.76142257,0.23642939,,
9,Callinectes,3.02285409,1.00000000,5.51999998,5.51999998,2.22799993,6.28499985,0.09827542,0.35449481,,
10,Belonoidei,2.91174293,1.00000000,0.33000001,0.33000001,1.07299995,8.89099979,0.96753383,0.12068380,,
11,Clupeidei,2.88231111,1.00000000,2.77999997,2.77999997,0.83899999,5.66900015,0.83707929,0.14799790,,
12,Gerreids,2.72030306,1.00000000,0.49399999,0.49399999,1.52600002,5.10799980,0.76709849,0.29874709,,
13,Poeciliids,2.68813396,1.00000000,0.0040000002,0.0040000002,3.43199992,13.7700005,0.90485978,0.24923749,,
14,Gobioidei,2.65265393,1.00000000,0.19200000,0.19200000,0.45500001,2.36700010,0.89413631,0.19222640,,
15,Mugilids,2.61502099,1.00000000,3.72000003,3.72000003,1.09500003,4.27299976,0.52158552,0.25626019,,
16,Palaemonids,2.44265890,1.00000000,0.52899998,0.52899998,1.22800004,4.17199993,0.84206408,0.29434329,,
17,Penaeids,2.43109393,1.00000000,2.56800008,2.56800008,3.16300011,10.6540003,0.84344441,0.29688379,,
18,Bivalvs,2.36002302,1.00000000,7.67000008,7.67000008,2.24099994,10.6800003,0.60557652,0.20983140,,
19,Microcrustaceans,2.32863593,1.00000000,11.7069998,11.7069998,11.4429998,35.7949982,0.80408078,0.31968150,,
20,Zooplankton,2.23295498,1.00000000,10.55848026,10.55848026,18.6240005,84.9629974,0.93599987,0.21920130,,
21,Chanids,2.13219404,1.00000000,0.011000000,0.011000000,1.51800001,5.56400013,0.52006608,0.27282530,,
22,Polychaets,2.06915092,1.00000000,19.2019997,19.2019997,6.16599989,26.6410007,0.77217460,0.23144780,,
23,Gastropods,2.00000000,1.00000000,2.02547407,2.02547407,3.22199988,15.6059999,0.90899992,0.20645900,,
24,Phytoplankton,1.00000000,1.00000000,35.42058182,35.42058182,19.6170006,,0.91000003,,,
25,Macrophytes,1.00000000,1.00000000,380.820007,380.820007,8.19699955,,0.06808519,,,
26,Detritus,1.00000000,1.00000000,3829.78711,3829.78711,,,0.23055390,,5341.74218750,1.39478803
