,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Diatoms,1.00000000,1.00000000,53.4160004,53.4160004,265.000000,,0.80117059,,,
2,"Dino and silicoflagellates",1.00000000,1.00000000,9.42599964,9.42599964,265.000000,,0.95983762,,,
3,Microzooplankton,2.25000000,1.00000000,20.48446083,20.48446083,256.000000,1024.00000000,0.94999999,0.25000000,,
4,mesozooplankton,2.12500000,1.00000000,31.1639996,31.1639996,40.0000000,125.00000000,0.51508188,0.31999999,,
5,macrozooplankton,2.50000000,1.00000000,21.09650040,21.09650040,19.08550072,46.5499992,0.94999993,0.41000000,,
6,"gelatinous zooplankton",2.97916698,1.00000000,0.01675945,0.01675945,0.58399999,2.92000008,0.94999993,0.20000000,,
7,macrobenthos,2.06402206,1.00000000,20.7290001,20.7290001,1.20000005,10.00000000,0.99415737,0.12000000,,
8,sardine,3.15925002,1.00000000,7.56699991,7.56699991,1.39999998,14.00000000,0.85310012,0.10000000,,
9,anchovy,2.35086203,1.00000000,83.2929993,83.2929993,2.00000000,20.00000000,0.46869391,0.10000000,,
10,mesopelagics,3.49212503,1.00000000,6.88199997,6.88199997,1.39999998,14.00000000,0.57524318,0.10000000,,
11,"jumbo squid",4.18025112,1.00000000,0.52399999,0.52399999,8.90999985,25.45713997,0.94011039,0.34999999,,
12,"other cephalopods",3.49722195,1.00000000,6.58371305,6.58371305,4.30000019,12.28571987,0.94999999,0.34999999,,
13,"other small pelagics",2.76973701,1.00000000,7.80411196,7.80411196,1.00000000,10.00000000,0.94999999,0.10000000,,
14,"horse mackerels",3.57054901,1.00000000,11.5679998,11.5679998,1.20000005,12.00000000,0.13034350,0.10000000,,
15,mackerels,3.59279799,1.00000000,8.48799992,8.48799992,0.85000002,8.50000000,0.04767977,0.10000000,,
16,"other large pelagics",3.59602594,1.00000000,0.58899999,0.58899999,0.85000002,8.50000000,0.50301641,0.10000000,,
17,"small hake",3.76725507,1.00000000,2.77099991,2.77099991,0.92799997,6.18666601,0.62275022,0.15000001,,
18,"medium hake",3.66332102,1.00000000,0.41400000,0.41400000,1.62699997,10.84667015,0.39364749,0.15000001,,
19,"large hake",4.32188702,1.00000000,0.055000000,0.055000000,1.04400003,6.96000004,0.29742000,0.15000001,,
20,flatfishes,3.60206795,1.00000000,0.039999999,0.039999999,0.30399999,2.02666593,0.79399681,0.15000001,,
21,"small demersals",2.45000005,1.00000000,7.08940411,7.08940411,2.29999995,15.33333015,0.94999993,0.15000001,,
22,"benthic elasmobranchs",3.48467803,1.00000000,0.078000002,0.078000002,1.00000000,6.66666698,0.39743590,0.15000001,,
23,"butter fishes",2.44171000,1.00000000,0.032000002,0.032000002,0.80000001,4.00000000,0.03942726,0.20000000,,
24,conger,4.21356821,1.00000000,0.018999999,0.018999999,0.75000000,5.00000000,0.82341057,0.15000001,,
25,"medium demersal fish",3.37944198,1.00000000,0.20000000,0.20000000,1.32000005,8.80000019,0.99588740,0.15000001,,
26,"medium sciaenids",3.23854589,1.00000000,0.36899999,0.36899999,0.74599999,4.97333288,0.85908008,0.15000001,,
27,"sea robin",3.48910093,1.00000000,0.78899997,0.78899997,3.40000010,17.00000000,0.89676350,0.20000000,,
28,catfish,3.30740499,1.00000000,0.57700002,0.57700002,0.89999998,6.00000000,0.89294821,0.15000001,,
29,chondrichtlyans,4.73799801,1.00000000,0.027000001,0.027000001,0.48600000,3.24000001,0.53345531,0.15000001,,
30,seabirds,3.39137506,1.00000000,0.067000002,0.067000002,0.039999999,60.0000000,0.00000000,0.00066667,,
31,pinnipeds,3.44627500,1.00000000,0.071999997,0.071999997,0.10000000,45.9000015,0.00000000,0.00217865,,
32,cetaceans,4.25380611,1.00000000,0.061999999,0.061999999,0.10000000,20.0000000,0.00000000,0.00500000,,
33,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.81355351,,,
