,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Marine mammals",3.50261402,1.00000000,1.74500000,1.74500000,0.0099999998,5.00000000,0.00000000,0.00200000,,
2,Seabirds,3.45236611,1.00000000,0.017000001,0.017000001,0.0099999998,35.0000000,0.00000000,0.00028571,,
3,Cod,3.71939111,1.00000000,1.29999995,1.29999995,0.41000000,3.09999990,0.89171028,0.13225810,,
4,"Juvenile cod",3.21845293,1.00000000,1.33604801,1.33604801,0.34999999,3.09999990,0.94999999,0.11290320,,
5,Haddock,3.28273201,1.00000000,0.20000000,0.20000000,0.79799998,3.79999995,0.98357761,0.20999999,,
6,Saithe,3.59666705,1.00000000,0.21300000,0.21300000,0.68599999,3.29999995,0.87987107,0.20787880,,
7,Redfish,3.14273310,1.00000000,2.13299990,2.13299990,0.34999999,4.50000000,0.95349473,0.07777777,,
8,"Grrenland halibut",3.26187491,1.00000000,0.15300000,0.15300000,0.61799997,3.50000000,0.63614452,0.17657140,,
9,"Other flatfish",3.37015295,1.00000000,0.85188001,0.85188001,0.30000001,3.59999990,0.94999999,0.08333334,,
10,"Other dem fish",3.38678288,1.00000000,1.29796195,1.29796195,0.44999999,3.00000000,0.94999993,0.15000001,,
11,Herring,2.90000010,1.00000000,0.86726213,0.86726213,0.69919997,4.59999990,0.94999993,0.15200000,,
12,Capelin,2.90000010,1.00000000,2.69199991,2.69199991,1.95000005,5.00000000,0.94083452,0.38999999,,
13,"Other pelagics",2.79999995,1.00000000,6.73076105,6.73076105,0.58499998,4.50000000,0.94700003,0.13000000,,
14,Nephros,2.87500000,1.00000000,0.013000000,0.013000000,0.37000000,2.00000000,0.00000000,0.18500000,,
15,"Nothern shrimp",2.92499995,1.00000000,1.68422198,1.68422198,1.01999998,6.00000000,0.95599997,0.17000000,,
16,Molluscs,3.05293489,1.00000000,0.73910218,0.73910218,0.20000000,6.00000000,0.94999993,0.03333334,,
17,Benthos,2.25000000,1.00000000,16.28543091,16.28543091,3.00000000,10.00000000,0.94999999,0.30000001,,
18,Nekton,3.10290003,1.00000000,8.80461407,8.80461407,0.60000002,3.50000000,0.94999999,0.17142861,,
19,Zooplankton,2.00000000,1.00000000,30.0000000,30.0000000,5.00000000,20.0000000,0.58223552,0.25000000,,
20,Phytoplankton,1.00000000,1.00000000,162.667007,162.667007,50.0000000,,0.07884748,,,
21,Detritus,1.00000000,1.00000000,200.000000,200.000000,,,0.01301081,,,
