,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Toothed Whales",4.41817904,1.00000000,0.0000800000,0.0000800000,,0.020000000,8.67000008,0.06250001,0.00230680,,
2,"Baleen Whales",3.87164497,1.00000000,0.0003400000,0.0003400000,,0.020000000,10.00000000,0.14705880,0.00200000,,
3,Seals,4.31261301,1.00000000,0.011000000,0.011000000,,0.059999999,14.5500002,0.00000000,0.00412371,,
4,Seabirds,3.81487989,1.00000000,0.051100001,0.051100001,,1.07463205,82.6640015,0.77000070,0.013000000,,
5,"Basking Sharks",3.58354902,1.00000000,0.0014000000,0.0014000000,,0.070000000,3.70000005,0.00102041,0.01891892,,
6,Bass,4.46883392,1.00000000,0.012800000,0.012800000,,0.50000000,2.68000007,0.87452888,0.18656720,,
,Cod,,,,,,,,,,,
7,"Adult Cod 2+",4.16062593,1.00000000,0.35699970,0.35699981,0.97200000,,3.00000191,0.92248583,0.32399979,,
8,"Juvenile Cod Age 1",3.37441707,1.00000000,0.19583860,0.19583860,1.94400001,,7.76523304,0.64997000,0.25034660,,
,Haddock,,,,,,,,,,,
9,"Adult Haddock 2+",3.89256096,1.00000000,0.070000052,0.070000067,1.42100000,,3.99999809,0.86891252,0.35525021,,
10,"Juvenile Haddock Age 1",3.24070406,1.00000000,0.17427360,0.17427360,2.84200001,,10.5637398,0.34586921,0.26903349,,
,Plaice,,,,,,,,,,,
11,"Adult Plaice 2+",3.67189002,1.00000000,0.20000011,0.20000000,0.95499998,,3.62999797,0.89027351,0.26308551,,
12,"Juvenile Plaice Age 1",3.19821310,1.00000000,0.083529547,0.083529547,1.90999997,,10.1676702,0.28893310,0.18785030,,
13,Whiting,4.26475382,1.00000000,0.50700003,0.50700003,,0.84200001,2.97000003,0.73161578,0.28350171,,
14,Sole,3.65179706,1.00000000,0.16000000,0.16000000,,0.56300002,2.57999992,0.95965362,0.21821710,,
15,Seatrout,4.00338793,1.00000000,0.029999999,0.029999999,,0.58999997,1.99000001,0.71771532,0.29648241,,
16,Sandeels,2.96366811,1.00000000,1.29999995,1.29999995,,1.52999997,5.01599979,0.57500589,0.30502391,,
17,"Small Flatfish",3.54509497,1.00000000,0.13400000,0.13400000,,2.46000004,6.50000000,0.57890511,0.37846151,,
18,"Medium Flatfish",4.16061211,1.00000000,0.10000000,0.10000000,,2.39400005,6.64200020,0.90206128,0.36043361,,
19,"Large Flatfish",4.23926592,1.00000000,0.089400001,0.089400001,,1.03400004,3.73000002,0.93717033,0.27721179,,
20,Dragonets,3.77544808,1.00000000,0.22900000,0.22900000,,1.53999996,5.15399981,0.99464953,0.29879701,,
21,"Other Large Demersals",3.67735100,1.00000000,0.15200000,0.15200000,,1.31500006,5.08900023,0.55420172,0.25840050,,
22,Gurnards,3.56653905,1.00000000,0.44400001,0.44400001,,2.21000004,5.73999977,0.45405331,0.38501751,,
23,Mackerel,3.56391191,1.00000000,1.14300001,1.14300001,,0.41400000,1.73000002,0.90126967,0.23930641,,
